File,G652D_40_1000_2.csv,
Date/Time,23-10-20/13:01,

Trace,A
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,B,
Trace Calculate Trace 2,C,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm
Trace,B
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,C,
Trace Calculate Trace 2,D,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm
Trace,C
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Calculate,
Trace Storage Mode,Off,
Trace Calculate Trace 1,A,
Trace Calculate Trace 2,B,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-1.6800E-008,1400.000000,-4.2690E-008,1400.000000,1.0000E000
1400.125000,1.2120E-008,1400.125000,-4.5620E-008,1400.125000,1.2120E004
1400.250000,-8.8480E-009,1400.250000,-2.3090E-008,1400.250000,1.0000E000
1400.375000,-1.1710E-008,1400.375000,-7.8330E-008,1400.375000,1.0000E000
1400.500000,-4.9170E-008,1400.500000,-5.9020E-008,1400.500000,1.0000E000
1400.625000,-2.2400E-008,1400.625000,-7.6670E-008,1400.625000,1.0000E000
1400.750000,-1.1920E-008,1400.750000,-7.0180E-008,1400.750000,1.0000E000
1400.875000,-2.5330E-008,1400.875000,-6.6360E-008,1400.875000,1.0000E000
1401.000000,-2.2920E-008,1401.000000,-3.5420E-008,1401.000000,1.0000E000
1401.125000,-4.9060E-008,1401.125000,-6.7050E-008,1401.125000,1.0000E000
1401.250000,-2.6530E-008,1401.250000,-6.6250E-008,1401.250000,1.0000E000
1401.375000,-3.6780E-008,1401.375000,-5.7260E-008,1401.375000,1.0000E000
1401.500000,5.3210E-009,1401.500000,-7.6230E-008,1401.500000,5.3210E003
1401.625000,-1.3030E-008,1401.625000,-7.7910E-008,1401.625000,1.0000E000
1401.750000,-1.0730E-008,1401.750000,-8.6720E-008,1401.750000,1.0000E000
1401.875000,-2.5000E-008,1401.875000,-7.7660E-008,1401.875000,1.0000E000
1402.000000,-1.9520E-008,1402.000000,-5.5730E-008,1402.000000,1.0000E000
1402.125000,-6.4750E-008,1402.125000,-7.2500E-008,1402.125000,1.0000E000
1402.250000,-8.4200E-009,1402.250000,-3.4790E-008,1402.250000,1.0000E000
1402.375000,-3.0570E-008,1402.375000,-9.3340E-008,1402.375000,1.0000E000
1402.500000,1.9330E-008,1402.500000,-5.4580E-008,1402.500000,1.9330E004
1402.625000,-3.5900E-009,1402.625000,-4.4320E-008,1402.625000,1.0000E000
