File,G652D_40_1500_2xtof_przes500v2.csv,
1462.805000,9.5950E-005,1462.805000,2.0770E-006,1462.805000,2.2890E-007,1462.805000,4.1918E002
1462.887500,9.6750E-005,1462.887500,2.0490E-006,1462.887500,2.4190E-007,1462.887500,3.9996E002
1462.970000,9.7370E-005,1462.970000,2.1120E-006,1462.970000,2.4030E-007,1462.970000,4.0520E002
1463.052500,9.8740E-005,1463.052500,2.0970E-006,1463.052500,2.4180E-007,1463.052500,4.0835E002
1463.135000,9.8960E-005,1463.135000,2.1530E-006,1463.135000,2.7940E-007,1463.135000,3.5419E002
1463.217500,9.9380E-005,1463.217500,2.2230E-006,1463.217500,2.5370E-007,1463.217500,3.9172E002
1463.300000,1.0000E-004,1463.300000,2.1870E-006,1463.300000,2.4910E-007,1463.300000,4.0145E002
1463.382500,1.0020E-004,1463.382500,2.2580E-006,1463.382500,2.4330E-007,1463.382500,4.1184E002
1463.465000,1.0020E-004,1463.465000,2.2730E-006,1463.465000,2.4740E-007,1463.465000,4.0501E002
1463.547500,9.2800E-005,1463.547500,2.1710E-006,1463.547500,2.2520E-007,1463.547500,4.1208E002
1463.630000,1.0140E-004,1463.630000,2.2900E-006,1463.630000,2.2520E-007,1463.630000,4.5027E002
1463.712500,1.0300E-004,1463.712500,2.4080E-006,1463.712500,2.3940E-007,1463.712500,4.3024E002
1463.795000,1.0410E-004,1463.795000,2.4390E-006,1463.795000,2.8480E-007,1463.795000,3.6552E002
1463.877500,1.0490E-004,1463.877500,2.4210E-006,1463.877500,2.5350E-007,1463.877500,4.1381E002
1463.960000,1.0610E-004,1463.960000,2.4730E-006,1463.960000,2.4750E-007,1463.960000,4.2869E002
1464.042500,1.0690E-004,1464.042500,2.4730E-006,1464.042500,2.5820E-007,1464.042500,4.1402E002
1464.125000,1.0740E-004,1464.125000,2.5800E-006,1464.125000,2.7190E-007,1464.125000,3.9500E002
1464.207500,1.0810E-004,1464.207500,2.5100E-006,1464.207500,2.2400E-007,1464.207500,4.8259E002
1464.290000,1.0850E-004,1464.290000,2.6210E-006,1464.290000,2.6850E-007,1464.290000,4.0410E002
1464.372500,1.0920E-004,1464.372500,2.6320E-006,1464.372500,2.6770E-007,1464.372500,4.0792E002
1464.455000,1.0990E-004,1464.455000,2.6600E-006,1464.455000,2.7780E-007,1464.455000,3.9561E002
1464.537500,1.1070E-004,1464.537500,2.6640E-006,1464.537500,2.3960E-007,1464.537500,4.6202E002
1464.620000,1.1120E-004,1464.620000,2.6960E-006,1464.620000,2.4300E-007,1464.620000,4.5761E002
1464.702500,1.1220E-004,1464.702500,2.7460E-006,1464.702500,2.4460E-007,1464.702500,4.5871E002
1464.785000,1.1270E-004,1464.785000,2.8060E-006,1464.785000,2.5360E-007,1464.785000,4.4440E002
1464.867500,1.1340E-004,1464.867500,2.8270E-006,1464.867500,2.8830E-007,1464.867500,3.9334E002
1464.950000,1.1490E-004,1464.950000,2.9130E-006,1464.950000,2.4530E-007,1464.950000,4.6841E002
1465.032500,1.1520E-004,1465.032500,2.8700E-006,1465.032500,2.4530E-007,1465.032500,4.6963E002
1465.115000,1.1610E-004,1465.115000,2.8790E-006,1465.115000,2.5410E-007,1465.115000,4.5691E002
1465.197500,1.1670E-004,1465.197500,2.9370E-006,1465.197500,2.4980E-007,1465.197500,4.6717E002
1465.280000,1.1720E-004,1465.280000,2.9900E-006,1465.280000,2.4950E-007,1465.280000,4.6974E002
1465.362500,1.1780E-004,1465.362500,2.9970E-006,1465.362500,2.2970E-007,1465.362500,5.1284E002
1465.445000,1.1750E-004,1465.445000,3.0480E-006,1465.445000,2.7770E-007,1465.445000,4.2312E002
1465.527500,1.1350E-004,1465.527500,2.8940E-006,1465.527500,2.0150E-007,1465.527500,5.6328E002
1465.610000,1.1700E-004,1465.610000,3.0630E-006,1465.610000,2.4730E-007,1465.610000,4.7311E002
1465.692500,1.1940E-004,1465.692500,3.0570E-006,1465.692500,2.2860E-007,1465.692500,5.2231E002
1465.775000,1.2050E-004,1465.775000,3.1920E-006,1465.775000,2.5630E-007,1465.775000,4.7015E002
1465.857500,1.2180E-004,1465.857500,3.1620E-006,1465.857500,2.5470E-007,1465.857500,4.7821E002
1465.940000,1.2260E-004,1465.940000,3.2040E-006,1465.940000,2.7360E-007,1465.940000,4.4810E002
1466.022500,1.2310E-004,1466.022500,3.2280E-006,1466.022500,2.5750E-007,1466.022500,4.7806E002
1466.105000,1.2430E-004,1466.105000,3.3560E-006,1466.105000,2.7680E-007,1466.105000,4.4906E002
1466.187500,1.2490E-004,1466.187500,3.3390E-006,1466.187500,2.5260E-007,1466.187500,4.9446E002
1466.270000,1.2520E-004,1466.270000,3.3570E-006,1466.270000,2.4430E-007,1466.270000,5.1248E002
1466.352500,1.2350E-004,1466.352500,3.3690E-006,1466.352500,2.7960E-007,1466.352500,4.4170E002
1466.435000,1.2590E-004,1466.435000,3.3690E-006,1466.435000,2.5630E-007,1466.435000,4.9122E002
1466.517500,1.2660E-004,1466.517500,3.5040E-006,1466.517500,2.1340E-007,1466.517500,5.9325E002
1466.600000,1.2800E-004,1466.600000,3.5020E-006,1466.600000,2.7230E-007,1466.600000,4.7007E002
1466.682500,1.2760E-004,1466.682500,3.4490E-006,1466.682500,2.5540E-007,1466.682500,4.9961E002
1466.765000,1.2540E-004,1466.765000,3.4700E-006,1466.765000,2.4050E-007,1466.765000,5.2141E002
1466.847500,1.2970E-004,1466.847500,3.5620E-006,1466.847500,2.5330E-007,1466.847500,5.1204E002
1466.930000,1.3020E-004,1466.930000,3.5660E-006,1466.930000,2.3340E-007,1466.930000,5.5784E002
1467.012500,1.2950E-004,1467.012500,3.5900E-006,1467.012500,2.3410E-007,1467.012500,5.5318E002
1467.095000,1.3220E-004,1467.095000,3.6600E-006,1467.095000,2.5050E-007,1467.095000,5.2774E002
1467.177500,1.3230E-004,1467.177500,3.6840E-006,1467.177500,2.3390E-007,1467.177500,5.6563E002
1467.260000,1.3320E-004,1467.260000,3.6260E-006,1467.260000,2.4780E-007,1467.260000,5.3753E002
1467.342500,1.2880E-004,1467.342500,3.6390E-006,1467.342500,2.4160E-007,1467.342500,5.3311E002
1467.425000,1.3230E-004,1467.425000,3.7090E-006,1467.425000,2.2550E-007,1467.425000,5.8670E002
1467.507500,1.3490E-004,1467.507500,3.7990E-006,1467.507500,2.3770E-007,1467.507500,5.6752E002
1467.590000,1.3560E-004,1467.590000,3.7910E-006,1467.590000,2.1780E-007,1467.590000,6.2259E002
1467.672500,1.3590E-004,1467.672500,3.8270E-006,1467.672500,2.3550E-007,1467.672500,5.7707E002
1467.755000,1.3670E-004,1467.755000,3.8640E-006,1467.755000,2.3020E-007,1467.755000,5.9383E002
