File,G652D_40_1500_2xtof_przes500v2.csv,
1499.187500,1.5730E-004,1499.187500,3.6840E-006,1499.187500,5.9370E-007,1499.187500,2.6495E002
1499.270000,1.5720E-004,1499.270000,3.7260E-006,1499.270000,5.9080E-007,1499.270000,2.6608E002
1499.352500,1.5720E-004,1499.352500,3.8070E-006,1499.352500,6.0160E-007,1499.352500,2.6130E002
1499.435000,1.5670E-004,1499.435000,3.6840E-006,1499.435000,5.9970E-007,1499.435000,2.6130E002
1499.517500,1.5670E-004,1499.517500,3.8250E-006,1499.517500,6.3650E-007,1499.517500,2.4619E002
1499.600000,1.5680E-004,1499.600000,3.8290E-006,1499.600000,6.5950E-007,1499.600000,2.3776E002
1499.682500,1.5670E-004,1499.682500,3.7840E-006,1499.682500,6.4930E-007,1499.682500,2.4134E002
1499.765000,1.5690E-004,1499.765000,3.8070E-006,1499.765000,6.4470E-007,1499.765000,2.4337E002
1499.847500,1.5710E-004,1499.847500,3.8540E-006,1499.847500,6.5720E-007,1499.847500,2.3904E002
1499.930000,1.5630E-004,1499.930000,3.8360E-006,1499.930000,6.2380E-007,1499.930000,2.5056E002
1500.012500,1.5620E-004,1500.012500,3.8830E-006,1500.012500,6.6630E-007,1500.012500,2.3443E002
1500.095000,1.5700E-004,1500.095000,3.8850E-006,1500.095000,5.7700E-007,1500.095000,2.7210E002
1500.177500,1.5690E-004,1500.177500,3.8910E-006,1500.177500,5.7500E-007,1500.177500,2.7287E002
1500.260000,1.5650E-004,1500.260000,3.8690E-006,1500.260000,6.6780E-007,1500.260000,2.3435E002
1500.342500,1.5660E-004,1500.342500,3.8810E-006,1500.342500,6.6320E-007,1500.342500,2.3613E002
1500.425000,1.5650E-004,1500.425000,3.8520E-006,1500.425000,6.2240E-007,1500.425000,2.5145E002
1500.507500,1.5590E-004,1500.507500,3.7790E-006,1500.507500,6.2720E-007,1500.507500,2.4857E002
1500.590000,1.5620E-004,1500.590000,3.8730E-006,1500.590000,5.9690E-007,1500.590000,2.6169E002
1500.672500,1.5580E-004,1500.672500,3.9700E-006,1500.672500,5.9650E-007,1500.672500,2.6119E002
1500.755000,1.5600E-004,1500.755000,3.8660E-006,1500.755000,6.9250E-007,1500.755000,2.2527E002
1500.837500,1.5620E-004,1500.837500,3.9310E-006,1500.837500,6.2600E-007,1500.837500,2.4952E002
1500.920000,1.5580E-004,1500.920000,3.9290E-006,1500.920000,6.8570E-007,1500.920000,2.2721E002
1501.002500,1.5560E-004,1501.002500,3.8850E-006,1501.002500,6.6490E-007,1501.002500,2.3402E002
1501.085000,1.5600E-004,1501.085000,3.8540E-006,1501.085000,5.9370E-007,1501.085000,2.6276E002
1501.167500,1.5580E-004,1501.167500,3.8930E-006,1501.167500,6.7590E-007,1501.167500,2.3051E002
1501.250000,1.5610E-004,1501.250000,3.9390E-006,1501.250000,6.5870E-007,1501.250000,2.3698E002
1501.332500,1.5580E-004,1501.332500,3.9990E-006,1501.332500,6.8230E-007,1501.332500,2.2835E002
1501.415000,1.5560E-004,1501.415000,3.8870E-006,1501.415000,5.9600E-007,1501.415000,2.6107E002
1501.497500,1.5560E-004,1501.497500,3.9580E-006,1501.497500,6.5730E-007,1501.497500,2.3673E002
1501.580000,1.5560E-004,1501.580000,3.9950E-006,1501.580000,7.2350E-007,1501.580000,2.1507E002
1501.662500,1.5530E-004,1501.662500,3.9350E-006,1501.662500,6.6040E-007,1501.662500,2.3516E002
1501.745000,1.5540E-004,1501.745000,3.9510E-006,1501.745000,6.5590E-007,1501.745000,2.3693E002
1501.827500,1.5550E-004,1501.827500,3.9490E-006,1501.827500,6.5030E-007,1501.827500,2.3912E002
1501.910000,1.5510E-004,1501.910000,3.9470E-006,1501.910000,6.8170E-007,1501.910000,2.2752E002
1501.992500,1.5520E-004,1501.992500,3.9220E-006,1501.992500,6.2880E-007,1501.992500,2.4682E002
1502.075000,1.5510E-004,1502.075000,3.9880E-006,1502.075000,6.0310E-007,1502.075000,2.5717E002
1502.157500,1.5440E-004,1502.157500,3.8910E-006,1502.157500,6.8860E-007,1502.157500,2.2422E002
1502.240000,1.5510E-004,1502.240000,4.0010E-006,1502.240000,6.0270E-007,1502.240000,2.5734E002
1502.322500,1.5540E-004,1502.322500,4.0790E-006,1502.322500,6.4790E-007,1502.322500,2.3985E002
1502.405000,1.5510E-004,1502.405000,3.9140E-006,1502.405000,6.7520E-007,1502.405000,2.2971E002
1502.487500,1.5510E-004,1502.487500,3.9640E-006,1502.487500,6.8990E-007,1502.487500,2.2482E002
1502.570000,1.5540E-004,1502.570000,4.0830E-006,1502.570000,6.7620E-007,1502.570000,2.2981E002
1502.652500,1.5470E-004,1502.652500,3.9330E-006,1502.652500,6.9320E-007,1502.652500,2.2317E002
1502.735000,1.5470E-004,1502.735000,4.0090E-006,1502.735000,6.6860E-007,1502.735000,2.3138E002
1502.817500,1.5490E-004,1502.817500,3.9430E-006,1502.817500,6.9520E-007,1502.817500,2.2281E002
1502.900000,1.5480E-004,1502.900000,3.9470E-006,1502.900000,7.3060E-007,1502.900000,2.1188E002
1502.982500,1.5450E-004,1502.982500,4.0030E-006,1502.982500,6.2570E-007,1502.982500,2.4692E002
1503.065000,1.5450E-004,1503.065000,3.8440E-006,1503.065000,7.3780E-007,1503.065000,2.0941E002
1503.147500,1.5440E-004,1503.147500,3.9660E-006,1503.147500,7.3870E-007,1503.147500,2.0902E002
1503.230000,1.5450E-004,1503.230000,4.0870E-006,1503.230000,7.1220E-007,1503.230000,2.1693E002
1503.312500,1.5490E-004,1503.312500,3.9120E-006,1503.312500,6.6030E-007,1503.312500,2.3459E002
1503.395000,1.5420E-004,1503.395000,3.9080E-006,1503.395000,6.7380E-007,1503.395000,2.2885E002
1503.477500,1.5430E-004,1503.477500,3.9590E-006,1503.477500,6.8080E-007,1503.477500,2.2665E002
1503.560000,1.5480E-004,1503.560000,3.9880E-006,1503.560000,6.6690E-007,1503.560000,2.3212E002
1503.642500,1.5430E-004,1503.642500,3.9370E-006,1503.642500,7.3700E-007,1503.642500,2.0936E002
1503.725000,1.5420E-004,1503.725000,3.9380E-006,1503.725000,6.3580E-007,1503.725000,2.4253E002
1503.807500,1.5450E-004,1503.807500,3.9530E-006,1503.807500,7.1570E-007,1503.807500,2.1587E002
1503.890000,1.5380E-004,1503.890000,3.9690E-006,1503.890000,6.7810E-007,1503.890000,2.2681E002
1503.972500,1.5410E-004,1503.972500,3.9160E-006,1503.972500,7.2500E-007,1503.972500,2.1255E002
1504.055000,1.5400E-004,1504.055000,3.9880E-006,1504.055000,7.6240E-007,1504.055000,2.0199E002
1504.137500,1.5320E-004,1504.137500,3.8990E-006,1504.137500,6.5230E-007,1504.137500,2.3486E002
1504.220000,1.5380E-004,1504.220000,3.9900E-006,1504.220000,7.3660E-007,1504.220000,2.0880E002
1504.302500,1.5380E-004,1504.302500,3.9610E-006,1504.302500,7.4820E-007,1504.302500,2.0556E002
1504.385000,1.5410E-004,1504.385000,3.8210E-006,1504.385000,7.1140E-007,1504.385000,2.1662E002
1504.467500,1.5380E-004,1504.467500,3.8660E-006,1504.467500,7.3250E-007,1504.467500,2.0997E002
1504.550000,1.5440E-004,1504.550000,4.0130E-006,1504.550000,6.5690E-007,1504.550000,2.3504E002
1504.632500,1.5400E-004,1504.632500,3.8830E-006,1504.632500,7.0260E-007,1504.632500,2.1919E002
1504.715000,1.5360E-004,1504.715000,3.8810E-006,1504.715000,6.8020E-007,1504.715000,2.2582E002
1504.797500,1.5430E-004,1504.797500,3.9450E-006,1504.797500,7.3170E-007,1504.797500,2.1088E002
1504.880000,1.5360E-004,1504.880000,3.8810E-006,1504.880000,7.9110E-007,1504.880000,1.9416E002
1504.962500,1.5380E-004,1504.962500,3.8410E-006,1504.962500,7.1510E-007,1504.962500,2.1507E002
1505.045000,1.5380E-004,1505.045000,3.8500E-006,1505.045000,6.8070E-007,1505.045000,2.2594E002
1505.127500,1.5330E-004,1505.127500,3.9420E-006,1505.127500,7.0130E-007,1505.127500,2.1859E002
1505.210000,1.5390E-004,1505.210000,3.8560E-006,1505.210000,7.1210E-007,1505.210000,2.1612E002
1505.292500,1.5400E-004,1505.292500,3.9050E-006,1505.292500,6.9490E-007,1505.292500,2.2161E002
1505.375000,1.5370E-004,1505.375000,3.8210E-006,1505.375000,7.3580E-007,1505.375000,2.0889E002
1505.457500,1.5370E-004,1505.457500,3.9160E-006,1505.457500,7.5810E-007,1505.457500,2.0274E002
1505.540000,1.5400E-004,1505.540000,3.7840E-006,1505.540000,7.7030E-007,1505.540000,1.9992E002
1505.622500,1.5370E-004,1505.622500,3.8660E-006,1505.622500,7.1950E-007,1505.622500,2.1362E002
1505.705000,1.5340E-004,1505.705000,3.8250E-006,1505.705000,6.7930E-007,1505.705000,2.2582E002
1505.787500,1.5390E-004,1505.787500,3.8140E-006,1505.787500,7.3480E-007,1505.787500,2.0944E002
1505.870000,1.5360E-004,1505.870000,3.8250E-006,1505.870000,7.9050E-007,1505.870000,1.9431E002
1505.952500,1.5340E-004,1505.952500,3.7320E-006,1505.952500,7.3030E-007,1505.952500,2.1005E002
1506.035000,1.5380E-004,1506.035000,3.7610E-006,1506.035000,7.4980E-007,1506.035000,2.0512E002
1506.117500,1.5320E-004,1506.117500,3.7770E-006,1506.117500,7.4780E-007,1506.117500,2.0487E002
1506.200000,1.5330E-004,1506.200000,3.7650E-006,1506.200000,7.7290E-007,1506.200000,1.9834E002
1506.282500,1.5360E-004,1506.282500,3.8820E-006,1506.282500,7.5250E-007,1506.282500,2.0412E002
1506.365000,1.5330E-004,1506.365000,3.7360E-006,1506.365000,7.8040E-007,1506.365000,1.9644E002
1506.447500,1.5350E-004,1506.447500,3.7770E-006,1506.447500,8.1580E-007,1506.447500,1.8816E002
1506.530000,1.5390E-004,1506.530000,3.7690E-006,1506.530000,7.3340E-007,1506.530000,2.0984E002
1506.612500,1.5360E-004,1506.612500,3.6970E-006,1506.612500,8.6140E-007,1506.612500,1.7831E002
1506.695000,1.5350E-004,1506.695000,3.6870E-006,1506.695000,7.9520E-007,1506.695000,1.9303E002
1506.777500,1.5360E-004,1506.777500,3.6640E-006,1506.777500,7.4000E-007,1506.777500,2.0757E002
1506.860000,1.5340E-004,1506.860000,3.7590E-006,1506.860000,7.5520E-007,1506.860000,2.0313E002
1506.942500,1.5360E-004,1506.942500,3.6870E-006,1506.942500,7.6140E-007,1506.942500,2.0173E002
1507.025000,1.5370E-004,1507.025000,3.6680E-006,1507.025000,8.4470E-007,1507.025000,1.8196E002
1507.107500,1.5310E-004,1507.107500,3.6470E-006,1507.107500,7.6590E-007,1507.107500,1.9990E002
1507.190000,1.5320E-004,1507.190000,3.7010E-006,1507.190000,8.0470E-007,1507.190000,1.9038E002
1507.272500,1.5390E-004,1507.272500,3.6410E-006,1507.272500,7.6240E-007,1507.272500,2.0186E002
1507.355000,1.5330E-004,1507.355000,3.6170E-006,1507.355000,8.0030E-007,1507.355000,1.9155E002
1507.437500,1.5320E-004,1507.437500,3.5730E-006,1507.437500,8.0470E-007,1507.437500,1.9038E002
1507.520000,1.5390E-004,1507.520000,3.5360E-006,1507.520000,8.2610E-007,1507.520000,1.8630E002
1507.602500,1.5270E-004,1507.602500,3.6500E-006,1507.602500,7.5440E-007,1507.602500,2.0241E002
1507.685000,1.5350E-004,1507.685000,3.5980E-006,1507.685000,7.3670E-007,1507.685000,2.0836E002
1507.767500,1.5380E-004,1507.767500,3.5730E-006,1507.767500,7.5070E-007,1507.767500,2.0488E002
1507.850000,1.5360E-004,1507.850000,3.5820E-006,1507.850000,8.0450E-007,1507.850000,1.9093E002
1507.932500,1.5350E-004,1507.932500,3.4760E-006,1507.932500,7.9310E-007,1507.932500,1.9354E002
1508.015000,1.5380E-004,1508.015000,3.5840E-006,1508.015000,7.4960E-007,1508.015000,2.0518E002
1508.097500,1.5350E-004,1508.097500,3.4870E-006,1508.097500,7.8690E-007,1508.097500,1.9507E002
1508.180000,1.5320E-004,1508.180000,3.4830E-006,1508.180000,7.7210E-007,1508.180000,1.9842E002
1508.262500,1.5380E-004,1508.262500,3.4750E-006,1508.262500,8.1180E-007,1508.262500,1.8946E002
1508.345000,1.5340E-004,1508.345000,3.5730E-006,1508.345000,7.6080E-007,1508.345000,2.0163E002
1508.427500,1.5290E-004,1508.427500,3.5030E-006,1508.427500,8.0590E-007,1508.427500,1.8973E002
1508.510000,1.5360E-004,1508.510000,3.5260E-006,1508.510000,7.7350E-007,1508.510000,1.9858E002
1508.592500,1.5320E-004,1508.592500,3.4870E-006,1508.592500,7.7000E-007,1508.592500,1.9896E002
1508.675000,1.5340E-004,1508.675000,3.3700E-006,1508.675000,8.3610E-007,1508.675000,1.8347E002
1508.757500,1.5400E-004,1508.757500,3.3680E-006,1508.757500,7.5870E-007,1508.757500,2.0298E002
1508.840000,1.5320E-004,1508.840000,3.3990E-006,1508.840000,8.0630E-007,1508.840000,1.9000E002
1508.922500,1.5360E-004,1508.922500,3.4270E-006,1508.922500,8.2440E-007,1508.922500,1.8632E002
1509.005000,1.5360E-004,1509.005000,3.3660E-006,1509.005000,7.7370E-007,1509.005000,1.9853E002
1509.087500,1.5340E-004,1509.087500,3.3250E-006,1509.087500,8.0190E-007,1509.087500,1.9130E002
1509.170000,1.5330E-004,1509.170000,3.3490E-006,1509.170000,7.9350E-007,1509.170000,1.9319E002
1509.252500,1.5380E-004,1509.252500,3.3700E-006,1509.252500,7.7540E-007,1509.252500,1.9835E002
1509.335000,1.5350E-004,1509.335000,3.3020E-006,1509.335000,8.0500E-007,1509.335000,1.9068E002
1509.417500,1.5310E-004,1509.417500,3.2690E-006,1509.417500,8.3110E-007,1509.417500,1.8421E002
1509.500000,1.5400E-004,1509.500000,3.2380E-006,1509.500000,7.8980E-007,1509.500000,1.9499E002
1509.582500,1.5330E-004,1509.582500,3.3270E-006,1509.582500,7.9820E-007,1509.582500,1.9206E002
1509.665000,1.5370E-004,1509.665000,3.1950E-006,1509.665000,8.1730E-007,1509.665000,1.8806E002
1509.747500,1.5380E-004,1509.747500,3.2550E-006,1509.747500,8.1340E-007,1509.747500,1.8908E002
1509.830000,1.5350E-004,1509.830000,3.1950E-006,1509.830000,7.6630E-007,1509.830000,2.0031E002
1509.912500,1.5360E-004,1509.912500,3.2200E-006,1509.912500,7.6760E-007,1509.912500,2.0010E002
1509.995000,1.5410E-004,1509.995000,3.2240E-006,1509.995000,7.7290E-007,1509.995000,1.9938E002
1510.077500,1.5400E-004,1510.077500,3.1870E-006,1510.077500,9.0740E-007,1510.077500,1.6972E002
1510.160000,1.5400E-004,1510.160000,3.1560E-006,1510.160000,8.5040E-007,1510.160000,1.8109E002
1510.242500,1.5420E-004,1510.242500,3.0800E-006,1510.242500,8.0370E-007,1510.242500,1.9186E002
1510.325000,1.5380E-004,1510.325000,3.0740E-006,1510.325000,8.1920E-007,1510.325000,1.8774E002
1510.407500,1.5380E-004,1510.407500,3.0720E-006,1510.407500,8.2550E-007,1510.407500,1.8631E002
1510.490000,1.5410E-004,1510.490000,3.0780E-006,1510.490000,8.8100E-007,1510.490000,1.7491E002
1510.572500,1.5410E-004,1510.572500,3.0640E-006,1510.572500,8.6310E-007,1510.572500,1.7854E002
1510.655000,1.5390E-004,1510.655000,2.9880E-006,1510.655000,7.6510E-007,1510.655000,2.0115E002
1510.737500,1.5410E-004,1510.737500,2.9820E-006,1510.737500,8.1610E-007,1510.737500,1.8882E002
1510.820000,1.5410E-004,1510.820000,2.9620E-006,1510.820000,7.8850E-007,1510.820000,1.9543E002
1510.902500,1.5390E-004,1510.902500,2.9960E-006,1510.902500,8.4540E-007,1510.902500,1.8204E002
1510.985000,1.5430E-004,1510.985000,2.8750E-006,1510.985000,8.3210E-007,1510.985000,1.8543E002
1511.067500,1.5450E-004,1511.067500,2.9180E-006,1511.067500,8.1710E-007,1511.067500,1.8908E002
1511.150000,1.5450E-004,1511.150000,2.9000E-006,1511.150000,8.7690E-007,1511.150000,1.7619E002
1511.232500,1.5450E-004,1511.232500,2.8730E-006,1511.232500,8.2840E-007,1511.232500,1.8650E002
1511.315000,1.5430E-004,1511.315000,2.8790E-006,1511.315000,8.5380E-007,1511.315000,1.8072E002
1511.397500,1.5430E-004,1511.397500,2.8280E-006,1511.397500,7.7700E-007,1511.397500,1.9858E002
1511.480000,1.5440E-004,1511.480000,2.8240E-006,1511.480000,8.4280E-007,1511.480000,1.8320E002
1511.562500,1.5430E-004,1511.562500,2.8360E-006,1511.562500,8.5080E-007,1511.562500,1.8136E002
1511.645000,1.5400E-004,1511.645000,2.9410E-006,1511.645000,8.5280E-007,1511.645000,1.8058E002
1511.727500,1.5450E-004,1511.727500,2.8180E-006,1511.727500,8.2570E-007,1511.727500,1.8711E002
1511.810000,1.5450E-004,1511.810000,2.8140E-006,1511.810000,8.7070E-007,1511.810000,1.7744E002
1511.892500,1.5440E-004,1511.892500,2.7010E-006,1511.892500,8.1150E-007,1511.892500,1.9026E002
1511.975000,1.5470E-004,1511.975000,2.7750E-006,1511.975000,7.9480E-007,1511.975000,1.9464E002
1512.057500,1.5480E-004,1512.057500,2.7730E-006,1512.057500,8.9060E-007,1512.057500,1.7382E002
1512.140000,1.5440E-004,1512.140000,2.7480E-006,1512.140000,8.6180E-007,1512.140000,1.7916E002
1512.222500,1.5490E-004,1512.222500,2.7050E-006,1512.222500,8.5500E-007,1512.222500,1.8117E002
1512.305000,1.5530E-004,1512.305000,2.7810E-006,1512.305000,8.1010E-007,1512.305000,1.9170E002
1512.387500,1.5460E-004,1512.387500,2.6090E-006,1512.387500,8.4460E-007,1512.387500,1.8305E002
1512.470000,1.5510E-004,1512.470000,2.6420E-006,1512.470000,8.1970E-007,1512.470000,1.8922E002
1512.552500,1.5540E-004,1512.552500,2.6500E-006,1512.552500,8.6980E-007,1512.552500,1.7866E002
1512.635000,1.5470E-004,1512.635000,2.5550E-006,1512.635000,7.9100E-007,1512.635000,1.9558E002
1512.717500,1.5500E-004,1512.717500,2.5800E-006,1512.717500,8.4190E-007,1512.717500,1.8411E002
1512.800000,1.5510E-004,1512.800000,2.5470E-006,1512.800000,8.5280E-007,1512.800000,1.8187E002
1512.882500,1.5460E-004,1512.882500,2.5450E-006,1512.882500,8.3780E-007,1512.882500,1.8453E002
1512.965000,1.5530E-004,1512.965000,2.5860E-006,1512.965000,8.8850E-007,1512.965000,1.7479E002
1513.047500,1.5530E-004,1513.047500,2.4800E-006,1513.047500,8.4290E-007,1513.047500,1.8424E002
1513.130000,1.5520E-004,1513.130000,2.5070E-006,1513.130000,8.7630E-007,1513.130000,1.7711E002
1513.212500,1.5540E-004,1513.212500,2.5010E-006,1513.212500,8.1600E-007,1513.212500,1.9044E002
1513.295000,1.5570E-004,1513.295000,2.4390E-006,1513.295000,9.1720E-007,1513.295000,1.6976E002
1513.377500,1.5550E-004,1513.377500,2.3900E-006,1513.377500,8.1760E-007,1513.377500,1.9019E002
1513.460000,1.5530E-004,1513.460000,2.4210E-006,1513.460000,8.6810E-007,1513.460000,1.7890E002
1513.542500,1.5590E-004,1513.542500,2.4080E-006,1513.542500,8.4980E-007,1513.542500,1.8345E002
1513.625000,1.5540E-004,1513.625000,2.3820E-006,1513.625000,8.3850E-007,1513.625000,1.8533E002
1513.707500,1.5540E-004,1513.707500,2.3650E-006,1513.707500,8.9830E-007,1513.707500,1.7299E002
1513.790000,1.5600E-004,1513.790000,2.4100E-006,1513.790000,8.3320E-007,1513.790000,1.8723E002
1513.872500,1.5540E-004,1513.872500,2.2150E-006,1513.872500,8.7100E-007,1513.872500,1.7842E002
1513.955000,1.5550E-004,1513.955000,2.2600E-006,1513.955000,8.5480E-007,1513.955000,1.8191E002
1514.037500,1.5600E-004,1514.037500,2.3790E-006,1514.037500,8.5990E-007,1514.037500,1.8142E002
1514.120000,1.5570E-004,1514.120000,2.2700E-006,1514.120000,8.7910E-007,1514.120000,1.7711E002
1514.202500,1.5580E-004,1514.202500,2.2650E-006,1514.202500,8.9060E-007,1514.202500,1.7494E002
1514.285000,1.5620E-004,1514.285000,2.2650E-006,1514.285000,8.1840E-007,1514.285000,1.9086E002
1514.367500,1.5620E-004,1514.367500,2.2570E-006,1514.367500,9.3680E-007,1514.367500,1.6674E002
1514.450000,1.5640E-004,1514.450000,2.2430E-006,1514.450000,8.7170E-007,1514.450000,1.7942E002
1514.532500,1.5660E-004,1514.532500,2.2820E-006,1514.532500,9.0370E-007,1514.532500,1.7329E002
1514.615000,1.5640E-004,1514.615000,2.1900E-006,1514.615000,9.3410E-007,1514.615000,1.6743E002
1514.697500,1.5630E-004,1514.697500,2.1160E-006,1514.697500,8.9450E-007,1514.697500,1.7473E002
1514.780000,1.5650E-004,1514.780000,2.0990E-006,1514.780000,8.7810E-007,1514.780000,1.7823E002
1514.862500,1.5650E-004,1514.862500,2.0910E-006,1514.862500,9.0700E-007,1514.862500,1.7255E002
1514.945000,1.5630E-004,1514.945000,2.0890E-006,1514.945000,8.4320E-007,1514.945000,1.8537E002
1515.027500,1.5670E-004,1515.027500,2.0990E-006,1515.027500,9.0580E-007,1515.027500,1.7300E002
1515.110000,1.5620E-004,1515.110000,2.0540E-006,1515.110000,9.4250E-007,1515.110000,1.6573E002
1515.192500,1.5660E-004,1515.192500,2.1070E-006,1515.192500,9.3450E-007,1515.192500,1.6758E002
1515.275000,1.5740E-004,1515.275000,2.0300E-006,1515.275000,9.0120E-007,1515.275000,1.7466E002
1515.357500,1.5710E-004,1515.357500,2.0320E-006,1515.357500,9.1250E-007,1515.357500,1.7216E002
1515.440000,1.5680E-004,1515.440000,2.0370E-006,1515.440000,9.2770E-007,1515.440000,1.6902E002
1515.522500,1.5720E-004,1515.522500,1.9590E-006,1515.522500,9.6310E-007,1515.522500,1.6322E002
1515.605000,1.5710E-004,1515.605000,2.0100E-006,1515.605000,9.3980E-007,1515.605000,1.6716E002
1515.687500,1.5710E-004,1515.687500,1.9920E-006,1515.687500,9.6580E-007,1515.687500,1.6266E002
1515.770000,1.5750E-004,1515.770000,1.9430E-006,1515.770000,9.8140E-007,1515.770000,1.6049E002
1515.852500,1.5710E-004,1515.852500,1.9960E-006,1515.852500,8.8670E-007,1515.852500,1.7717E002
1515.935000,1.5760E-004,1515.935000,1.9770E-006,1515.935000,9.4980E-007,1515.935000,1.6593E002
1516.017500,1.5770E-004,1516.017500,1.8700E-006,1516.017500,9.6290E-007,1516.017500,1.6378E002
1516.100000,1.5750E-004,1516.100000,1.8880E-006,1516.100000,9.1820E-007,1516.100000,1.7153E002
1516.182500,1.5760E-004,1516.182500,1.8940E-006,1516.182500,9.2680E-007,1516.182500,1.7005E002
1516.265000,1.5790E-004,1516.265000,1.8820E-006,1516.265000,9.4300E-007,1516.265000,1.6744E002
1516.347500,1.5810E-004,1516.347500,1.9180E-006,1516.347500,9.2310E-007,1516.347500,1.7127E002
1516.430000,1.5780E-004,1516.430000,1.7990E-006,1516.430000,9.6100E-007,1516.430000,1.6420E002
1516.512500,1.5840E-004,1516.512500,1.8780E-006,1516.512500,9.2780E-007,1516.512500,1.7073E002
1516.595000,1.5800E-004,1516.595000,1.8300E-006,1516.595000,9.7590E-007,1516.595000,1.6190E002
1516.677500,1.5800E-004,1516.677500,1.8300E-006,1516.677500,9.4770E-007,1516.677500,1.6672E002
1516.760000,1.5870E-004,1516.760000,1.8260E-006,1516.760000,9.7180E-007,1516.760000,1.6331E002
1516.842500,1.5840E-004,1516.842500,1.8130E-006,1516.842500,1.0190E-006,1516.842500,1.5545E002
1516.925000,1.5840E-004,1516.925000,1.7820E-006,1516.925000,1.0020E-006,1516.925000,1.5808E002
1517.007500,1.5840E-004,1517.007500,1.7430E-006,1517.007500,9.5870E-007,1517.007500,1.6522E002
1517.090000,1.5840E-004,1517.090000,1.8070E-006,1517.090000,9.3110E-007,1517.090000,1.7012E002
1517.172500,1.5840E-004,1517.172500,1.6750E-006,1517.172500,9.2490E-007,1517.172500,1.7126E002
1517.255000,1.5850E-004,1517.255000,1.7450E-006,1517.255000,9.4210E-007,1517.255000,1.6824E002
1517.337500,1.5860E-004,1517.337500,1.7030E-006,1517.337500,9.7390E-007,1517.337500,1.6285E002
1517.420000,1.5890E-004,1517.420000,1.7080E-006,1517.420000,9.5250E-007,1517.420000,1.6682E002
1517.502500,1.5890E-004,1517.502500,1.6500E-006,1517.502500,9.7710E-007,1517.502500,1.6262E002
1517.585000,1.5960E-004,1517.585000,1.6860E-006,1517.585000,9.7440E-007,1517.585000,1.6379E002
1517.667500,1.5930E-004,1517.667500,1.6620E-006,1517.667500,9.5120E-007,1517.667500,1.6747E002
1517.750000,1.5930E-004,1517.750000,1.6650E-006,1517.750000,9.8770E-007,1517.750000,1.6128E002
1517.832500,1.5980E-004,1517.832500,1.6010E-006,1517.832500,9.8930E-007,1517.832500,1.6153E002
1517.915000,1.5890E-004,1517.915000,1.5570E-006,1517.915000,1.0530E-006,1517.915000,1.5090E002
1517.997500,1.5970E-004,1517.997500,1.6060E-006,1517.997500,9.7770E-007,1517.997500,1.6334E002
1518.080000,1.5990E-004,1518.080000,1.6030E-006,1518.080000,1.0120E-006,1518.080000,1.5800E002
1518.162500,1.5950E-004,1518.162500,1.5740E-006,1518.162500,9.8970E-007,1518.162500,1.6116E002
1518.245000,1.6000E-004,1518.245000,1.5440E-006,1518.245000,1.0180E-006,1518.245000,1.5717E002
1518.327500,1.5980E-004,1518.327500,1.5370E-006,1518.327500,1.0270E-006,1518.327500,1.5560E002
1518.410000,1.5990E-004,1518.410000,1.5190E-006,1518.410000,1.0030E-006,1518.410000,1.5942E002
1518.492500,1.6010E-004,1518.492500,1.5010E-006,1518.492500,9.7630E-007,1518.492500,1.6399E002
1518.575000,1.6060E-004,1518.575000,1.5680E-006,1518.575000,1.0180E-006,1518.575000,1.5776E002
1518.657500,1.6050E-004,1518.657500,1.5270E-006,1518.657500,1.0090E-006,1518.657500,1.5907E002
1518.740000,1.6080E-004,1518.740000,1.5510E-006,1518.740000,1.0110E-006,1518.740000,1.5905E002
1518.822500,1.6090E-004,1518.822500,1.5150E-006,1518.822500,1.0440E-006,1518.822500,1.5412E002
1518.905000,1.6070E-004,1518.905000,1.4910E-006,1518.905000,1.0660E-006,1518.905000,1.5075E002
1518.987500,1.6100E-004,1518.987500,1.4440E-006,1518.987500,1.0060E-006,1518.987500,1.6004E002
1519.070000,1.6180E-004,1519.070000,1.4110E-006,1519.070000,1.0340E-006,1519.070000,1.5648E002
1519.152500,1.6110E-004,1519.152500,1.5100E-006,1519.152500,1.0530E-006,1519.152500,1.5299E002
1519.235000,1.6110E-004,1519.235000,1.5100E-006,1519.235000,1.0290E-006,1519.235000,1.5656E002
1519.317500,1.6150E-004,1519.317500,1.4390E-006,1519.317500,1.0060E-006,1519.317500,1.6054E002
1519.400000,1.6130E-004,1519.400000,1.4710E-006,1519.400000,1.0580E-006,1519.400000,1.5246E002
1519.482500,1.6140E-004,1519.482500,1.3850E-006,1519.482500,1.0870E-006,1519.482500,1.4848E002
1519.565000,1.6170E-004,1519.565000,1.4250E-006,1519.565000,1.1010E-006,1519.565000,1.4687E002
1519.647500,1.6130E-004,1519.647500,1.3810E-006,1519.647500,1.0590E-006,1519.647500,1.5231E002
1519.730000,1.6200E-004,1519.730000,1.4090E-006,1519.730000,1.1040E-006,1519.730000,1.4674E002
1519.812500,1.6230E-004,1519.812500,1.4790E-006,1519.812500,9.7630E-007,1519.812500,1.6624E002
1519.895000,1.6230E-004,1519.895000,1.3610E-006,1519.895000,1.0850E-006,1519.895000,1.4959E002
1519.977500,1.6180E-004,1519.977500,1.3720E-006,1519.977500,1.0820E-006,1519.977500,1.4954E002
1520.060000,1.6240E-004,1520.060000,1.3570E-006,1520.060000,1.0680E-006,1520.060000,1.5206E002
