File,G652D_40_500_2.csv,
Date/Time,23-10-20/12:31,

Trace,A
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,B,
Trace Calculate Trace 2,C,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm
Trace,B
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,C,
Trace Calculate Trace 2,D,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm
Trace,C
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Calculate,
Trace Storage Mode,Off,
Trace Calculate Trace 1,A,
Trace Calculate Trace 2,B,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-3.2940E-008,1400.000000,-1.7450E-008,1400.000000,1.0000E000
1400.125000,-2.1340E-008,1400.125000,-3.6340E-008,1400.125000,1.0000E000
1400.250000,-6.2210E-008,1400.250000,-3.4640E-008,1400.250000,1.0000E000
1400.375000,-1.0000E-008,1400.375000,-4.7850E-008,1400.375000,1.0000E000
1400.500000,-1.7670E-008,1400.500000,-1.3050E-008,1400.500000,1.0000E000
1400.625000,-9.3400E-009,1400.625000,-2.1220E-008,1400.625000,1.0000E000
1400.750000,-3.6340E-008,1400.750000,8.3360E-010,1400.750000,1.1996E-003
1400.875000,-3.9500E-008,1400.875000,-4.6780E-008,1400.875000,1.0000E000
1401.000000,-3.8060E-008,1401.000000,-4.3170E-008,1401.000000,1.0000E000
1401.125000,-3.6920E-008,1401.125000,-3.3280E-008,1401.125000,1.0000E000
1401.250000,-2.9860E-008,1401.250000,-3.8080E-008,1401.250000,1.0000E000
1401.375000,1.0210E-008,1401.375000,-3.4120E-008,1401.375000,1.0210E004
1401.500000,-2.5270E-008,1401.500000,-4.7390E-008,1401.500000,1.0000E000
1401.625000,-5.2860E-008,1401.625000,1.1070E-008,1401.625000,9.0334E-005
1401.750000,-2.3910E-008,1401.750000,-2.8460E-008,1401.750000,1.0000E000
1401.875000,-1.5900E-008,1401.875000,-1.4740E-008,1401.875000,1.0000E000
1402.000000,-1.8480E-008,1402.000000,-4.7530E-008,1402.000000,1.0000E000
1402.125000,-8.0150E-009,1402.125000,-3.5060E-008,1402.125000,1.0000E000
1402.250000,-1.2590E-008,1402.250000,-5.1350E-008,1402.250000,1.0000E000
1402.375000,-3.5770E-008,1402.375000,-1.2540E-008,1402.375000,1.0000E000
1402.500000,-8.5500E-010,1402.500000,8.0360E-009,1402.500000,1.2444E-004
1402.625000,-1.1430E-008,1402.625000,-4.3320E-008,1402.625000,1.0000E000
1402.750000,2.3700E-008,1402.750000,1.5830E-008,1402.750000,1.4972E000
1402.875000,2.1790E-009,1402.875000,-6.3650E-008,1402.875000,2.1790E003
1403.000000,-2.4350E-008,1403.000000,5.7490E-009,1403.000000,1.7394E-004
1403.125000,5.6210E-009,1403.125000,-2.4320E-008,1403.125000,5.6210E003
1403.250000,-3.9540E-009,1403.250000,-1.0170E-008,1403.250000,1.0000E000
1403.375000,1.9080E-008,1403.375000,-8.7620E-009,1403.375000,1.9080E004
1403.500000,-1.9650E-008,1403.500000,-5.3210E-009,1403.500000,1.0000E000
1403.625000,-1.9650E-009,1403.625000,-1.7140E-008,1403.625000,1.0000E000
1403.750000,-3.5900E-009,1403.750000,-4.4030E-009,1403.750000,1.0000E000
1403.875000,-3.8670E-009,1403.875000,1.4810E-008,1403.875000,6.7522E-005
1404.000000,-1.1000E-008,1404.000000,-2.6460E-008,1404.000000,1.0000E000
1404.125000,1.5590E-008,1404.125000,-4.2500E-008,1404.125000,1.5590E004
1404.250000,-5.5970E-009,1404.250000,-4.4690E-008,1404.250000,1.0000E000
1404.375000,-1.6440E-008,1404.375000,-4.3850E-008,1404.375000,1.0000E000
1404.500000,1.1660E-008,1404.500000,-3.1260E-008,1404.500000,1.1660E004
1404.625000,-8.1380E-009,1404.625000,-2.0520E-008,1404.625000,1.0000E000
1404.750000,-4.7640E-009,1404.750000,-6.8140E-009,1404.750000,1.0000E000
1404.875000,-1.7710E-008,1404.875000,-2.2410E-008,1404.875000,1.0000E000
1405.000000,-1.8800E-009,1405.000000,-4.2970E-008,1405.000000,1.0000E000
1405.125000,4.8710E-009,1405.125000,-2.7910E-008,1405.125000,4.8710E003
1405.250000,-8.6510E-009,1405.250000,-2.2410E-008,1405.250000,1.0000E000
1405.375000,-5.1970E-008,1405.375000,-4.6570E-008,1405.375000,1.0000E000
1405.500000,-2.3900E-008,1405.500000,-3.3950E-009,1405.500000,1.0000E000
1405.625000,7.3470E-009,1405.625000,-2.8340E-008,1405.625000,7.3470E003
1405.750000,1.0010E-008,1405.750000,1.4610E-008,1405.750000,6.8515E-001
1405.875000,-2.5580E-008,1405.875000,-2.0390E-008,1405.875000,1.0000E000
1406.000000,-2.2090E-008,1406.000000,-9.3790E-009,1406.000000,1.0000E000
1406.125000,-5.1270E-009,1406.125000,4.4640E-009,1406.125000,2.2401E-004
1406.250000,-2.5120E-008,1406.250000,1.6170E-008,1406.250000,6.1843E-005
1406.375000,-1.0760E-008,1406.375000,-1.2340E-008,1406.375000,1.0000E000
1406.500000,2.6370E-008,1406.500000,-1.4800E-008,1406.500000,2.6370E004
1406.625000,-1.1300E-008,1406.625000,1.4050E-008,1406.625000,7.1174E-005
1406.750000,-2.3300E-008,1406.750000,-8.0060E-009,1406.750000,1.0000E000
1406.875000,2.1940E-008,1406.875000,7.2150E-009,1406.875000,3.0409E000
1407.000000,-2.7380E-008,1407.000000,-1.6010E-008,1407.000000,1.0000E000
1407.125000,1.6910E-008,1407.125000,1.3870E-009,1407.125000,1.2192E001
1407.250000,7.3220E-009,1407.250000,4.0740E-008,1407.250000,1.7973E-001
1407.375000,1.0670E-008,1407.375000,-1.5220E-008,1407.375000,1.0670E004
1407.500000,-1.9630E-009,1407.500000,-9.8650E-009,1407.500000,1.0000E000
1407.625000,-2.3110E-008,1407.625000,-4.6410E-008,1407.625000,1.0000E000
1407.750000,-5.1240E-009,1407.750000,1.0100E-008,1407.750000,9.9010E-005
1407.875000,2.0160E-008,1407.875000,-4.2450E-008,1407.875000,2.0160E004
1408.000000,-1.4770E-008,1408.000000,-1.4900E-008,1408.000000,1.0000E000
1408.125000,-1.7970E-008,1408.125000,-2.0700E-009,1408.125000,1.0000E000
1408.250000,1.9800E-008,1408.250000,-4.8030E-009,1408.250000,1.9800E004
1408.375000,3.8140E-008,1408.375000,4.1630E-009,1408.375000,9.1617E000
1408.500000,5.5910E-009,1408.500000,-8.6640E-009,1408.500000,5.5910E003
1408.625000,1.2540E-008,1408.625000,-2.1300E-008,1408.625000,1.2540E004
1408.750000,8.0230E-009,1408.750000,4.2680E-009,1408.750000,1.8798E000
1408.875000,2.3230E-008,1408.875000,-1.5790E-009,1408.875000,2.3230E004
1409.000000,5.9780E-008,1409.000000,-2.8800E-008,1409.000000,5.9780E004
1409.125000,1.9140E-008,1409.125000,2.3800E-008,1409.125000,8.0420E-001
1409.250000,1.2760E-008,1409.250000,1.2800E-008,1409.250000,9.9688E-001
1409.375000,-2.8590E-009,1409.375000,5.2280E-009,1409.375000,1.9128E-004
1409.500000,2.3840E-008,1409.500000,-3.4400E-008,1409.500000,2.3840E004
1409.625000,2.7620E-008,1409.625000,2.0480E-008,1409.625000,1.3486E000
1409.750000,2.2670E-008,1409.750000,-7.6810E-009,1409.750000,2.2670E004
1409.875000,-8.0880E-009,1409.875000,-6.1030E-009,1409.875000,1.0000E000
1410.000000,3.5200E-009,1410.000000,3.0940E-009,1410.000000,1.1377E000
1410.125000,1.2330E-008,1410.125000,1.5250E-008,1410.125000,8.0852E-001
1410.250000,2.6000E-008,1410.250000,-6.1410E-009,1410.250000,2.6000E004
1410.375000,4.9830E-008,1410.375000,1.9910E-008,1410.375000,2.5028E000
1410.500000,2.5410E-008,1410.500000,-4.8710E-008,1410.500000,2.5410E004
1410.625000,-2.3650E-009,1410.625000,-1.5950E-008,1410.625000,1.0000E000
1410.750000,2.8410E-008,1410.750000,-2.5380E-008,1410.750000,2.8410E004
1410.875000,-1.2550E-008,1410.875000,-1.1080E-009,1410.875000,1.0000E000
1411.000000,-9.0600E-009,1411.000000,4.2640E-009,1411.000000,2.3452E-004
1411.125000,2.0240E-009,1411.125000,-6.7110E-009,1411.125000,2.0240E003
1411.250000,2.0080E-008,1411.250000,-2.3860E-009,1411.250000,2.0080E004
1411.375000,1.0420E-008,1411.375000,-3.4510E-009,1411.375000,1.0420E004
1411.500000,1.8840E-008,1411.500000,5.0760E-008,1411.500000,3.7116E-001
1411.625000,3.3120E-008,1411.625000,3.2990E-009,1411.625000,1.0039E001
1411.750000,-1.2710E-008,1411.750000,1.1200E-008,1411.750000,8.9286E-005
1411.875000,3.6910E-008,1411.875000,-1.2770E-010,1411.875000,3.6910E004
