File,G652D_40_1500_3.csv,
Date/Time,23-10-20/13:55,

Trace,A
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,B,
Trace Calculate Trace 2,C,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm
Trace,B
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,C,
Trace Calculate Trace 2,D,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm
Trace,C
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Calculate,
Trace Storage Mode,Off,
Trace Calculate Trace 1,A,
Trace Calculate Trace 2,B,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-3.5270E-008,1400.000000,-5.8860E-008,1400.000000,1.0000E000
1400.125000,-2.6150E-008,1400.125000,-5.9320E-008,1400.125000,1.0000E000
1400.250000,-1.7310E-008,1400.250000,-5.2060E-008,1400.250000,1.0000E000
1400.375000,1.5810E-009,1400.375000,-6.3490E-008,1400.375000,1.5810E003
1400.500000,-1.5090E-008,1400.500000,-6.3740E-008,1400.500000,1.0000E000
1400.625000,-1.8100E-008,1400.625000,-5.7390E-008,1400.625000,1.0000E000
1400.750000,-4.1910E-008,1400.750000,-6.2590E-008,1400.750000,1.0000E000
1400.875000,-3.3280E-008,1400.875000,-5.8980E-008,1400.875000,1.0000E000
1401.000000,-3.7090E-008,1401.000000,-3.6740E-008,1401.000000,1.0000E000
1401.125000,-4.2900E-008,1401.125000,-8.3970E-008,1401.125000,1.0000E000
1401.250000,-5.4770E-008,1401.250000,-5.9920E-008,1401.250000,1.0000E000
1401.375000,-8.7200E-009,1401.375000,-5.0260E-008,1401.375000,1.0000E000
1401.500000,-1.0640E-008,1401.500000,-7.8830E-008,1401.500000,1.0000E000
1401.625000,-1.7860E-008,1401.625000,-7.8520E-008,1401.625000,1.0000E000
1401.750000,-2.5440E-008,1401.750000,-5.7130E-008,1401.750000,1.0000E000
1401.875000,-5.2190E-008,1401.875000,-4.8730E-009,1401.875000,1.0000E000
1402.000000,5.3210E-009,1402.000000,-4.5560E-008,1402.000000,5.3210E003
1402.125000,-1.5750E-008,1402.125000,-6.3680E-008,1402.125000,1.0000E000
1402.250000,-3.3360E-008,1402.250000,-7.1450E-008,1402.250000,1.0000E000
1402.375000,2.3930E-009,1402.375000,-6.5830E-008,1402.375000,2.3930E003
1402.500000,1.7100E-010,1402.500000,-3.2000E-008,1402.500000,1.7100E002
1402.625000,-2.2290E-008,1402.625000,-4.1280E-008,1402.625000,1.0000E000
