
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,8.3100E-005,1460.000000,3.9110E-005,1460.000000,1.7590E-005,1460.000000,7.0570E-006,1460.000000,1.1776E001
1460.016500,8.3080E-005,1460.016500,3.9280E-005,1460.016500,1.7630E-005,1460.016500,6.8790E-006,1460.016500,1.2077E001
1460.033000,8.3400E-005,1460.033000,3.9200E-005,1460.033000,1.7660E-005,1460.033000,6.9780E-006,1460.033000,1.1952E001
1460.049500,8.3590E-005,1460.049500,3.9200E-005,1460.049500,1.7680E-005,1460.049500,6.9930E-006,1460.049500,1.1953E001
1460.066000,8.3420E-005,1460.066000,3.9370E-005,1460.066000,1.7700E-005,1460.066000,6.8890E-006,1460.066000,1.2109E001
1460.082500,8.3460E-005,1460.082500,3.9280E-005,1460.082500,1.7730E-005,1460.082500,6.9990E-006,1460.082500,1.1925E001
1460.099000,8.3630E-005,1460.099000,3.9260E-005,1460.099000,1.7740E-005,1460.099000,7.1180E-006,1460.099000,1.1749E001
1460.115500,8.3660E-005,1460.115500,3.9320E-005,1460.115500,1.7770E-005,1460.115500,6.9990E-006,1460.115500,1.1953E001
1460.132000,8.3640E-005,1460.132000,3.9320E-005,1460.132000,1.7700E-005,1460.132000,6.9670E-006,1460.132000,1.2005E001
1460.148500,8.3680E-005,1460.148500,3.9450E-005,1460.148500,1.7770E-005,1460.148500,6.9930E-006,1460.148500,1.1966E001
1460.165000,8.3810E-005,1460.165000,3.9320E-005,1460.165000,1.7790E-005,1460.165000,6.9880E-006,1460.165000,1.1993E001
1460.181500,8.3210E-005,1460.181500,3.9200E-005,1460.181500,1.7690E-005,1460.181500,6.9390E-006,1460.181500,1.1992E001
1460.198000,8.2360E-005,1460.198000,3.8830E-005,1460.198000,1.7530E-005,1460.198000,6.9430E-006,1460.198000,1.1862E001
1460.214500,8.0470E-005,1460.214500,3.8120E-005,1460.214500,1.7260E-005,1460.214500,6.7970E-006,1460.214500,1.1839E001
1460.231000,7.9160E-005,1460.231000,3.7240E-005,1460.231000,1.6900E-005,1460.231000,6.6720E-006,1460.231000,1.1865E001
1460.247500,8.0240E-005,1460.247500,3.7650E-005,1460.247500,1.6990E-005,1460.247500,6.6850E-006,1460.247500,1.2003E001
1460.264000,8.2560E-005,1460.264000,3.8590E-005,1460.264000,1.7270E-005,1460.264000,6.8290E-006,1460.264000,1.2090E001
1460.280500,8.4240E-005,1460.280500,3.9480E-005,1460.280500,1.7770E-005,1460.280500,6.9650E-006,1460.280500,1.2095E001
1460.297000,8.4930E-005,1460.297000,3.9840E-005,1460.297000,1.8000E-005,1460.297000,7.1070E-006,1460.297000,1.1950E001
1460.313500,8.5660E-005,1460.313500,4.0230E-005,1460.313500,1.8140E-005,1460.313500,7.1260E-006,1460.313500,1.2021E001
1460.330000,8.5680E-005,1460.330000,4.0210E-005,1460.330000,1.8130E-005,1460.330000,7.1180E-006,1460.330000,1.2037E001
1460.346500,8.5920E-005,1460.346500,4.0330E-005,1460.346500,1.8220E-005,1460.346500,7.1560E-006,1460.346500,1.2007E001
1460.363000,8.6150E-005,1460.363000,4.0610E-005,1460.363000,1.8290E-005,1460.363000,7.1580E-006,1460.363000,1.2035E001
1460.379500,8.6450E-005,1460.379500,4.0490E-005,1460.379500,1.8370E-005,1460.379500,7.2870E-006,1460.379500,1.1864E001
1460.396000,8.6800E-005,1460.396000,4.0620E-005,1460.396000,1.8390E-005,1460.396000,7.2450E-006,1460.396000,1.1981E001
1460.412500,8.7030E-005,1460.412500,4.0940E-005,1460.412500,1.8460E-005,1460.412500,7.2590E-006,1460.412500,1.1989E001
1460.429000,8.6860E-005,1460.429000,4.0870E-005,1460.429000,1.8460E-005,1460.429000,7.2530E-006,1460.429000,1.1976E001
1460.445500,8.7030E-005,1460.445500,4.0940E-005,1460.445500,1.8480E-005,1460.445500,7.2960E-006,1460.445500,1.1928E001
1460.462000,8.7060E-005,1460.462000,4.1030E-005,1460.462000,1.8600E-005,1460.462000,7.3440E-006,1460.462000,1.1855E001
1460.478500,8.7600E-005,1460.478500,4.1170E-005,1460.478500,1.8630E-005,1460.478500,7.3630E-006,1460.478500,1.1897E001
1460.495000,8.7730E-005,1460.495000,4.1150E-005,1460.495000,1.8570E-005,1460.495000,7.3480E-006,1460.495000,1.1939E001
1460.511500,8.7970E-005,1460.511500,4.1370E-005,1460.511500,1.8700E-005,1460.511500,7.3220E-006,1460.511500,1.2014E001
1460.528000,8.7950E-005,1460.528000,4.1490E-005,1460.528000,1.8760E-005,1460.528000,7.4270E-006,1460.528000,1.1842E001
1460.544500,8.8140E-005,1460.544500,4.1540E-005,1460.544500,1.8740E-005,1460.544500,7.4310E-006,1460.544500,1.1861E001
1460.561000,8.8270E-005,1460.561000,4.1370E-005,1460.561000,1.8720E-005,1460.561000,7.4080E-006,1460.561000,1.1915E001
1460.577500,8.8510E-005,1460.577500,4.1660E-005,1460.577500,1.8820E-005,1460.577500,7.3520E-006,1460.577500,1.2039E001
1460.594000,8.8380E-005,1460.594000,4.1660E-005,1460.594000,1.8720E-005,1460.594000,7.3260E-006,1460.594000,1.2064E001
