
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,9.3210E-005,1460.000000,5.2770E-005,1460.000000,2.1010E-005,1460.000000,1.3860E-007,1460.000000,4.4365E000
1460.016500,9.3250E-005,1460.016500,5.2840E-005,1460.016500,2.0970E-005,1460.016500,1.2230E-007,1460.016500,4.4468E000
1460.033000,9.3430E-005,1460.033000,5.3050E-005,1460.033000,2.0970E-005,1460.033000,9.7280E-008,1460.033000,4.4554E000
1460.049500,9.3600E-005,1460.049500,5.3050E-005,1460.049500,2.1070E-005,1460.049500,1.2020E-007,1460.049500,4.4423E000
1460.066000,9.3900E-005,1460.066000,5.3230E-005,1460.066000,2.1220E-005,1460.066000,9.9430E-008,1460.066000,4.4251E000
1460.082500,9.3990E-005,1460.082500,5.3330E-005,1460.082500,2.1140E-005,1460.082500,1.3200E-007,1460.082500,4.4461E000
1460.099000,9.4440E-005,1460.099000,5.3480E-005,1460.099000,2.1270E-005,1460.099000,1.4800E-007,1460.099000,4.4401E000
1460.115500,9.4630E-005,1460.115500,5.3590E-005,1460.115500,2.1270E-005,1460.115500,8.9100E-008,1460.115500,4.4490E000
1460.132000,9.4700E-005,1460.132000,5.3790E-005,1460.132000,2.1380E-005,1460.132000,1.4300E-007,1460.132000,4.4294E000
1460.148500,9.4830E-005,1460.148500,5.3830E-005,1460.148500,2.1230E-005,1460.148500,1.2540E-007,1460.148500,4.4668E000
1460.165000,9.5040E-005,1460.165000,5.3790E-005,1460.165000,2.1400E-005,1460.165000,1.0160E-007,1460.165000,4.4411E000
1460.181500,9.5080E-005,1460.181500,5.3760E-005,1460.181500,2.1460E-005,1460.181500,1.1210E-007,1460.181500,4.4306E000
1460.198000,9.5280E-005,1460.198000,5.3850E-005,1460.198000,2.1400E-005,1460.198000,1.1520E-007,1460.198000,4.4523E000
1460.214500,9.5000E-005,1460.214500,5.3960E-005,1460.214500,2.1290E-005,1460.214500,1.2300E-007,1460.214500,4.4622E000
1460.231000,9.5260E-005,1460.231000,5.3870E-005,1460.231000,2.1330E-005,1460.231000,1.0620E-007,1460.231000,4.4660E000
1460.247500,9.4700E-005,1460.247500,5.3850E-005,1460.247500,2.1310E-005,1460.247500,1.1410E-007,1460.247500,4.4439E000
1460.264000,9.4520E-005,1460.264000,5.3590E-005,1460.264000,2.1220E-005,1460.264000,1.1530E-007,1460.264000,4.4543E000
1460.280500,9.3960E-005,1460.280500,5.3210E-005,1460.280500,2.1050E-005,1460.280500,1.4750E-007,1460.280500,4.4637E000
1460.297000,9.4390E-005,1460.297000,5.3290E-005,1460.297000,2.1160E-005,1460.297000,8.7830E-008,1460.297000,4.4608E000
1460.313500,9.5450E-005,1460.313500,5.4130E-005,1460.313500,2.1440E-005,1460.313500,1.1340E-007,1460.313500,4.4520E000
1460.330000,9.6250E-005,1460.330000,5.4580E-005,1460.330000,2.1680E-005,1460.330000,1.2230E-007,1460.330000,4.4396E000
1460.346500,9.6700E-005,1460.346500,5.4730E-005,1460.346500,2.1810E-005,1460.346500,1.4870E-007,1460.346500,4.4337E000
1460.363000,9.7190E-005,1460.363000,5.4950E-005,1460.363000,2.1870E-005,1460.363000,9.4610E-008,1460.363000,4.4440E000
1460.379500,9.7450E-005,1460.379500,5.5290E-005,1460.379500,2.1890E-005,1460.379500,1.2300E-007,1460.379500,4.4518E000
1460.396000,9.7470E-005,1460.396000,5.5210E-005,1460.396000,2.1960E-005,1460.396000,1.3510E-007,1460.396000,4.4385E000
1460.412500,9.7780E-005,1460.412500,5.5490E-005,1460.412500,2.1960E-005,1460.412500,1.1300E-007,1460.412500,4.4526E000
1460.429000,9.7770E-005,1460.429000,5.5380E-005,1460.429000,2.2020E-005,1460.429000,1.2890E-007,1460.429000,4.4401E000
1460.445500,9.7930E-005,1460.445500,5.5420E-005,1460.445500,2.1980E-005,1460.445500,1.0500E-007,1460.445500,4.4554E000
1460.462000,9.8070E-005,1460.462000,5.5490E-005,1460.462000,2.2060E-005,1460.462000,1.4090E-007,1460.462000,4.4456E000
