
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1461.848000,1.1760E-004,1461.848000,4.4640E-005,1461.848000,1.1220E-005,1461.848000,4.5650E-006
1461.881000,1.1800E-004,1461.881000,4.4710E-005,1461.881000,1.1240E-005,1461.881000,4.4170E-006
1461.914000,1.1840E-004,1461.914000,4.4920E-005,1461.914000,1.1280E-005,1461.914000,4.5070E-006
1461.947000,1.1860E-004,1461.947000,4.5180E-005,1461.947000,1.1270E-005,1461.947000,4.6040E-006
1461.980000,1.1890E-004,1461.980000,4.5200E-005,1461.980000,1.1270E-005,1461.980000,4.4960E-006
1462.013000,1.1920E-004,1462.013000,4.5250E-005,1462.013000,1.1320E-005,1462.013000,4.6530E-006
1462.046000,1.1930E-004,1462.046000,4.5250E-005,1462.046000,1.1300E-005,1462.046000,4.6660E-006
1462.079000,1.1970E-004,1462.079000,4.5630E-005,1462.079000,1.1380E-005,1462.079000,4.6880E-006
1462.112000,1.2010E-004,1462.112000,4.5610E-005,1462.112000,1.1360E-005,1462.112000,4.6770E-006
1462.145000,1.2080E-004,1462.145000,4.5650E-005,1462.145000,1.1450E-005,1462.145000,4.8210E-006
1462.178000,1.2120E-004,1462.178000,4.6130E-005,1462.178000,1.1510E-005,1462.178000,4.8770E-006
1462.211000,1.2150E-004,1462.211000,4.6300E-005,1462.211000,1.1540E-005,1462.211000,4.8490E-006
1462.244000,1.2170E-004,1462.244000,4.6450E-005,1462.244000,1.1680E-005,1462.244000,4.8440E-006
1462.277000,1.2200E-004,1462.277000,4.6510E-005,1462.277000,1.1600E-005,1462.277000,4.8690E-006
1462.310000,1.2230E-004,1462.310000,4.6530E-005,1462.310000,1.1640E-005,1462.310000,4.8740E-006
1462.343000,1.2280E-004,1462.343000,4.6800E-005,1462.343000,1.1710E-005,1462.343000,4.9700E-006
1462.376000,1.2360E-004,1462.376000,4.7020E-005,1462.376000,1.1780E-005,1462.376000,5.0310E-006
1462.409000,1.2390E-004,1462.409000,4.7240E-005,1462.409000,1.1860E-005,1462.409000,4.9150E-006
1462.442000,1.2430E-004,1462.442000,4.7360E-005,1462.442000,1.1810E-005,1462.442000,5.0050E-006
1462.475000,1.2470E-004,1462.475000,4.7490E-005,1462.475000,1.1870E-005,1462.475000,5.1660E-006
1462.508000,1.2490E-004,1462.508000,4.7430E-005,1462.508000,1.1910E-005,1462.508000,5.1290E-006
1462.541000,1.2510E-004,1462.541000,4.7530E-005,1462.541000,1.1920E-005,1462.541000,5.0780E-006
1462.574000,1.2590E-004,1462.574000,4.7790E-005,1462.574000,1.1900E-005,1462.574000,5.1210E-006
1462.607000,1.2610E-004,1462.607000,4.7790E-005,1462.607000,1.2020E-005,1462.607000,5.2280E-006
1462.640000,1.2670E-004,1462.640000,4.8270E-005,1462.640000,1.1970E-005,1462.640000,5.1420E-006
1462.673000,1.2720E-004,1462.673000,4.8540E-005,1462.673000,1.2070E-005,1462.673000,5.1680E-006
1462.706000,1.2720E-004,1462.706000,4.8520E-005,1462.706000,1.2050E-005,1462.706000,5.3250E-006
1462.739000,1.2740E-004,1462.739000,4.8500E-005,1462.739000,1.2040E-005,1462.739000,5.2190E-006
1462.772000,1.2760E-004,1462.772000,4.8540E-005,1462.772000,1.1970E-005,1462.772000,5.3220E-006
1462.805000,1.2810E-004,1462.805000,4.8630E-005,1462.805000,1.2080E-005,1462.805000,5.2900E-006
1462.838000,1.2880E-004,1462.838000,4.8800E-005,1462.838000,1.2240E-005,1462.838000,5.4230E-006
1462.871000,1.2850E-004,1462.871000,4.8960E-005,1462.871000,1.2160E-005,1462.871000,5.3530E-006
1462.904000,1.2890E-004,1462.904000,4.9140E-005,1462.904000,1.2190E-005,1462.904000,5.4030E-006
1462.937000,1.2920E-004,1462.937000,4.9290E-005,1462.937000,1.2200E-005,1462.937000,5.3970E-006
1462.970000,1.2910E-004,1462.970000,4.9310E-005,1462.970000,1.2180E-005,1462.970000,5.3110E-006
1463.003000,1.2910E-004,1463.003000,4.9220E-005,1463.003000,1.2160E-005,1463.003000,5.3490E-006
1463.036000,1.3000E-004,1463.036000,4.9350E-005,1463.036000,1.2080E-005,1463.036000,5.4030E-006
1463.069000,1.3050E-004,1463.069000,4.9550E-005,1463.069000,1.2190E-005,1463.069000,5.3390E-006
1463.102000,1.3010E-004,1463.102000,4.9500E-005,1463.102000,1.2150E-005,1463.102000,5.4560E-006
1463.135000,1.2850E-004,1463.135000,4.8900E-005,1463.135000,1.2030E-005,1463.135000,5.3970E-006
1463.168000,1.2440E-004,1463.168000,4.7340E-005,1463.168000,1.1720E-005,1463.168000,5.1300E-006
1463.201000,1.2740E-004,1463.201000,4.8540E-005,1463.201000,1.1890E-005,1463.201000,5.3390E-006
1463.234000,1.3100E-004,1463.234000,4.9760E-005,1463.234000,1.2240E-005,1463.234000,5.3970E-006
1463.267000,1.3240E-004,1463.267000,5.0230E-005,1463.267000,1.2260E-005,1463.267000,5.4370E-006
1463.300000,1.3310E-004,1463.300000,5.0450E-005,1463.300000,1.2370E-005,1463.300000,5.5320E-006
1463.333000,1.3340E-004,1463.333000,5.0700E-005,1463.333000,1.2500E-005,1463.333000,5.5470E-006
1463.366000,1.3370E-004,1463.366000,5.0880E-005,1463.366000,1.2390E-005,1463.366000,5.4670E-006
1463.399000,1.3400E-004,1463.399000,5.1110E-005,1463.399000,1.2470E-005,1463.399000,5.5850E-006
1463.432000,1.3440E-004,1463.432000,5.1180E-005,1463.432000,1.2470E-005,1463.432000,5.5250E-006
1463.465000,1.3490E-004,1463.465000,5.1180E-005,1463.465000,1.2460E-005,1463.465000,5.6170E-006
1463.498000,1.3550E-004,1463.498000,5.1330E-005,1463.498000,1.2440E-005,1463.498000,5.5570E-006
1463.531000,1.3620E-004,1463.531000,5.1730E-005,1463.531000,1.2550E-005,1463.531000,5.5100E-006
1463.564000,1.3680E-004,1463.564000,5.1920E-005,1463.564000,1.2610E-005,1463.564000,5.6630E-006
1463.597000,1.3720E-004,1463.597000,5.2150E-005,1463.597000,1.2680E-005,1463.597000,5.5860E-006
1463.630000,1.3750E-004,1463.630000,5.2300E-005,1463.630000,1.2670E-005,1463.630000,5.5130E-006
