
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1464.323000,1.3470E-004,1464.323000,5.0940E-005,1464.323000,1.2000E-005,1464.323000,1.2000E-005,1464.323000,1.1225E001
1464.339500,1.3500E-004,1464.339500,5.1090E-005,1464.339500,1.1930E-005,1464.339500,1.1930E-005,1464.339500,1.1316E001
1464.356000,1.3530E-004,1464.356000,5.1110E-005,1464.356000,1.1930E-005,1464.356000,1.1930E-005,1464.356000,1.1341E001
1464.372500,1.3530E-004,1464.372500,5.1180E-005,1464.372500,1.1950E-005,1464.372500,1.1950E-005,1464.372500,1.1322E001
1464.389000,1.3540E-004,1464.389000,5.1050E-005,1464.389000,1.1940E-005,1464.389000,1.1940E-005,1464.389000,1.1340E001
1464.405500,1.3510E-004,1464.405500,5.1240E-005,1464.405500,1.2000E-005,1464.405500,1.2000E-005,1464.405500,1.1258E001
1464.422000,1.3530E-004,1464.422000,5.1260E-005,1464.422000,1.1970E-005,1464.422000,1.1970E-005,1464.422000,1.1303E001
1464.438500,1.3560E-004,1464.438500,5.1430E-005,1464.438500,1.1990E-005,1464.438500,1.1990E-005,1464.438500,1.1309E001
1464.455000,1.3570E-004,1464.455000,5.1460E-005,1464.455000,1.2060E-005,1464.455000,1.2060E-005,1464.455000,1.1252E001
1464.471500,1.3600E-004,1464.471500,5.1610E-005,1464.471500,1.2030E-005,1464.471500,1.2030E-005,1464.471500,1.1305E001
1464.488000,1.3650E-004,1464.488000,5.1820E-005,1464.488000,1.2020E-005,1464.488000,1.2020E-005,1464.488000,1.1356E001
1464.504500,1.3690E-004,1464.504500,5.1900E-005,1464.504500,1.2090E-005,1464.504500,1.2090E-005,1464.504500,1.1323E001
1464.521000,1.3720E-004,1464.521000,5.2160E-005,1464.521000,1.2190E-005,1464.521000,1.2190E-005,1464.521000,1.1255E001
1464.537500,1.3720E-004,1464.537500,5.2210E-005,1464.537500,1.2140E-005,1464.537500,1.2140E-005,1464.537500,1.1301E001
1464.554000,1.3770E-004,1464.554000,5.2330E-005,1464.554000,1.2170E-005,1464.554000,1.2170E-005,1464.554000,1.1315E001
1464.570500,1.3770E-004,1464.570500,5.2510E-005,1464.570500,1.2180E-005,1464.570500,1.2180E-005,1464.570500,1.1305E001
1464.587000,1.3780E-004,1464.587000,5.2500E-005,1464.587000,1.2190E-005,1464.587000,1.2190E-005,1464.587000,1.1304E001
1464.603500,1.3770E-004,1464.603500,5.2570E-005,1464.603500,1.2180E-005,1464.603500,1.2180E-005,1464.603500,1.1305E001
1464.620000,1.3790E-004,1464.620000,5.2590E-005,1464.620000,1.2180E-005,1464.620000,1.2180E-005,1464.620000,1.1322E001
1464.636500,1.3780E-004,1464.636500,5.2740E-005,1464.636500,1.2220E-005,1464.636500,1.2220E-005,1464.636500,1.1277E001
1464.653000,1.3800E-004,1464.653000,5.2810E-005,1464.653000,1.2170E-005,1464.653000,1.2170E-005,1464.653000,1.1339E001
1464.669500,1.3800E-004,1464.669500,5.2870E-005,1464.669500,1.2160E-005,1464.669500,1.2160E-005,1464.669500,1.1349E001
1464.686000,1.3820E-004,1464.686000,5.2760E-005,1464.686000,1.2160E-005,1464.686000,1.2160E-005,1464.686000,1.1365E001
1464.702500,1.3860E-004,1464.702500,5.3100E-005,1464.702500,1.2240E-005,1464.702500,1.2240E-005,1464.702500,1.1324E001
1464.719000,1.3880E-004,1464.719000,5.3230E-005,1464.719000,1.2290E-005,1464.719000,1.2290E-005,1464.719000,1.1294E001
1464.735500,1.3960E-004,1464.735500,5.3290E-005,1464.735500,1.2340E-005,1464.735500,1.2340E-005,1464.735500,1.1313E001
