
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-4.2000E-008,1400.000000,-6.8380E-008,1400.000000,1.0000E000
1400.125000,-2.8310E-008,1400.125000,-7.8060E-008,1400.125000,1.0000E000
1400.250000,-1.9120E-008,1400.250000,-4.4300E-008,1400.250000,1.0000E000
1400.375000,-4.6800E-008,1400.375000,-7.3240E-008,1400.375000,1.0000E000
1400.500000,-4.6990E-008,1400.500000,-1.0780E-007,1400.500000,1.0000E000
1400.625000,-3.5350E-008,1400.625000,-7.3130E-008,1400.625000,1.0000E000
1400.750000,-2.8680E-008,1400.750000,-6.1430E-008,1400.750000,1.0000E000
1400.875000,-3.4010E-008,1400.875000,-6.0590E-008,1400.875000,1.0000E000
1401.000000,-2.7490E-008,1401.000000,-9.6110E-008,1401.000000,1.0000E000
1401.125000,-6.2860E-008,1401.125000,-7.2540E-008,1401.125000,1.0000E000
1401.250000,-2.0720E-009,1401.250000,-3.7570E-008,1401.250000,1.0000E000
1401.375000,-3.3460E-008,1401.375000,-6.9290E-008,1401.375000,1.0000E000
1401.500000,-2.1100E-008,1401.500000,-5.7620E-008,1401.500000,1.0000E000
1401.625000,-5.1270E-008,1401.625000,-5.0990E-008,1401.625000,1.0000E000
1401.750000,-1.0980E-008,1401.750000,-5.6230E-008,1401.750000,1.0000E000
1401.875000,-2.9760E-008,1401.875000,-7.1480E-008,1401.875000,1.0000E000
1402.000000,-5.5330E-008,1402.000000,-7.5000E-008,1402.000000,1.0000E000
1402.125000,-3.9710E-008,1402.125000,-9.3050E-008,1402.125000,1.0000E000
1402.250000,-2.6380E-008,1402.250000,-7.1480E-008,1402.250000,1.0000E000
1402.375000,-3.2000E-008,1402.375000,-5.6780E-008,1402.375000,1.0000E000
1402.500000,-5.1680E-008,1402.500000,-7.5840E-008,1402.500000,1.0000E000
1402.625000,-2.0570E-008,1402.625000,-5.3740E-008,1402.625000,1.0000E000
1402.750000,-4.7130E-008,1402.750000,-4.3860E-008,1402.750000,1.0000E000
1402.875000,-3.3930E-008,1402.875000,-4.7550E-008,1402.875000,1.0000E000
1403.000000,-3.7110E-008,1403.000000,-6.9460E-008,1403.000000,1.0000E000
1403.125000,-1.6800E-008,1403.125000,-5.2940E-008,1403.125000,1.0000E000
1403.250000,-3.6360E-008,1403.250000,-9.6930E-008,1403.250000,1.0000E000
1403.375000,7.3740E-009,1403.375000,-7.7050E-008,1403.375000,7.3740E003
1403.500000,-4.4870E-010,1403.500000,-6.6400E-008,1403.500000,1.0000E000
1403.625000,-7.4810E-010,1403.625000,-6.5230E-008,1403.625000,1.0000E000
1403.750000,-1.6500E-008,1403.750000,-9.2710E-008,1403.750000,1.0000E000
1403.875000,-6.5670E-008,1403.875000,-3.0640E-008,1403.875000,1.0000E000
1404.000000,-2.1470E-008,1404.000000,-5.6640E-008,1404.000000,1.0000E000
1404.125000,-1.3350E-008,1404.125000,-5.8320E-008,1404.125000,1.0000E000
