
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1469.355500,1.5130E-004,1469.355500,3.1090E-006,1469.355500,4.8665E001
1469.372000,1.5130E-004,1469.372000,3.1600E-006,1469.372000,4.7880E001
1469.388500,1.5120E-004,1469.388500,3.1430E-006,1469.388500,4.8107E001
1469.405000,1.5140E-004,1469.405000,3.1110E-006,1469.405000,4.8666E001
1469.421500,1.5130E-004,1469.421500,3.1430E-006,1469.421500,4.8139E001
1469.438000,1.5150E-004,1469.438000,3.1450E-006,1469.438000,4.8172E001
1469.454500,1.5140E-004,1469.454500,3.2090E-006,1469.454500,4.7180E001
1469.471000,1.5160E-004,1469.471000,3.1180E-006,1469.471000,4.8621E001
1469.487500,1.5200E-004,1469.487500,3.1300E-006,1469.487500,4.8562E001
1469.504000,1.5190E-004,1469.504000,3.1410E-006,1469.504000,4.8360E001
1469.520500,1.5150E-004,1469.520500,3.1650E-006,1469.520500,4.7867E001
1469.537000,1.5160E-004,1469.537000,3.0860E-006,1469.537000,4.9125E001
1469.553500,1.5150E-004,1469.553500,3.0940E-006,1469.553500,4.8966E001
1469.570000,1.5090E-004,1469.570000,3.0900E-006,1469.570000,4.8835E001
1469.586500,1.4940E-004,1469.586500,3.0680E-006,1469.586500,4.8696E001
1469.603000,1.4670E-004,1469.603000,3.0320E-006,1469.603000,4.8384E001
1469.619500,1.4170E-004,1469.619500,2.9570E-006,1469.619500,4.7920E001
1469.636000,1.3760E-004,1469.636000,2.7730E-006,1469.636000,4.9621E001
1469.652500,1.3900E-004,1469.652500,2.8400E-006,1469.652500,4.8944E001
1469.669000,1.4470E-004,1469.669000,2.9470E-006,1469.669000,4.9101E001
1469.685500,1.4910E-004,1469.685500,3.0710E-006,1469.685500,4.8551E001
1469.702000,1.5090E-004,1469.702000,3.1320E-006,1469.702000,4.8180E001
1469.718500,1.5210E-004,1469.718500,3.1350E-006,1469.718500,4.8517E001
1469.735000,1.5280E-004,1469.735000,3.0810E-006,1469.735000,4.9594E001
1469.751500,1.5350E-004,1469.751500,3.1690E-006,1469.751500,4.8438E001
1469.768000,1.5350E-004,1469.768000,3.1670E-006,1469.768000,4.8469E001
1469.784500,1.5380E-004,1469.784500,3.1300E-006,1469.784500,4.9137E001
