
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-2.0940E-009,1400.000000,-7.2020E-008,1400.000000,1.0000E000
1400.125000,-4.1770E-008,1400.125000,-4.0890E-008,1400.125000,1.0000E000
1400.250000,4.1030E-009,1400.250000,-2.1070E-008,1400.250000,4.1030E003
1400.375000,1.2560E-008,1400.375000,-3.4930E-008,1400.375000,1.2560E004
1400.500000,-1.6330E-008,1400.500000,-1.3230E-008,1400.500000,1.0000E000
1400.625000,-1.5620E-008,1400.625000,-3.0300E-008,1400.625000,1.0000E000
1400.750000,2.7030E-008,1400.750000,-2.3400E-008,1400.750000,2.7030E004
1400.875000,-2.8660E-008,1400.875000,-3.1180E-008,1400.875000,1.0000E000
1401.000000,-3.6090E-008,1401.000000,-2.5670E-008,1401.000000,1.0000E000
1401.125000,-3.4090E-008,1401.125000,-7.0240E-008,1401.125000,1.0000E000
1401.250000,-2.4660E-008,1401.250000,1.1560E-008,1401.250000,8.6505E-005
1401.375000,-1.5600E-008,1401.375000,-2.2100E-008,1401.375000,1.0000E000
1401.500000,-3.7200E-008,1401.500000,-1.1000E-008,1401.500000,1.0000E000
1401.625000,-9.6190E-010,1401.625000,-2.9270E-008,1401.625000,1.0000E000
1401.750000,-1.8460E-008,1401.750000,-5.2250E-008,1401.750000,1.0000E000
1401.875000,1.4470E-008,1401.875000,-9.2540E-009,1401.875000,1.4470E004
1402.000000,-2.0700E-008,1402.000000,-8.5060E-009,1402.000000,1.0000E000
1402.125000,-6.5400E-009,1402.125000,-2.3460E-008,1402.125000,1.0000E000
1402.250000,-1.3120E-008,1402.250000,-1.4620E-008,1402.250000,1.0000E000
1402.375000,-4.4390E-008,1402.375000,-3.2140E-008,1402.375000,1.0000E000
1402.500000,-4.2750E-011,1402.500000,-2.4530E-008,1402.500000,1.0000E000
1402.625000,-2.3970E-008,1402.625000,-2.4640E-008,1402.625000,1.0000E000
1402.750000,-7.6510E-009,1402.750000,-2.5390E-008,1402.750000,1.0000E000
1402.875000,-1.7860E-008,1402.875000,-3.7910E-008,1402.875000,1.0000E000
1403.000000,-6.2820E-009,1403.000000,-2.9940E-008,1403.000000,1.0000E000
1403.125000,1.3010E-008,1403.125000,-3.0840E-008,1403.125000,1.3010E004
