
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1497.042500,1.5450E-004,1497.042500,2.8240E-006,1497.042500,4.9060E-008,1497.042500,3.1492E003
1497.125000,1.5480E-004,1497.125000,2.7890E-006,1497.125000,7.7580E-008,1497.125000,1.9954E003
1497.207500,1.5420E-004,1497.207500,2.7800E-006,1497.207500,4.6250E-008,1497.207500,3.3341E003
1497.290000,1.5420E-004,1497.290000,2.7580E-006,1497.290000,6.8250E-008,1497.290000,2.2593E003
1497.372500,1.5420E-004,1497.372500,2.7410E-006,1497.372500,4.4820E-008,1497.372500,3.4404E003
1497.455000,1.5360E-004,1497.455000,2.7410E-006,1497.455000,5.0280E-008,1497.455000,3.0549E003
1497.537500,1.5360E-004,1497.537500,2.7390E-006,1497.537500,2.7330E-008,1497.537500,5.6202E003
1497.620000,1.5400E-004,1497.620000,2.7210E-006,1497.620000,1.0440E-007,1497.620000,1.4751E003
1497.702500,1.5360E-004,1497.702500,2.7440E-006,1497.702500,3.0490E-008,1497.702500,5.0377E003
1497.785000,1.5350E-004,1497.785000,2.7120E-006,1497.785000,6.4040E-008,1497.785000,2.3969E003
1497.867500,1.5400E-004,1497.867500,2.7350E-006,1497.867500,1.6900E-008,1497.867500,9.1124E003
1497.950000,1.5360E-004,1497.950000,2.6940E-006,1497.950000,5.2910E-008,1497.950000,2.9030E003
1498.032500,1.5330E-004,1498.032500,2.6750E-006,1498.032500,2.3610E-008,1498.032500,6.4930E003
1498.115000,1.5380E-004,1498.115000,2.7230E-006,1498.115000,4.1390E-008,1498.115000,3.7159E003
1498.197500,1.5330E-004,1498.197500,2.6610E-006,1498.197500,7.1270E-008,1498.197500,2.1510E003
1498.280000,1.5290E-004,1498.280000,2.7020E-006,1498.280000,5.7720E-008,1498.280000,2.6490E003
1498.362500,1.5310E-004,1498.362500,2.6530E-006,1498.362500,3.1110E-008,1498.362500,4.9212E003
1498.445000,1.5230E-004,1498.445000,2.5950E-006,1498.445000,7.4160E-008,1498.445000,2.0537E003
1498.527500,1.5240E-004,1498.527500,2.6320E-006,1498.527500,1.7300E-008,1498.527500,8.8092E003
1498.610000,1.5270E-004,1498.610000,2.6490E-006,1498.610000,3.5330E-008,1498.610000,4.3221E003
1498.692500,1.5260E-004,1498.692500,2.6130E-006,1498.692500,2.5320E-008,1498.692500,6.0269E003
1498.775000,1.5260E-004,1498.775000,2.6100E-006,1498.775000,6.1130E-008,1498.775000,2.4963E003
1498.857500,1.5270E-004,1498.857500,2.6430E-006,1498.857500,2.9480E-008,1498.857500,5.1798E003
1498.940000,1.5240E-004,1498.940000,2.5480E-006,1498.940000,3.4350E-008,1498.940000,4.4367E003
