
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1409.125000,6.5070E-009,1409.125000,-7.2190E-008,1409.125000,6.5070E003
1409.250000,-1.0990E-008,1409.250000,-1.0000E-007,1409.250000,1.0000E000
1409.375000,-2.1890E-008,1409.375000,-9.1230E-008,1409.375000,1.0000E000
1409.500000,3.9240E-008,1409.500000,-9.7120E-008,1409.500000,3.9240E004
1409.625000,-7.5970E-009,1409.625000,-7.4900E-008,1409.625000,1.0000E000
1409.750000,2.0570E-008,1409.750000,-7.2710E-008,1409.750000,2.0570E004
1409.875000,-5.3220E-008,1409.875000,-8.5860E-008,1409.875000,1.0000E000
1410.000000,1.0860E-008,1410.000000,-5.3580E-008,1410.000000,1.0860E004
1410.125000,-1.9540E-008,1410.125000,-1.0990E-007,1410.125000,1.0000E000
1410.250000,-2.0280E-008,1410.250000,-6.8570E-008,1410.250000,1.0000E000
1410.375000,-1.3350E-008,1410.375000,-7.4900E-008,1410.375000,1.0000E000
1410.500000,-7.4860E-009,1410.500000,-5.3970E-008,1410.500000,1.0000E000
1410.625000,3.7960E-009,1410.625000,-8.9310E-008,1410.625000,3.7960E003
1410.750000,-2.1580E-008,1410.750000,-9.8530E-008,1410.750000,1.0000E000
1410.875000,1.8220E-008,1410.875000,-9.7290E-008,1410.875000,1.8220E004
1411.000000,-6.9490E-009,1411.000000,-6.4720E-008,1411.000000,1.0000E000
1411.125000,2.7880E-008,1411.125000,-6.0360E-008,1411.125000,2.7880E004
1411.250000,-1.2590E-008,1411.250000,-6.8340E-008,1411.250000,1.0000E000
1411.375000,4.3990E-008,1411.375000,-8.7190E-008,1411.375000,4.3990E004
1411.500000,-4.7910E-009,1411.500000,-4.9180E-008,1411.500000,1.0000E000
1411.625000,3.4890E-008,1411.625000,-1.2250E-007,1411.625000,3.4890E004
1411.750000,7.2820E-009,1411.750000,-5.2530E-008,1411.750000,7.2820E003
1411.875000,4.7440E-008,1411.875000,-6.3380E-008,1411.875000,4.7440E004
1412.000000,6.2560E-009,1412.000000,-7.5130E-008,1412.000000,6.2560E003
1412.125000,1.1980E-008,1412.125000,-9.5250E-008,1412.125000,1.1980E004
1412.250000,1.2650E-008,1412.250000,-1.8910E-008,1412.250000,1.2650E004
1412.375000,3.9560E-009,1412.375000,-1.0230E-007,1412.375000,3.9560E003
1412.500000,1.2970E-008,1412.500000,-6.8830E-008,1412.500000,1.2970E004
1412.625000,2.5810E-008,1412.625000,-7.3010E-008,1412.625000,2.5810E004
1412.750000,2.4070E-008,1412.750000,-5.5780E-008,1412.750000,2.4070E004
1412.875000,3.8050E-009,1412.875000,-8.2430E-008,1412.875000,3.8050E003
1413.000000,2.3430E-008,1413.000000,-6.7580E-008,1413.000000,2.3430E004
1413.125000,2.9460E-008,1413.125000,-9.2930E-008,1413.125000,2.9460E004
1413.250000,-1.9750E-009,1413.250000,-8.5120E-008,1413.250000,1.0000E000
1413.375000,3.2280E-008,1413.375000,-9.8740E-008,1413.375000,3.2280E004
1413.500000,2.8210E-008,1413.500000,-1.2160E-007,1413.500000,2.8210E004
1413.625000,4.5310E-008,1413.625000,-3.2350E-008,1413.625000,4.5310E004
1413.750000,-1.1080E-008,1413.750000,-4.3500E-008,1413.750000,1.0000E000
1413.875000,3.7790E-008,1413.875000,-5.3890E-008,1413.875000,3.7790E004
1414.000000,2.5160E-008,1414.000000,-7.2840E-008,1414.000000,2.5160E004
1414.125000,8.7830E-009,1414.125000,-3.4440E-008,1414.125000,8.7830E003
1414.250000,7.1040E-008,1414.250000,-4.0970E-008,1414.250000,7.1040E004
1414.375000,2.3850E-008,1414.375000,-8.0850E-008,1414.375000,2.3850E004
1414.500000,-3.2930E-008,1414.500000,-7.3430E-008,1414.500000,1.0000E000
1414.625000,1.8280E-008,1414.625000,-6.4740E-008,1414.625000,1.8280E004
1414.750000,-2.2470E-009,1414.750000,-5.7950E-008,1414.750000,1.0000E000
1414.875000,5.3730E-008,1414.875000,-7.0030E-008,1414.875000,5.3730E004
1415.000000,2.8850E-008,1415.000000,-9.8420E-008,1415.000000,2.8850E004
1415.125000,4.8950E-008,1415.125000,-5.2100E-008,1415.125000,4.8950E004
1415.250000,4.3580E-008,1415.250000,-7.5720E-008,1415.250000,4.3580E004
1415.375000,5.7280E-008,1415.375000,-5.8440E-008,1415.375000,5.7280E004
1415.500000,3.0850E-008,1415.500000,-6.5900E-008,1415.500000,3.0850E004
1415.625000,6.5280E-008,1415.625000,-7.1230E-008,1415.625000,6.5280E004
1415.750000,1.0590E-009,1415.750000,-4.7450E-008,1415.750000,1.0590E003
1415.875000,2.8590E-008,1415.875000,-6.5220E-008,1415.875000,2.8590E004
1416.000000,5.0300E-008,1416.000000,-6.0830E-008,1416.000000,5.0300E004
1416.125000,5.1020E-008,1416.125000,-2.3040E-008,1416.125000,5.1020E004
1416.250000,3.3780E-008,1416.250000,-6.8290E-008,1416.250000,3.3780E004
1416.375000,4.5410E-008,1416.375000,-8.8790E-008,1416.375000,4.5410E004
1416.500000,2.6490E-008,1416.500000,-8.4220E-008,1416.500000,2.6490E004
1416.625000,4.4710E-008,1416.625000,-6.8270E-008,1416.625000,4.4710E004
1416.750000,2.9810E-008,1416.750000,-7.3940E-008,1416.750000,2.9810E004
1416.875000,6.9850E-008,1416.875000,-6.0020E-008,1416.875000,6.9850E004
1417.000000,1.3800E-008,1417.000000,-9.3140E-008,1417.000000,1.3800E004
1417.125000,4.3820E-008,1417.125000,-6.0440E-008,1417.125000,4.3820E004
1417.250000,8.1450E-008,1417.250000,-9.1200E-008,1417.250000,8.1450E004
1417.375000,5.6750E-008,1417.375000,-8.0710E-008,1417.375000,5.6750E004
1417.500000,7.3370E-008,1417.500000,-8.5140E-008,1417.500000,7.3370E004
1417.625000,5.9590E-008,1417.625000,-3.1310E-008,1417.625000,5.9590E004
1417.750000,1.1460E-008,1417.750000,-7.0450E-008,1417.750000,1.1460E004
1417.875000,7.5770E-008,1417.875000,-5.8020E-008,1417.875000,7.5770E004
1418.000000,3.5510E-008,1418.000000,-4.0410E-008,1418.000000,3.5510E004
1418.125000,3.9750E-008,1418.125000,-6.1230E-008,1418.125000,3.9750E004
1418.250000,4.0730E-008,1418.250000,-5.0980E-008,1418.250000,4.0730E004
1418.375000,5.3430E-008,1418.375000,-6.3930E-008,1418.375000,5.3430E004
1418.500000,6.5340E-008,1418.500000,-7.0850E-008,1418.500000,6.5340E004
1418.625000,6.3590E-008,1418.625000,-6.6950E-008,1418.625000,6.3590E004
1418.750000,4.3250E-008,1418.750000,-3.4510E-008,1418.750000,4.3250E004
1418.875000,7.4750E-008,1418.875000,-5.0110E-008,1418.875000,7.4750E004
1419.000000,6.1810E-008,1419.000000,-6.7540E-008,1419.000000,6.1810E004
1419.125000,7.3350E-008,1419.125000,-6.4300E-008,1419.125000,7.3350E004
1419.250000,4.8310E-008,1419.250000,-7.6750E-008,1419.250000,4.8310E004
1419.375000,5.8820E-008,1419.375000,-3.9840E-008,1419.375000,5.8820E004
1419.500000,8.1820E-008,1419.500000,-9.1290E-008,1419.500000,8.1820E004
1419.625000,6.3140E-008,1419.625000,-5.0670E-008,1419.625000,6.3140E004
1419.750000,2.4690E-008,1419.750000,-2.2100E-008,1419.750000,2.4690E004
1419.875000,8.3410E-008,1419.875000,-3.8570E-008,1419.875000,8.3410E004
1420.000000,6.9770E-008,1420.000000,-2.1800E-008,1420.000000,6.9770E004
1420.125000,8.5280E-008,1420.125000,-3.9610E-008,1420.125000,8.5280E004
1420.250000,6.3270E-008,1420.250000,-4.9460E-008,1420.250000,6.3270E004
1420.375000,8.7810E-008,1420.375000,-9.4560E-008,1420.375000,8.7810E004
1420.500000,5.4900E-008,1420.500000,-4.8810E-008,1420.500000,5.4900E004
1420.625000,9.2760E-008,1420.625000,-3.9340E-008,1420.625000,9.2760E004
1420.750000,7.6480E-008,1420.750000,-8.4700E-008,1420.750000,7.6480E004
1420.875000,9.0430E-008,1420.875000,-1.7300E-008,1420.875000,9.0430E004
1421.000000,3.7170E-008,1421.000000,-6.2950E-008,1421.000000,3.7170E004
1421.125000,6.5650E-008,1421.125000,-1.9120E-008,1421.125000,6.5650E004
1421.250000,1.1640E-007,1421.250000,-8.9140E-008,1421.250000,1.1640E005
1421.375000,6.2670E-008,1421.375000,-4.5410E-008,1421.375000,6.2670E004
