
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1494.980000,1.6270E-004,1494.980000,3.8010E-007,1494.980000,1.8270E-006,1494.980000,8.9053E001
1495.062500,1.6270E-004,1495.062500,4.8790E-007,1495.062500,1.7630E-006,1495.062500,9.2286E001
1495.145000,1.6290E-004,1495.145000,5.4510E-007,1495.145000,1.8180E-006,1495.145000,8.9604E001
1495.227500,1.6190E-004,1495.227500,5.0390E-007,1495.227500,1.7890E-006,1495.227500,9.0497E001
1495.310000,1.6210E-004,1495.310000,5.0330E-007,1495.310000,1.8150E-006,1495.310000,8.9311E001
1495.392500,1.6280E-004,1495.392500,4.6620E-007,1495.392500,1.8730E-006,1495.392500,8.6919E001
1495.475000,1.6110E-004,1495.475000,4.3580E-007,1495.475000,1.8280E-006,1495.475000,8.8129E001
1495.557500,1.6200E-004,1495.557500,4.6200E-007,1495.557500,1.7960E-006,1495.557500,9.0200E001
1495.640000,1.6260E-004,1495.640000,5.1210E-007,1495.640000,1.7880E-006,1495.640000,9.0940E001
1495.722500,1.6190E-004,1495.722500,4.9220E-007,1495.722500,1.8320E-006,1495.722500,8.8373E001
1495.805000,1.6220E-004,1495.805000,4.5430E-007,1495.805000,1.7970E-006,1495.805000,9.0262E001
1495.887500,1.6230E-004,1495.887500,5.2520E-007,1495.887500,1.7810E-006,1495.887500,9.1129E001
1495.970000,1.6180E-004,1495.970000,4.8440E-007,1495.970000,1.7680E-006,1495.970000,9.1516E001
1496.052500,1.6130E-004,1496.052500,5.1020E-007,1496.052500,1.8150E-006,1496.052500,8.8871E001
1496.135000,1.6140E-004,1496.135000,4.6740E-007,1496.135000,1.7930E-006,1496.135000,9.0017E001
1496.217500,1.6100E-004,1496.217500,4.8460E-007,1496.217500,1.8070E-006,1496.217500,8.9098E001
1496.300000,1.6100E-004,1496.300000,4.5410E-007,1496.300000,1.7960E-006,1496.300000,8.9644E001
1496.382500,1.6140E-004,1496.382500,4.8270E-007,1496.382500,1.7830E-006,1496.382500,9.0522E001
1496.465000,1.6090E-004,1496.465000,4.5780E-007,1496.465000,1.8180E-006,1496.465000,8.8504E001
1496.547500,1.6080E-004,1496.547500,5.4490E-007,1496.547500,1.7600E-006,1496.547500,9.1364E001
1496.630000,1.6130E-004,1496.630000,4.9700E-007,1496.630000,1.7940E-006,1496.630000,8.9911E001
1496.712500,1.6050E-004,1496.712500,5.0800E-007,1496.712500,1.7660E-006,1496.712500,9.0883E001
1496.795000,1.5980E-004,1496.795000,4.2330E-007,1496.795000,1.7940E-006,1496.795000,8.9075E001
1496.877500,1.5940E-004,1496.877500,5.1840E-007,1496.877500,1.7660E-006,1496.877500,9.0260E001
1496.960000,1.6060E-004,1496.960000,4.8540E-007,1496.960000,1.8060E-006,1496.960000,8.8926E001
1497.042500,1.6070E-004,1497.042500,4.9620E-007,1497.042500,1.7810E-006,1497.042500,9.0230E001
1497.125000,1.6080E-004,1497.125000,5.2820E-007,1497.125000,1.8120E-006,1497.125000,8.8742E001
1497.207500,1.6010E-004,1497.207500,5.1380E-007,1497.207500,1.7910E-006,1497.207500,8.9391E001
1497.290000,1.6010E-004,1497.290000,5.2730E-007,1497.290000,1.7840E-006,1497.290000,8.9742E001
1497.372500,1.6070E-004,1497.372500,4.8220E-007,1497.372500,1.7280E-006,1497.372500,9.2998E001
1497.455000,1.5990E-004,1497.455000,5.1150E-007,1497.455000,1.7620E-006,1497.455000,9.0749E001
1497.537500,1.5970E-004,1497.537500,4.3470E-007,1497.537500,1.7460E-006,1497.537500,9.1466E001
1497.620000,1.6020E-004,1497.620000,5.0630E-007,1497.620000,1.7370E-006,1497.620000,9.2228E001
1497.702500,1.5960E-004,1497.702500,5.4910E-007,1497.702500,1.8310E-006,1497.702500,8.7165E001
1497.785000,1.5990E-004,1497.785000,4.7350E-007,1497.785000,1.7470E-006,1497.785000,9.1528E001
1497.867500,1.5970E-004,1497.867500,5.0610E-007,1497.867500,1.7580E-006,1497.867500,9.0842E001
1497.950000,1.5920E-004,1497.950000,5.1150E-007,1497.950000,1.7580E-006,1497.950000,9.0557E001
