
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,7.4020E-005,1460.000000,1.6460E-005,1460.000000,2.9680E-006,1460.000000,-6.0350E-008,1460.000000,7.4020E007
1460.016500,7.3910E-005,1460.016500,1.6650E-005,1460.016500,2.9960E-006,1460.016500,-5.3400E-008,1460.016500,7.3910E007
1460.033000,7.4080E-005,1460.033000,1.6630E-005,1460.033000,3.0000E-006,1460.033000,-3.7920E-008,1460.033000,7.4080E007
1460.049500,7.4210E-005,1460.049500,1.6690E-005,1460.049500,3.0280E-006,1460.049500,-1.0410E-008,1460.049500,7.4210E007
1460.066000,7.4420E-005,1460.066000,1.6700E-005,1460.066000,2.9730E-006,1460.066000,-1.5200E-008,1460.066000,7.4420E007
1460.082500,7.4270E-005,1460.082500,1.6740E-005,1460.082500,3.0140E-006,1460.082500,-6.3960E-008,1460.082500,7.4270E007
1460.099000,7.4580E-005,1460.099000,1.6830E-005,1460.099000,3.0200E-006,1460.099000,1.3150E-009,1460.099000,5.6715E004
1460.115500,7.4580E-005,1460.115500,1.6780E-005,1460.115500,2.9190E-006,1460.115500,-5.5960E-009,1460.115500,7.4580E007
1460.132000,7.4620E-005,1460.132000,1.6690E-005,1460.132000,3.0010E-006,1460.132000,-4.9200E-008,1460.132000,7.4620E007
1460.148500,7.4830E-005,1460.148500,1.6740E-005,1460.148500,3.0330E-006,1460.148500,-4.4270E-008,1460.148500,7.4830E007
1460.165000,7.4830E-005,1460.165000,1.6810E-005,1460.165000,2.9900E-006,1460.165000,-6.3490E-008,1460.165000,7.4830E007
1460.181500,7.5030E-005,1460.181500,1.6850E-005,1460.181500,2.9810E-006,1460.181500,-9.5640E-009,1460.181500,7.5030E007
1460.198000,7.5110E-005,1460.198000,1.6780E-005,1460.198000,3.0260E-006,1460.198000,-4.3130E-008,1460.198000,7.5110E007
1460.214500,7.5090E-005,1460.214500,1.6900E-005,1460.214500,3.0140E-006,1460.214500,1.8580E-009,1460.214500,4.0414E004
1460.231000,7.5280E-005,1460.231000,1.6980E-005,1460.231000,3.0160E-006,1460.231000,-4.6080E-008,1460.231000,7.5280E007
1460.247500,7.5480E-005,1460.247500,1.6940E-005,1460.247500,3.0220E-006,1460.247500,2.0600E-008,1460.247500,3.6641E003
1460.264000,7.5520E-005,1460.264000,1.6990E-005,1460.264000,2.9680E-006,1460.264000,-2.0770E-008,1460.264000,7.5520E007
1460.280500,7.5570E-005,1460.280500,1.7060E-005,1460.280500,3.0370E-006,1460.280500,-4.3990E-008,1460.280500,7.5570E007
1460.297000,7.5590E-005,1460.297000,1.6990E-005,1460.297000,3.0520E-006,1460.297000,-4.2380E-009,1460.297000,7.5590E007
1460.313500,7.5180E-005,1460.313500,1.6860E-005,1460.313500,3.0160E-006,1460.313500,-3.9910E-008,1460.313500,7.5180E007
1460.330000,7.4640E-005,1460.330000,1.6840E-005,1460.330000,2.9420E-006,1460.330000,-1.7540E-008,1460.330000,7.4640E007
1460.346500,7.3300E-005,1460.346500,1.6570E-005,1460.346500,2.8650E-006,1460.346500,-3.0010E-008,1460.346500,7.3300E007
1460.363000,7.2420E-005,1460.363000,1.6330E-005,1460.363000,2.9040E-006,1460.363000,-2.2840E-008,1460.363000,7.2420E007
1460.379500,7.3200E-005,1460.379500,1.6500E-005,1460.379500,2.8710E-006,1460.379500,-5.9020E-008,1460.379500,7.3200E007
1460.396000,7.4730E-005,1460.396000,1.6780E-005,1460.396000,2.9270E-006,1460.396000,1.1710E-008,1460.396000,6.3817E003
1460.412500,7.5820E-005,1460.412500,1.7090E-005,1460.412500,2.9620E-006,1460.412500,5.6370E-010,1460.412500,1.3450E005
1460.429000,7.6620E-005,1460.429000,1.7260E-005,1460.429000,2.9730E-006,1460.429000,-2.7830E-008,1460.429000,7.6620E007
1460.445500,7.6990E-005,1460.445500,1.7290E-005,1460.445500,2.9850E-006,1460.445500,-8.2060E-009,1460.445500,7.6990E007
1460.462000,7.7160E-005,1460.462000,1.7360E-005,1460.462000,3.1710E-006,1460.462000,-2.6820E-008,1460.462000,7.7160E007
1460.478500,7.7690E-005,1460.478500,1.7560E-005,1460.478500,3.0590E-006,1460.478500,-2.2070E-008,1460.478500,7.7690E007
1460.495000,7.7780E-005,1460.495000,1.7520E-005,1460.495000,3.0910E-006,1460.495000,1.6710E-010,1460.495000,4.6547E005
1460.511500,7.7950E-005,1460.511500,1.7530E-005,1460.511500,3.1540E-006,1460.511500,-2.6780E-008,1460.511500,7.7950E007
1460.528000,7.8210E-005,1460.528000,1.7630E-005,1460.528000,3.0680E-006,1460.528000,1.6400E-008,1460.528000,4.7689E003
1460.544500,7.8250E-005,1460.544500,1.7580E-005,1460.544500,3.1080E-006,1460.544500,-2.2760E-008,1460.544500,7.8250E007
1460.561000,7.8310E-005,1460.561000,1.7670E-005,1460.561000,3.1080E-006,1460.561000,4.2510E-008,1460.561000,1.8422E003
1460.577500,7.8490E-005,1460.577500,1.7620E-005,1460.577500,3.0830E-006,1460.577500,6.8940E-010,1460.577500,1.1385E005
1460.594000,7.8550E-005,1460.594000,1.7710E-005,1460.594000,3.1130E-006,1460.594000,3.5090E-009,1460.594000,2.2385E004
1460.610500,7.8570E-005,1460.610500,1.7770E-005,1460.610500,3.1790E-006,1460.610500,7.7500E-009,1460.610500,1.0138E004
1460.627000,7.8900E-005,1460.627000,1.7830E-005,1460.627000,3.1240E-006,1460.627000,-8.4400E-009,1460.627000,7.8900E007
1460.643500,7.9000E-005,1460.643500,1.7830E-005,1460.643500,3.0520E-006,1460.643500,2.3150E-008,1460.643500,3.4125E003
1460.660000,7.9110E-005,1460.660000,1.7940E-005,1460.660000,3.0370E-006,1460.660000,-6.9560E-009,1460.660000,7.9110E007
1460.676500,7.9430E-005,1460.676500,1.7950E-005,1460.676500,3.1600E-006,1460.676500,-1.2260E-008,1460.676500,7.9430E007
