
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1465.654880,1.2430E-004,1465.654880,2.0510E-006,1465.654880,4.4310E-007,1465.654880,1.2630E-006,1465.654880,9.8416E001
1465.671360,1.2450E-004,1465.671360,2.0400E-006,1465.671360,4.2680E-007,1465.671360,1.2750E-006,1465.671360,9.7647E001
1465.687840,1.2450E-004,1465.687840,2.0170E-006,1465.687840,4.3330E-007,1465.687840,1.2450E-006,1465.687840,1.0000E002
1465.704320,1.2450E-004,1465.704320,2.0550E-006,1465.704320,3.9730E-007,1465.704320,1.2060E-006,1465.704320,1.0323E002
1465.720800,1.2490E-004,1465.720800,2.0270E-006,1465.720800,4.2490E-007,1465.720800,1.2870E-006,1465.720800,9.7047E001
1465.737280,1.2510E-004,1465.737280,2.0080E-006,1465.737280,4.6110E-007,1465.737280,1.2600E-006,1465.737280,9.9286E001
1465.753760,1.2520E-004,1465.753760,1.9740E-006,1465.753760,4.3580E-007,1465.753760,1.2290E-006,1465.753760,1.0187E002
1465.770240,1.2530E-004,1465.770240,2.1190E-006,1465.770240,3.6070E-007,1465.770240,1.2320E-006,1465.770240,1.0170E002
1465.786720,1.2530E-004,1465.786720,2.0470E-006,1465.786720,3.9980E-007,1465.786720,1.2620E-006,1465.786720,9.9287E001
1465.803200,1.2530E-004,1465.803200,2.0380E-006,1465.803200,3.7930E-007,1465.803200,1.2400E-006,1465.803200,1.0105E002
1465.819680,1.2520E-004,1465.819680,2.0570E-006,1465.819680,4.8720E-007,1465.819680,1.2770E-006,1465.819680,9.8042E001
1465.836160,1.2500E-004,1465.836160,2.0790E-006,1465.836160,3.3780E-007,1465.836160,1.2440E-006,1465.836160,1.0048E002
1465.852640,1.2500E-004,1465.852640,2.0940E-006,1465.852640,4.1680E-007,1465.852640,1.2270E-006,1465.852640,1.0187E002
1465.869120,1.2500E-004,1465.869120,2.0170E-006,1465.869120,3.9430E-007,1465.869120,1.2560E-006,1465.869120,9.9522E001
1465.885600,1.2480E-004,1465.885600,2.0510E-006,1465.885600,4.3790E-007,1465.885600,1.1900E-006,1465.885600,1.0487E002
1465.902080,1.2450E-004,1465.902080,2.1170E-006,1465.902080,4.0890E-007,1465.902080,1.2030E-006,1465.902080,1.0349E002
1465.918560,1.2480E-004,1465.918560,2.0380E-006,1465.918560,3.6920E-007,1465.918560,1.2390E-006,1465.918560,1.0073E002
1465.935040,1.2550E-004,1465.935040,2.1110E-006,1465.935040,3.7220E-007,1465.935040,1.2050E-006,1465.935040,1.0415E002
1465.951520,1.2610E-004,1465.951520,2.0570E-006,1465.951520,4.1250E-007,1465.951520,1.1750E-006,1465.951520,1.0732E002
