
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1409.125000,1.6860E-009,1409.125000,-9.1230E-008,1409.125000,1.6860E003
1409.250000,2.0880E-008,1409.250000,-7.6620E-008,1409.250000,2.0880E004
1409.375000,-1.1500E-008,1409.375000,-1.0210E-007,1409.375000,1.0000E000
1409.500000,3.0960E-008,1409.500000,-8.8520E-008,1409.500000,3.0960E004
1409.625000,1.7710E-009,1409.625000,-6.3370E-008,1409.625000,1.7710E003
1409.750000,-6.8280E-010,1409.750000,-7.3720E-008,1409.750000,1.0000E000
1409.875000,-1.5170E-008,1409.875000,-1.0710E-007,1409.875000,1.0000E000
1410.000000,-3.1800E-008,1410.000000,-7.8950E-008,1410.000000,1.0000E000
1410.125000,-5.8890E-009,1410.125000,-5.3910E-008,1410.125000,1.0000E000
1410.250000,3.5790E-008,1410.250000,-5.7390E-008,1410.250000,3.5790E004
1410.375000,1.0340E-008,1410.375000,-5.3610E-008,1410.375000,1.0340E004
1410.500000,1.2940E-008,1410.500000,-9.0340E-008,1410.500000,1.2940E004
1410.625000,-1.2300E-008,1410.625000,-5.3900E-008,1410.625000,1.0000E000
1410.750000,7.4180E-009,1410.750000,-6.8510E-008,1410.750000,7.4180E003
1410.875000,-2.1370E-008,1410.875000,-5.8290E-008,1410.875000,1.0000E000
1411.000000,2.4600E-008,1411.000000,-1.1460E-008,1411.000000,2.4600E004
1411.125000,1.2270E-008,1411.125000,-9.4740E-008,1411.125000,1.2270E004
1411.250000,2.1420E-008,1411.250000,-6.5120E-008,1411.250000,2.1420E004
1411.375000,2.0180E-008,1411.375000,-7.2650E-008,1411.375000,2.0180E004
1411.500000,4.0500E-008,1411.500000,-1.0160E-007,1411.500000,4.0500E004
1411.625000,8.8370E-009,1411.625000,-7.6440E-008,1411.625000,8.8370E003
1411.750000,1.9240E-008,1411.750000,-7.4820E-008,1411.750000,1.9240E004
1411.875000,1.5490E-008,1411.875000,-6.0160E-008,1411.875000,1.5490E004
1412.000000,-4.0440E-009,1412.000000,-6.0750E-008,1412.000000,1.0000E000
1412.125000,1.3020E-008,1412.125000,-6.6240E-008,1412.125000,1.3020E004
1412.250000,1.6290E-008,1412.250000,-6.0990E-008,1412.250000,1.6290E004
1412.375000,8.2320E-009,1412.375000,-5.6510E-008,1412.375000,8.2320E003
1412.500000,-5.2120E-009,1412.500000,-5.3030E-008,1412.500000,1.0000E000
1412.625000,-7.8660E-010,1412.625000,-7.9140E-008,1412.625000,1.0000E000
1412.750000,2.2530E-009,1412.750000,-1.1010E-007,1412.750000,2.2530E003
1412.875000,4.4080E-008,1412.875000,-5.7870E-008,1412.875000,4.4080E004
1413.000000,1.0220E-008,1413.000000,-8.7310E-008,1413.000000,1.0220E004
1413.125000,3.1380E-008,1413.125000,-1.1150E-007,1413.125000,3.1380E004
1413.250000,-1.0410E-009,1413.250000,-3.3810E-008,1413.250000,1.0000E000
