
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.000000,6.8380E-005,1460.000000,3.6890E-007,1460.000000,3.4370E-008,1460.000000,1.9895E003
1460.082500,6.9000E-005,1460.082500,3.6960E-007,1460.082500,1.2400E-008,1460.082500,5.5645E003
1460.165000,6.9580E-005,1460.165000,3.9050E-007,1460.165000,5.7290E-008,1460.165000,1.2145E003
1460.247500,6.9910E-005,1460.247500,3.2610E-007,1460.247500,4.1170E-008,1460.247500,1.6981E003
1460.330000,7.0610E-005,1460.330000,3.7990E-007,1460.330000,3.4530E-008,1460.330000,2.0449E003
1460.412500,7.1110E-005,1460.412500,3.9820E-007,1460.412500,4.0610E-008,1460.412500,1.7510E003
1460.495000,7.1750E-005,1460.495000,3.7300E-007,1460.495000,7.9020E-008,1460.495000,9.0800E002
1460.577500,7.1900E-005,1460.577500,3.4950E-007,1460.577500,5.6420E-008,1460.577500,1.2744E003
1460.660000,6.8160E-005,1460.660000,4.3790E-007,1460.660000,8.7730E-008,1460.660000,7.7693E002
1460.742500,7.3690E-005,1460.742500,4.2530E-007,1460.742500,6.7600E-008,1460.742500,1.0901E003
1460.825000,7.4850E-005,1460.825000,3.8030E-007,1460.825000,7.2850E-008,1460.825000,1.0275E003
1460.907500,7.5430E-005,1460.907500,4.5970E-007,1460.907500,7.6400E-008,1460.907500,9.8730E002
1460.990000,7.6460E-005,1460.990000,4.3340E-007,1460.990000,8.9860E-008,1460.990000,8.5088E002
1461.072500,7.7060E-005,1461.072500,4.7900E-007,1461.072500,9.4650E-008,1461.072500,8.1416E002
1461.155000,7.7690E-005,1461.155000,4.7230E-007,1461.155000,4.9910E-008,1461.155000,1.5566E003
1461.237500,7.8140E-005,1461.237500,5.2670E-007,1461.237500,1.1090E-007,1461.237500,7.0460E002
1461.320000,7.8910E-005,1461.320000,4.9550E-007,1461.320000,5.9910E-008,1461.320000,1.3171E003
1461.402500,7.9280E-005,1461.402500,4.5160E-007,1461.402500,8.5150E-008,1461.402500,9.3106E002
1461.485000,8.0050E-005,1461.485000,5.0340E-007,1461.485000,7.4680E-008,1461.485000,1.0719E003
1461.567500,7.8500E-005,1461.567500,4.5960E-007,1461.567500,1.0220E-007,1461.567500,7.6810E002
1461.650000,8.1180E-005,1461.650000,5.2680E-007,1461.650000,1.1810E-007,1461.650000,6.8738E002
1461.732500,8.2110E-005,1461.732500,5.2610E-007,1461.732500,7.3410E-008,1461.732500,1.1185E003
1461.815000,8.2580E-005,1461.815000,5.7270E-007,1461.815000,6.9520E-008,1461.815000,1.1879E003
1461.897500,8.3800E-005,1461.897500,5.5040E-007,1461.897500,1.0490E-007,1461.897500,7.9886E002
1461.980000,8.4300E-005,1461.980000,4.9730E-007,1461.980000,1.4220E-007,1461.980000,5.9283E002
1462.062500,8.4980E-005,1462.062500,6.1180E-007,1462.062500,1.1080E-007,1462.062500,7.6697E002
1462.145000,8.5760E-005,1462.145000,5.6820E-007,1462.145000,1.0060E-007,1462.145000,8.5249E002
1462.227500,8.6490E-005,1462.227500,6.1050E-007,1462.227500,1.0050E-007,1462.227500,8.6060E002
1462.310000,8.7040E-005,1462.310000,6.3380E-007,1462.310000,1.3830E-007,1462.310000,6.2936E002
1462.392500,8.7740E-005,1462.392500,5.2540E-007,1462.392500,1.4520E-007,1462.392500,6.0427E002
1462.475000,8.8240E-005,1462.475000,5.7930E-007,1462.475000,1.3060E-007,1462.475000,6.7565E002
1462.557500,8.9060E-005,1462.557500,6.2500E-007,1462.557500,1.1990E-007,1462.557500,7.4279E002
1462.640000,8.9700E-005,1462.640000,5.5220E-007,1462.640000,1.4500E-007,1462.640000,6.1862E002
1462.722500,9.0580E-005,1462.722500,6.1300E-007,1462.722500,9.6890E-008,1462.722500,9.3487E002
1462.805000,9.1420E-005,1462.805000,6.5550E-007,1462.805000,1.3360E-007,1462.805000,6.8428E002
1462.887500,9.2130E-005,1462.887500,5.9950E-007,1462.887500,1.1080E-007,1462.887500,8.3150E002
1462.970000,9.3010E-005,1462.970000,6.7350E-007,1462.970000,1.4050E-007,1462.970000,6.6199E002
1463.052500,9.4020E-005,1463.052500,6.7870E-007,1463.052500,1.5730E-007,1463.052500,5.9771E002
1463.135000,9.4300E-005,1463.135000,7.0120E-007,1463.135000,1.6880E-007,1463.135000,5.5865E002
1463.217500,9.4660E-005,1463.217500,6.7070E-007,1463.217500,1.4970E-007,1463.217500,6.3233E002
1463.300000,9.5590E-005,1463.300000,7.0740E-007,1463.300000,1.6570E-007,1463.300000,5.7689E002
1463.382500,9.5500E-005,1463.382500,6.7670E-007,1463.382500,1.8370E-007,1463.382500,5.1987E002
1463.465000,9.5840E-005,1463.465000,6.4220E-007,1463.465000,1.9230E-007,1463.465000,4.9839E002
1463.547500,8.8690E-005,1463.547500,6.0960E-007,1463.547500,1.4050E-007,1463.547500,6.3125E002
1463.630000,9.7460E-005,1463.630000,6.9710E-007,1463.630000,1.4450E-007,1463.630000,6.7446E002
1463.712500,9.8640E-005,1463.712500,6.2980E-007,1463.712500,1.5970E-007,1463.712500,6.1766E002
1463.795000,1.0000E-004,1463.795000,7.0380E-007,1463.795000,1.7140E-007,1463.795000,5.8343E002
1463.877500,1.0100E-004,1463.877500,7.3830E-007,1463.877500,1.5980E-007,1463.877500,6.3204E002
1463.960000,1.0200E-004,1463.960000,7.3510E-007,1463.960000,1.7670E-007,1463.960000,5.7725E002
1464.042500,1.0270E-004,1464.042500,7.2310E-007,1464.042500,2.0890E-007,1464.042500,4.9162E002
1464.125000,1.0350E-004,1464.125000,7.9360E-007,1464.125000,1.8280E-007,1464.125000,5.6619E002
1464.207500,1.0450E-004,1464.207500,7.4280E-007,1464.207500,1.9060E-007,1464.207500,5.4827E002
1464.290000,1.0470E-004,1464.290000,8.1350E-007,1464.290000,2.0080E-007,1464.290000,5.2141E002
1464.372500,1.0560E-004,1464.372500,7.6660E-007,1464.372500,1.7840E-007,1464.372500,5.9193E002
1464.455000,1.0620E-004,1464.455000,8.1580E-007,1464.455000,1.9250E-007,1464.455000,5.5169E002
1464.537500,1.0700E-004,1464.537500,8.2420E-007,1464.537500,2.1730E-007,1464.537500,4.9241E002
1464.620000,1.0740E-004,1464.620000,8.4090E-007,1464.620000,2.0770E-007,1464.620000,5.1709E002
1464.702500,1.0840E-004,1464.702500,7.7530E-007,1464.702500,2.2680E-007,1464.702500,4.7795E002
1464.785000,1.0920E-004,1464.785000,8.4640E-007,1464.785000,1.9770E-007,1464.785000,5.5235E002
1464.867500,1.1010E-004,1464.867500,8.1020E-007,1464.867500,2.3900E-007,1464.867500,4.6067E002
1464.950000,1.1130E-004,1464.950000,8.4900E-007,1464.950000,2.2190E-007,1464.950000,5.0158E002
1465.032500,1.1180E-004,1465.032500,8.6370E-007,1465.032500,2.4360E-007,1465.032500,4.5895E002
1465.115000,1.1240E-004,1465.115000,8.6910E-007,1465.115000,2.5660E-007,1465.115000,4.3804E002
1465.197500,1.1340E-004,1465.197500,8.6950E-007,1465.197500,2.6710E-007,1465.197500,4.2456E002
1465.280000,1.1380E-004,1465.280000,8.6680E-007,1465.280000,2.4230E-007,1465.280000,4.6967E002
1465.362500,1.1420E-004,1465.362500,8.9360E-007,1465.362500,2.4900E-007,1465.362500,4.5863E002
1465.445000,1.1400E-004,1465.445000,9.2530E-007,1465.445000,2.6370E-007,1465.445000,4.3231E002
1465.527500,1.1070E-004,1465.527500,8.7820E-007,1465.527500,3.0500E-007,1465.527500,3.6295E002
1465.610000,1.1350E-004,1465.610000,8.8030E-007,1465.610000,2.4230E-007,1465.610000,4.6843E002
1465.692500,1.1590E-004,1465.692500,9.2270E-007,1465.692500,2.8390E-007,1465.692500,4.0824E002
1465.775000,1.1750E-004,1465.775000,9.1570E-007,1465.775000,3.0680E-007,1465.775000,3.8299E002
1465.857500,1.1890E-004,1465.857500,9.1720E-007,1465.857500,2.9950E-007,1465.857500,3.9699E002
1465.940000,1.1970E-004,1465.940000,9.4580E-007,1465.940000,2.8210E-007,1465.940000,4.2432E002
1466.022500,1.2040E-004,1466.022500,1.0100E-006,1466.022500,2.7680E-007,1466.022500,4.3497E002
1466.105000,1.2140E-004,1466.105000,1.0400E-006,1466.105000,2.4880E-007,1466.105000,4.8794E002
1466.187500,1.2200E-004,1466.187500,1.0110E-006,1466.187500,3.1680E-007,1466.187500,3.8510E002
1466.270000,1.2200E-004,1466.270000,9.8950E-007,1466.270000,2.6290E-007,1466.270000,4.6405E002
1466.352500,1.2050E-004,1466.352500,9.9960E-007,1466.352500,3.2040E-007,1466.352500,3.7609E002
1466.435000,1.2340E-004,1466.435000,9.5520E-007,1466.435000,3.8420E-007,1466.435000,3.2119E002
1466.517500,1.2430E-004,1466.517500,1.0070E-006,1466.517500,3.6090E-007,1466.517500,3.4442E002
1466.600000,1.2490E-004,1466.600000,1.0050E-006,1466.600000,4.2010E-007,1466.600000,2.9731E002
1466.682500,1.2510E-004,1466.682500,1.0400E-006,1466.682500,3.8190E-007,1466.682500,3.2757E002
1466.765000,1.2340E-004,1466.765000,9.7590E-007,1466.765000,2.8090E-007,1466.765000,4.3930E002
1466.847500,1.2710E-004,1466.847500,1.0680E-006,1466.847500,3.7630E-007,1466.847500,3.3776E002
1466.930000,1.2770E-004,1466.930000,1.0830E-006,1466.930000,4.0990E-007,1466.930000,3.1154E002
1467.012500,1.2680E-004,1467.012500,1.0010E-006,1467.012500,3.4420E-007,1467.012500,3.6839E002
1467.095000,1.2970E-004,1467.095000,1.0700E-006,1467.095000,3.4120E-007,1467.095000,3.8013E002
1467.177500,1.3000E-004,1467.177500,1.0470E-006,1467.177500,4.0430E-007,1467.177500,3.2154E002
1467.260000,1.3070E-004,1467.260000,1.0720E-006,1467.260000,4.0630E-007,1467.260000,3.2168E002
1467.342500,1.2570E-004,1467.342500,9.9640E-007,1467.342500,3.9790E-007,1467.342500,3.1591E002
1467.425000,1.2990E-004,1467.425000,1.0230E-006,1467.425000,4.0750E-007,1467.425000,3.1877E002
1467.507500,1.3230E-004,1467.507500,1.0960E-006,1467.507500,3.9450E-007,1467.507500,3.3536E002
1467.590000,1.3320E-004,1467.590000,1.0800E-006,1467.590000,4.0690E-007,1467.590000,3.2735E002
1467.672500,1.3320E-004,1467.672500,1.0700E-006,1467.672500,3.9300E-007,1467.672500,3.3893E002
1467.755000,1.3470E-004,1467.755000,1.0490E-006,1467.755000,4.4090E-007,1467.755000,3.0551E002
1467.837500,1.3500E-004,1467.837500,1.1250E-006,1467.837500,4.6480E-007,1467.837500,2.9045E002
1467.920000,1.3550E-004,1467.920000,1.1250E-006,1467.920000,4.7850E-007,1467.920000,2.8318E002
1468.002500,1.3670E-004,1468.002500,1.1770E-006,1468.002500,4.1390E-007,1468.002500,3.3027E002
1468.085000,1.3610E-004,1468.085000,1.1360E-006,1468.085000,4.3490E-007,1468.085000,3.1295E002
1468.167500,1.3520E-004,1468.167500,1.1920E-006,1468.167500,5.1630E-007,1468.167500,2.6186E002
1468.250000,1.3890E-004,1468.250000,1.1660E-006,1468.250000,4.5810E-007,1468.250000,3.0321E002
1468.332500,1.3940E-004,1468.332500,1.1860E-006,1468.332500,5.4350E-007,1468.332500,2.5649E002
1468.415000,1.4020E-004,1468.415000,1.1920E-006,1468.415000,5.1030E-007,1468.415000,2.7474E002
1468.497500,1.4100E-004,1468.497500,1.2090E-006,1468.497500,5.3060E-007,1468.497500,2.6574E002
1468.580000,1.4080E-004,1468.580000,1.1840E-006,1468.580000,4.6650E-007,1468.580000,3.0182E002
1468.662500,1.4150E-004,1468.662500,1.2310E-006,1468.662500,5.4920E-007,1468.662500,2.5765E002
1468.745000,1.4250E-004,1468.745000,1.1460E-006,1468.745000,5.3660E-007,1468.745000,2.6556E002
1468.827500,1.4220E-004,1468.827500,1.1910E-006,1468.827500,5.3980E-007,1468.827500,2.6343E002
1468.910000,1.4340E-004,1468.910000,1.2920E-006,1468.910000,5.1310E-007,1468.910000,2.7948E002
1468.992500,1.4470E-004,1468.992500,1.2710E-006,1468.992500,5.5260E-007,1468.992500,2.6185E002
1469.075000,1.4500E-004,1469.075000,1.1880E-006,1469.075000,5.4140E-007,1469.075000,2.6782E002
1469.157500,1.4580E-004,1469.157500,1.2620E-006,1469.157500,5.6450E-007,1469.157500,2.5828E002
1469.240000,1.4660E-004,1469.240000,1.2060E-006,1469.240000,5.5490E-007,1469.240000,2.6419E002
1469.322500,1.4660E-004,1469.322500,1.3030E-006,1469.322500,5.9380E-007,1469.322500,2.4688E002
1469.405000,1.4760E-004,1469.405000,1.3650E-006,1469.405000,6.0250E-007,1469.405000,2.4498E002
1469.487500,1.4740E-004,1469.487500,1.2320E-006,1469.487500,5.5570E-007,1469.487500,2.6525E002
1469.570000,1.4750E-004,1469.570000,1.2890E-006,1469.570000,5.2030E-007,1469.570000,2.8349E002
1469.652500,1.4890E-004,1469.652500,1.2420E-006,1469.652500,5.7240E-007,1469.652500,2.6013E002
1469.735000,1.4900E-004,1469.735000,1.2600E-006,1469.735000,5.9870E-007,1469.735000,2.4887E002
1469.817500,1.4860E-004,1469.817500,1.2530E-006,1469.817500,6.1100E-007,1469.817500,2.4321E002
1469.900000,1.4450E-004,1469.900000,1.2480E-006,1469.900000,5.8430E-007,1469.900000,2.4730E002
1469.982500,1.4010E-004,1469.982500,1.1610E-006,1469.982500,5.3950E-007,1469.982500,2.5968E002
1470.065000,1.5020E-004,1470.065000,1.2700E-006,1470.065000,6.3090E-007,1470.065000,2.3807E002
1470.147500,1.5230E-004,1470.147500,1.3220E-006,1470.147500,6.3010E-007,1470.147500,2.4171E002
1470.230000,1.5230E-004,1470.230000,1.3090E-006,1470.230000,6.4160E-007,1470.230000,2.3738E002
1470.312500,1.5330E-004,1470.312500,1.3210E-006,1470.312500,6.4570E-007,1470.312500,2.3742E002
1470.395000,1.5430E-004,1470.395000,1.3380E-006,1470.395000,6.9370E-007,1470.395000,2.2243E002
1470.477500,1.5410E-004,1470.477500,1.3400E-006,1470.477500,6.2070E-007,1470.477500,2.4827E002
1470.560000,1.5480E-004,1470.560000,1.3770E-006,1470.560000,6.5850E-007,1470.560000,2.3508E002
1470.642500,1.5520E-004,1470.642500,1.3490E-006,1470.642500,6.2410E-007,1470.642500,2.4868E002
1470.725000,1.5510E-004,1470.725000,1.3330E-006,1470.725000,7.0400E-007,1470.725000,2.2031E002
1470.807500,1.5530E-004,1470.807500,1.3300E-006,1470.807500,7.0160E-007,1470.807500,2.2135E002
1470.890000,1.5600E-004,1470.890000,1.3690E-006,1470.890000,6.5560E-007,1470.890000,2.3795E002
1470.972500,1.5180E-004,1470.972500,1.2840E-006,1470.972500,6.9100E-007,1470.972500,2.1968E002
1471.055000,1.4510E-004,1471.055000,1.2020E-006,1471.055000,6.6540E-007,1471.055000,2.1806E002
1471.137500,1.5690E-004,1471.137500,1.3280E-006,1471.137500,7.3830E-007,1471.137500,2.1252E002
1471.220000,1.5850E-004,1471.220000,1.3540E-006,1471.220000,7.1760E-007,1471.220000,2.2088E002
1471.302500,1.5910E-004,1471.302500,1.4160E-006,1471.302500,6.9800E-007,1471.302500,2.2794E002
1471.385000,1.4950E-004,1471.385000,1.2910E-006,1471.385000,6.6010E-007,1471.385000,2.2648E002
1471.467500,1.5860E-004,1471.467500,1.3690E-006,1471.467500,7.4540E-007,1471.467500,2.1277E002
1471.550000,1.6080E-004,1471.550000,1.4060E-006,1471.550000,7.8990E-007,1471.550000,2.0357E002
1471.632500,1.6040E-004,1471.632500,1.3350E-006,1471.632500,7.5220E-007,1471.632500,2.1324E002
1471.715000,1.6140E-004,1471.715000,1.3270E-006,1471.715000,7.3870E-007,1471.715000,2.1849E002
1471.797500,1.6210E-004,1471.797500,1.4060E-006,1471.797500,7.5820E-007,1471.797500,2.1380E002
1471.880000,1.6270E-004,1471.880000,1.3970E-006,1471.880000,7.7710E-007,1471.880000,2.0937E002
1471.962500,1.6280E-004,1471.962500,1.3490E-006,1471.962500,7.1000E-007,1471.962500,2.2930E002
1472.045000,1.6350E-004,1472.045000,1.4100E-006,1472.045000,7.8220E-007,1472.045000,2.0903E002
1472.127500,1.6260E-004,1472.127500,1.3640E-006,1472.127500,7.7110E-007,1472.127500,2.1087E002
1472.210000,1.6460E-004,1472.210000,1.4290E-006,1472.210000,7.7030E-007,1472.210000,2.1368E002
1472.292500,1.6540E-004,1472.292500,1.4410E-006,1472.292500,8.1530E-007,1472.292500,2.0287E002
1472.375000,1.6530E-004,1472.375000,1.3950E-006,1472.375000,8.0500E-007,1472.375000,2.0534E002
1472.457500,1.6570E-004,1472.457500,1.4110E-006,1472.457500,8.1030E-007,1472.457500,2.0449E002
1472.540000,1.6560E-004,1472.540000,1.4200E-006,1472.540000,8.2200E-007,1472.540000,2.0146E002
1472.622500,1.5610E-004,1472.622500,1.3640E-006,1472.622500,8.3350E-007,1472.622500,1.8728E002
1472.705000,1.6010E-004,1472.705000,1.3380E-006,1472.705000,7.5550E-007,1472.705000,2.1191E002
1472.787500,1.6620E-004,1472.787500,1.4270E-006,1472.787500,8.4030E-007,1472.787500,1.9779E002
1472.870000,1.6560E-004,1472.870000,1.3900E-006,1472.870000,8.1520E-007,1472.870000,2.0314E002
1472.952500,1.6450E-004,1472.952500,1.3920E-006,1472.952500,8.3670E-007,1472.952500,1.9661E002
1473.035000,1.6810E-004,1473.035000,1.4510E-006,1473.035000,7.6870E-007,1473.035000,2.1868E002
1473.117500,1.6820E-004,1473.117500,1.4610E-006,1473.117500,8.6030E-007,1473.117500,1.9551E002
1473.200000,1.6930E-004,1473.200000,1.4200E-006,1473.200000,8.2710E-007,1473.200000,2.0469E002
1473.282500,1.6980E-004,1473.282500,1.4160E-006,1473.282500,8.8750E-007,1473.282500,1.9132E002
1473.365000,1.7000E-004,1473.365000,1.4580E-006,1473.365000,8.1980E-007,1473.365000,2.0737E002
1473.447500,1.7040E-004,1473.447500,1.4260E-006,1473.447500,8.8110E-007,1473.447500,1.9339E002
1473.530000,1.6730E-004,1473.530000,1.4540E-006,1473.530000,9.2350E-007,1473.530000,1.8116E002
1473.612500,1.7050E-004,1473.612500,1.4260E-006,1473.612500,9.1630E-007,1473.612500,1.8607E002
1473.695000,1.7140E-004,1473.695000,1.4300E-006,1473.695000,8.6970E-007,1473.695000,1.9708E002
1473.777500,1.7130E-004,1473.777500,1.4660E-006,1473.777500,8.7530E-007,1473.777500,1.9570E002
1473.860000,1.7120E-004,1473.860000,1.4540E-006,1473.860000,9.2700E-007,1473.860000,1.8468E002
1473.942500,1.7210E-004,1473.942500,1.4330E-006,1473.942500,8.8610E-007,1473.942500,1.9422E002
1474.025000,1.6980E-004,1474.025000,1.3990E-006,1474.025000,8.3060E-007,1474.025000,2.0443E002
1474.107500,1.6920E-004,1474.107500,1.3800E-006,1474.107500,9.3930E-007,1474.107500,1.8013E002
1474.190000,1.7330E-004,1474.190000,1.4350E-006,1474.190000,8.8810E-007,1474.190000,1.9514E002
1474.272500,1.7290E-004,1474.272500,1.4020E-006,1474.272500,9.0690E-007,1474.272500,1.9065E002
1474.355000,1.7390E-004,1474.355000,1.5220E-006,1474.355000,9.4190E-007,1474.355000,1.8463E002
1474.437500,1.7480E-004,1474.437500,1.4670E-006,1474.437500,9.2260E-007,1474.437500,1.8946E002
1474.520000,1.7450E-004,1474.520000,1.4430E-006,1474.520000,9.2510E-007,1474.520000,1.8863E002
1474.602500,1.7500E-004,1474.602500,1.4260E-006,1474.602500,9.2280E-007,1474.602500,1.8964E002
1474.685000,1.7590E-004,1474.685000,1.4280E-006,1474.685000,8.9230E-007,1474.685000,1.9713E002
1474.767500,1.7550E-004,1474.767500,1.4240E-006,1474.767500,8.8100E-007,1474.767500,1.9921E002
1474.850000,1.7580E-004,1474.850000,1.4220E-006,1474.850000,9.1520E-007,1474.850000,1.9209E002
1474.932500,1.7600E-004,1474.932500,1.4630E-006,1474.932500,9.8560E-007,1474.932500,1.7857E002
1475.015000,1.7550E-004,1475.015000,1.4550E-006,1475.015000,9.0530E-007,1475.015000,1.9386E002
1475.097500,1.7650E-004,1475.097500,1.4300E-006,1475.097500,9.5450E-007,1475.097500,1.8491E002
1475.180000,1.7690E-004,1475.180000,1.4740E-006,1475.180000,9.4920E-007,1475.180000,1.8637E002
1475.262500,1.7660E-004,1475.262500,1.3820E-006,1475.262500,9.1450E-007,1475.262500,1.9311E002
1475.345000,1.7800E-004,1475.345000,1.4440E-006,1475.345000,9.7950E-007,1475.345000,1.8173E002
1475.427500,1.7780E-004,1475.427500,1.4100E-006,1475.427500,9.2490E-007,1475.427500,1.9224E002
1475.510000,1.7790E-004,1475.510000,1.4550E-006,1475.510000,9.1750E-007,1475.510000,1.9390E002
1475.592500,1.7870E-004,1475.592500,1.4320E-006,1475.592500,1.0660E-006,1475.592500,1.6764E002
1475.675000,1.7860E-004,1475.675000,1.3890E-006,1475.675000,9.3060E-007,1475.675000,1.9192E002
1475.757500,1.7790E-004,1475.757500,1.4040E-006,1475.757500,9.6800E-007,1475.757500,1.8378E002
1475.840000,1.7870E-004,1475.840000,1.3760E-006,1475.840000,9.9690E-007,1475.840000,1.7926E002
1475.922500,1.7860E-004,1475.922500,1.3760E-006,1475.922500,9.9970E-007,1475.922500,1.7865E002
1476.005000,1.7790E-004,1476.005000,1.3630E-006,1476.005000,9.8500E-007,1476.005000,1.8061E002
1476.087500,1.7380E-004,1476.087500,1.4040E-006,1476.087500,9.7510E-007,1476.087500,1.7824E002
1476.170000,1.7720E-004,1476.170000,1.3670E-006,1476.170000,9.4600E-007,1476.170000,1.8732E002
