
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,9.4330E-005,1460.000000,6.1770E-007,1460.000000,3.7190E-008,1460.000000,-1.5930E-008,1460.000000,2.5364E003
1460.016500,9.4480E-005,1460.016500,5.5140E-007,1460.016500,-1.2730E-008,1460.016500,-1.7350E-008,1460.016500,9.4480E007
1460.033000,9.4720E-005,1460.033000,5.9140E-007,1460.033000,3.4980E-008,1460.033000,-3.3280E-008,1460.033000,2.7078E003
1460.049500,9.4760E-005,1460.049500,5.9980E-007,1460.049500,2.6390E-008,1460.049500,1.0440E-009,1460.049500,3.5908E003
1460.066000,9.4670E-005,1460.066000,5.9700E-007,1460.066000,3.8460E-008,1460.066000,-3.3940E-008,1460.066000,2.4615E003
1460.082500,9.4830E-005,1460.082500,6.0890E-007,1460.082500,7.5160E-010,1460.082500,-2.8590E-008,1460.082500,1.2617E005
1460.099000,9.5040E-005,1460.099000,6.4310E-007,1460.099000,1.7120E-009,1460.099000,-3.1320E-009,1460.099000,5.5514E004
1460.115500,9.5240E-005,1460.115500,6.0010E-007,1460.115500,4.0290E-008,1460.115500,-1.3010E-008,1460.115500,2.3639E003
1460.132000,9.5380E-005,1460.132000,6.4050E-007,1460.132000,9.1250E-009,1460.132000,5.9080E-009,1460.132000,1.0453E004
1460.148500,9.5040E-005,1460.148500,5.7660E-007,1460.148500,-9.1880E-010,1460.148500,-1.9050E-008,1460.148500,9.5040E007
1460.165000,9.5490E-005,1460.165000,5.7810E-007,1460.165000,-7.3300E-009,1460.165000,-3.7170E-009,1460.165000,9.5490E007
1460.181500,9.5820E-005,1460.181500,5.7920E-007,1460.181500,3.5800E-008,1460.181500,-2.1740E-008,1460.181500,2.6765E003
1460.198000,9.5790E-005,1460.198000,6.0520E-007,1460.198000,7.9760E-009,1460.198000,8.9790E-009,1460.198000,1.2010E004
1460.214500,9.5620E-005,1460.214500,6.1710E-007,1460.214500,4.3690E-008,1460.214500,-2.5340E-008,1460.214500,2.1886E003
1460.231000,9.5360E-005,1460.231000,6.0030E-007,1460.231000,1.3860E-008,1460.231000,-3.2800E-008,1460.231000,6.8802E003
1460.247500,9.4800E-005,1460.247500,6.5660E-007,1460.247500,2.2620E-008,1460.247500,3.4810E-008,1460.247500,4.1910E003
1460.264000,9.4910E-005,1460.264000,6.2500E-007,1460.264000,1.8330E-008,1460.264000,-2.1420E-008,1460.264000,5.1779E003
