
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,7.3280E-005,1460.000000,5.4220E-005,1460.000000,4.0230E-005,1460.000000,3.6960E-007,1460.000000,1.9827E002
1460.016500,7.3430E-005,1460.016500,5.4320E-005,1460.016500,4.0360E-005,1460.016500,3.7620E-007,1460.016500,1.9519E002
1460.033000,7.3350E-005,1460.033000,5.4500E-005,1460.033000,4.0360E-005,1460.033000,3.6310E-007,1460.033000,2.0201E002
1460.049500,7.3460E-005,1460.049500,5.4470E-005,1460.049500,4.0340E-005,1460.049500,3.6960E-007,1460.049500,1.9876E002
1460.066000,7.3710E-005,1460.066000,5.4580E-005,1460.066000,4.0340E-005,1460.066000,4.3200E-007,1460.066000,1.7063E002
1460.082500,7.3780E-005,1460.082500,5.4690E-005,1460.082500,4.0440E-005,1460.082500,4.1200E-007,1460.082500,1.7908E002
1460.099000,7.3800E-005,1460.099000,5.4620E-005,1460.099000,4.0340E-005,1460.099000,3.7780E-007,1460.099000,1.9534E002
1460.115500,7.4040E-005,1460.115500,5.4520E-005,1460.115500,4.0590E-005,1460.115500,4.1840E-007,1460.115500,1.7696E002
1460.132000,7.4210E-005,1460.132000,5.4780E-005,1460.132000,4.0590E-005,1460.132000,3.8640E-007,1460.132000,1.9205E002
1460.148500,7.4230E-005,1460.148500,5.4730E-005,1460.148500,4.0610E-005,1460.148500,3.9730E-007,1460.148500,1.8684E002
1460.165000,7.4380E-005,1460.165000,5.4730E-005,1460.165000,4.0620E-005,1460.165000,3.9630E-007,1460.165000,1.8769E002
1460.181500,7.4470E-005,1460.181500,5.5080E-005,1460.181500,4.0620E-005,1460.181500,3.8360E-007,1460.181500,1.9413E002
1460.198000,7.4550E-005,1460.198000,5.5250E-005,1460.198000,4.0810E-005,1460.198000,4.0340E-007,1460.198000,1.8480E002
1460.214500,7.4720E-005,1460.214500,5.5190E-005,1460.214500,4.1000E-005,1460.214500,3.8910E-007,1460.214500,1.9203E002
1460.231000,7.4730E-005,1460.231000,5.5290E-005,1460.231000,4.1030E-005,1460.231000,3.6530E-007,1460.231000,2.0457E002
1460.247500,7.5030E-005,1460.247500,5.5290E-005,1460.247500,4.1170E-005,1460.247500,3.9430E-007,1460.247500,1.9029E002
1460.264000,7.5070E-005,1460.264000,5.5330E-005,1460.264000,4.1110E-005,1460.264000,3.6010E-007,1460.264000,2.0847E002
1460.280500,7.5110E-005,1460.280500,5.5490E-005,1460.280500,4.1300E-005,1460.280500,4.3520E-007,1460.280500,1.7259E002
1460.297000,7.4880E-005,1460.297000,5.5420E-005,1460.297000,4.1110E-005,1460.297000,4.2420E-007,1460.297000,1.7652E002
1460.313500,7.4750E-005,1460.313500,5.5120E-005,1460.313500,4.0940E-005,1460.313500,4.0030E-007,1460.313500,1.8673E002
1460.330000,7.3870E-005,1460.330000,5.4430E-005,1460.330000,4.0720E-005,1460.330000,4.3990E-007,1460.330000,1.6792E002
1460.346500,7.2680E-005,1460.346500,5.3790E-005,1460.346500,3.9880E-005,1460.346500,4.0440E-007,1460.346500,1.7972E002
1460.363000,7.2250E-005,1460.363000,5.3360E-005,1460.363000,3.9500E-005,1460.363000,4.1150E-007,1460.363000,1.7558E002
1460.379500,7.3150E-005,1460.379500,5.4000E-005,1460.379500,4.0040E-005,1460.379500,4.3720E-007,1460.379500,1.6731E002
1460.396000,7.4400E-005,1460.396000,5.5040E-005,1460.396000,4.0770E-005,1460.396000,3.6740E-007,1460.396000,2.0250E002
1460.412500,7.5570E-005,1460.412500,5.5790E-005,1460.412500,4.1450E-005,1460.412500,3.9260E-007,1460.412500,1.9249E002
1460.429000,7.5890E-005,1460.429000,5.6220E-005,1460.429000,4.1730E-005,1460.429000,4.3180E-007,1460.429000,1.7575E002
1460.445500,7.6360E-005,1460.445500,5.6430E-005,1460.445500,4.1780E-005,1460.445500,3.8290E-007,1460.445500,1.9943E002
1460.462000,7.6700E-005,1460.462000,5.6690E-005,1460.462000,4.2060E-005,1460.462000,4.0180E-007,1460.462000,1.9089E002
1460.478500,7.7020E-005,1460.478500,5.6890E-005,1460.478500,4.2290E-005,1460.478500,3.6930E-007,1460.478500,2.0856E002
1460.495000,7.7180E-005,1460.495000,5.7110E-005,1460.495000,4.2400E-005,1460.495000,4.2500E-007,1460.495000,1.8160E002
1460.511500,7.7450E-005,1460.511500,5.7190E-005,1460.511500,4.2500E-005,1460.511500,4.8420E-007,1460.511500,1.5995E002
1460.528000,7.7540E-005,1460.528000,5.7410E-005,1460.528000,4.2590E-005,1460.528000,3.4530E-007,1460.528000,2.2456E002
1460.544500,7.7600E-005,1460.544500,5.7320E-005,1460.544500,4.2740E-005,1460.544500,3.7820E-007,1460.544500,2.0518E002
1460.561000,7.7880E-005,1460.561000,5.7490E-005,1460.561000,4.2740E-005,1460.561000,4.4480E-007,1460.561000,1.7509E002
