
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-2.9590E-008,1400.000000,-1.0070E-007,1400.000000,1.0000E000
1400.125000,-3.9440E-008,1400.125000,-6.0270E-008,1400.125000,1.0000E000
1400.250000,-4.7410E-008,1400.250000,-1.0200E-007,1400.250000,1.0000E000
1400.375000,-1.6240E-008,1400.375000,-4.0890E-008,1400.375000,1.0000E000
1400.500000,-1.4020E-008,1400.500000,-7.0870E-008,1400.500000,1.0000E000
1400.625000,-2.4550E-008,1400.625000,-1.0100E-007,1400.625000,1.0000E000
1400.750000,-3.0820E-008,1400.750000,-5.3090E-008,1400.750000,1.0000E000
1400.875000,2.0610E-008,1400.875000,-7.8940E-008,1400.875000,2.0610E004
1401.000000,-1.1490E-008,1401.000000,-8.0110E-008,1401.000000,1.0000E000
1401.125000,-4.2440E-008,1401.125000,-8.7990E-008,1401.125000,1.0000E000
1401.250000,-5.0030E-008,1401.250000,-8.0800E-008,1401.250000,1.0000E000
1401.375000,-1.0940E-008,1401.375000,-6.8060E-008,1401.375000,1.0000E000
1401.500000,-3.9310E-008,1401.500000,-8.2520E-008,1401.500000,1.0000E000
1401.625000,-2.7090E-008,1401.625000,-9.7850E-008,1401.625000,1.0000E000
1401.750000,-4.9570E-009,1401.750000,-7.6190E-008,1401.750000,1.0000E000
1401.875000,-3.4160E-008,1401.875000,-9.0870E-008,1401.875000,1.0000E000
1402.000000,-2.6040E-008,1402.000000,-6.6510E-008,1402.000000,1.0000E000
1402.125000,-4.3130E-008,1402.125000,-7.0910E-008,1402.125000,1.0000E000
1402.250000,-3.2190E-008,1402.250000,-4.9610E-008,1402.250000,1.0000E000
1402.375000,5.4720E-009,1402.375000,-9.2710E-008,1402.375000,5.4720E003
1402.500000,-5.0240E-008,1402.500000,-3.5900E-008,1402.500000,1.0000E000
1402.625000,-4.1410E-008,1402.625000,-7.3820E-008,1402.625000,1.0000E000
1402.750000,8.1220E-009,1402.750000,-7.2710E-008,1402.750000,8.1220E003
1402.875000,-3.9960E-008,1402.875000,-6.5060E-008,1402.875000,1.0000E000
1403.000000,-5.4490E-009,1403.000000,-4.2270E-008,1403.000000,1.0000E000
1403.125000,2.9060E-009,1403.125000,-7.2020E-008,1403.125000,2.9060E003
1403.250000,2.1370E-011,1403.250000,-7.2150E-008,1403.250000,2.1370E001
1403.375000,-2.4910E-008,1403.375000,-5.2460E-008,1403.375000,1.0000E000
1403.500000,-2.3460E-008,1403.500000,-6.1600E-008,1403.500000,1.0000E000
1403.625000,-3.7010E-008,1403.625000,-8.1080E-008,1403.625000,1.0000E000
1403.750000,-4.7220E-008,1403.750000,-8.5520E-008,1403.750000,1.0000E000
1403.875000,-1.0470E-008,1403.875000,-4.6230E-008,1403.875000,1.0000E000
1404.000000,-2.4860E-008,1404.000000,-9.3980E-008,1404.000000,1.0000E000
1404.125000,-4.8060E-008,1404.125000,-8.2530E-008,1404.125000,1.0000E000
1404.250000,-4.0580E-009,1404.250000,-5.7360E-008,1404.250000,1.0000E000
1404.375000,-1.3370E-008,1404.375000,-1.0360E-007,1404.375000,1.0000E000
1404.500000,2.7340E-008,1404.500000,-8.0850E-008,1404.500000,2.7340E004
1404.625000,3.3090E-009,1404.625000,-6.4850E-008,1404.625000,3.3090E003
1404.750000,-1.5080E-008,1404.750000,-8.2740E-008,1404.750000,1.0000E000
1404.875000,2.0770E-008,1404.875000,-3.2770E-008,1404.875000,2.0770E004
1405.000000,-2.4300E-008,1405.000000,-6.5500E-008,1405.000000,1.0000E000
1405.125000,-2.5030E-008,1405.125000,-1.1630E-007,1405.125000,1.0000E000
1405.250000,-5.0200E-009,1405.250000,-7.5290E-008,1405.250000,1.0000E000
1405.375000,-9.3210E-008,1405.375000,-6.6650E-008,1405.375000,1.0000E000
1405.500000,3.4160E-010,1405.500000,-1.1110E-007,1405.500000,3.4160E002
1405.625000,-1.7640E-008,1405.625000,-3.2630E-008,1405.625000,1.0000E000
1405.750000,4.0200E-008,1405.750000,-3.7030E-008,1405.750000,4.0200E004
1405.875000,-2.4040E-008,1405.875000,-8.2490E-008,1405.875000,1.0000E000
1406.000000,-2.8030E-008,1406.000000,-1.4840E-008,1406.000000,1.0000E000
1406.125000,-1.9450E-008,1406.125000,-6.8920E-008,1406.125000,1.0000E000
1406.250000,-1.1300E-008,1406.250000,-5.0290E-008,1406.250000,1.0000E000
1406.375000,1.0650E-008,1406.375000,-8.8280E-008,1406.375000,1.0650E004
1406.500000,-4.2290E-009,1406.500000,-1.3280E-008,1406.500000,1.0000E000
1406.625000,-2.6860E-008,1406.625000,-6.5030E-008,1406.625000,1.0000E000
1406.750000,-3.4700E-008,1406.750000,-4.2860E-008,1406.750000,1.0000E000
1406.875000,-2.8470E-008,1406.875000,-7.4960E-008,1406.875000,1.0000E000
1407.000000,-2.3950E-008,1407.000000,-3.2620E-008,1407.000000,1.0000E000
1407.125000,1.1950E-009,1407.125000,-7.3680E-008,1407.125000,1.1950E003
1407.250000,-5.4870E-009,1407.250000,-5.4330E-008,1407.250000,1.0000E000
1407.375000,-6.7250E-009,1407.375000,-4.8810E-008,1407.375000,1.0000E000
1407.500000,-2.2190E-008,1407.500000,-9.5110E-008,1407.500000,1.0000E000
1407.625000,-1.4680E-008,1407.625000,-3.7890E-008,1407.625000,1.0000E000
1407.750000,1.1060E-008,1407.750000,-3.0980E-008,1407.750000,1.1060E004
1407.875000,-3.4360E-008,1407.875000,-8.8390E-008,1407.875000,1.0000E000
1408.000000,-3.4930E-008,1408.000000,-6.8160E-008,1408.000000,1.0000E000
1408.125000,3.6290E-010,1408.125000,-2.8210E-008,1408.125000,3.6290E002
1408.250000,2.0510E-008,1408.250000,-5.5120E-008,1408.250000,2.0510E004
1408.375000,1.7010E-008,1408.375000,-4.6890E-008,1408.375000,1.7010E004
1408.500000,6.6790E-009,1408.500000,-5.0830E-008,1408.500000,6.6790E003
1408.625000,-2.4320E-009,1408.625000,-5.5760E-008,1408.625000,1.0000E000
1408.750000,1.6230E-008,1408.750000,-4.7850E-008,1408.750000,1.6230E004
1408.875000,6.2720E-009,1408.875000,-6.4980E-008,1408.875000,6.2720E003
1409.000000,-1.0730E-008,1409.000000,-4.2260E-008,1409.000000,1.0000E000
1409.125000,2.2650E-008,1409.125000,-4.3980E-008,1409.125000,2.2650E004
1409.250000,-1.4000E-008,1409.250000,-6.9350E-008,1409.250000,1.0000E000
1409.375000,-1.5700E-008,1409.375000,-5.1600E-008,1409.375000,1.0000E000
1409.500000,1.0880E-009,1409.500000,-5.5360E-008,1409.500000,1.0880E003
1409.625000,-2.1240E-008,1409.625000,-8.6890E-008,1409.625000,1.0000E000
1409.750000,1.3180E-008,1409.750000,-5.1230E-008,1409.750000,1.3180E004
1409.875000,-5.8700E-008,1409.875000,-5.8750E-008,1409.875000,1.0000E000
1410.000000,2.2140E-008,1410.000000,-7.4100E-008,1410.000000,2.2140E004
1410.125000,-5.1840E-009,1410.125000,-5.2190E-008,1410.125000,1.0000E000
1410.250000,1.9040E-008,1410.250000,-5.1990E-008,1410.250000,1.9040E004
1410.375000,-1.0110E-008,1410.375000,-2.9550E-008,1410.375000,1.0000E000
1410.500000,2.1330E-010,1410.500000,-3.9280E-008,1410.500000,2.1330E002
1410.625000,1.3860E-009,1410.625000,-2.1920E-008,1410.625000,1.3860E003
1410.750000,-6.8420E-009,1410.750000,-5.7590E-008,1410.750000,1.0000E000
1410.875000,1.5880E-008,1410.875000,-4.1680E-008,1410.875000,1.5880E004
1411.000000,3.2190E-009,1411.000000,-1.2230E-008,1411.000000,3.2190E003
1411.125000,3.3500E-008,1411.125000,-5.0450E-008,1411.125000,3.3500E004
1411.250000,-3.8800E-008,1411.250000,-7.3400E-008,1411.250000,1.0000E000
1411.375000,3.1960E-010,1411.375000,-3.7940E-008,1411.375000,3.1960E002
1411.500000,2.0850E-008,1411.500000,-6.7620E-008,1411.500000,2.0850E004
1411.625000,3.7730E-008,1411.625000,-6.2400E-008,1411.625000,3.7730E004
1411.750000,-4.0740E-008,1411.750000,-2.7640E-008,1411.750000,1.0000E000
1411.875000,4.4640E-008,1411.875000,-8.8070E-008,1411.875000,4.4640E004
1412.000000,1.4490E-008,1412.000000,-2.5910E-008,1412.000000,1.4490E004
1412.125000,3.6630E-008,1412.125000,-3.8680E-008,1412.125000,3.6630E004
1412.250000,4.5900E-008,1412.250000,-3.5030E-008,1412.250000,4.5900E004
1412.375000,1.6720E-008,1412.375000,-4.0000E-008,1412.375000,1.6720E004
1412.500000,9.4230E-009,1412.500000,-4.3740E-008,1412.500000,9.4230E003
1412.625000,2.7350E-008,1412.625000,-3.3340E-008,1412.625000,2.7350E004
1412.750000,5.8820E-008,1412.750000,-6.3690E-008,1412.750000,5.8820E004
1412.875000,3.8420E-008,1412.875000,-6.2720E-008,1412.875000,3.8420E004
1413.000000,3.6040E-008,1413.000000,-4.5310E-008,1413.000000,3.6040E004
1413.125000,4.8910E-008,1413.125000,-6.2960E-008,1413.125000,4.8910E004
1413.250000,5.9500E-009,1413.250000,-3.1950E-008,1413.250000,5.9500E003
1413.375000,3.2810E-008,1413.375000,-5.5890E-008,1413.375000,3.2810E004
1413.500000,2.0740E-008,1413.500000,2.3350E-009,1413.500000,8.8822E000
1413.625000,2.6940E-008,1413.625000,-5.3670E-008,1413.625000,2.6940E004
1413.750000,3.0610E-008,1413.750000,-9.6370E-009,1413.750000,3.0610E004
1413.875000,1.0210E-008,1413.875000,-7.6240E-008,1413.875000,1.0210E004
1414.000000,6.7880E-008,1414.000000,-1.9140E-008,1414.000000,6.7880E004
1414.125000,2.7160E-009,1414.125000,-2.1970E-008,1414.125000,2.7160E003
1414.250000,6.9270E-008,1414.250000,-3.1290E-008,1414.250000,6.9270E004
1414.375000,-5.9400E-010,1414.375000,-2.5200E-008,1414.375000,1.0000E000
1414.500000,-2.9470E-009,1414.500000,-3.8050E-008,1414.500000,1.0000E000
1414.625000,-1.3520E-008,1414.625000,-2.6780E-008,1414.625000,1.0000E000
1414.750000,2.0880E-008,1414.750000,-5.7640E-008,1414.750000,2.0880E004
1414.875000,-9.7490E-009,1414.875000,-2.6960E-008,1414.875000,1.0000E000
1415.000000,1.3520E-008,1415.000000,-2.1480E-008,1415.000000,1.3520E004
1415.125000,2.6140E-008,1415.125000,-4.7640E-008,1415.125000,2.6140E004
1415.250000,3.5260E-008,1415.250000,-4.8890E-008,1415.250000,3.5260E004
1415.375000,8.1040E-008,1415.375000,-5.5390E-008,1415.375000,8.1040E004
1415.500000,6.7570E-009,1415.500000,-1.3680E-008,1415.500000,6.7570E003
1415.625000,4.5490E-008,1415.625000,-2.7190E-008,1415.625000,4.5490E004
1415.750000,4.5760E-008,1415.750000,-4.0430E-008,1415.750000,4.5760E004
1415.875000,4.0620E-008,1415.875000,-6.5920E-008,1415.875000,4.0620E004
1416.000000,1.7440E-008,1416.000000,-6.2710E-008,1416.000000,1.7440E004
1416.125000,2.9670E-008,1416.125000,-1.0670E-008,1416.125000,2.9670E004
1416.250000,5.5960E-008,1416.250000,-4.3220E-008,1416.250000,5.5960E004
1416.375000,2.2100E-008,1416.375000,-5.9660E-008,1416.375000,2.2100E004
1416.500000,6.7880E-008,1416.500000,-1.2830E-008,1416.500000,6.7880E004
1416.625000,3.4480E-008,1416.625000,-1.0290E-008,1416.625000,3.4480E004
1416.750000,5.6000E-008,1416.750000,-1.9200E-008,1416.750000,5.6000E004
1416.875000,4.4560E-008,1416.875000,-4.9110E-008,1416.875000,4.4560E004
1417.000000,6.0190E-008,1417.000000,-5.7310E-008,1417.000000,6.0190E004
1417.125000,3.0530E-008,1417.125000,-3.5070E-008,1417.125000,3.0530E004
1417.250000,5.9080E-008,1417.250000,8.9510E-009,1417.250000,6.6004E000
1417.375000,8.9160E-008,1417.375000,-3.8690E-008,1417.375000,8.9160E004
1417.500000,2.9960E-008,1417.500000,-2.0840E-008,1417.500000,2.9960E004
1417.625000,6.0270E-008,1417.625000,-1.7900E-008,1417.625000,6.0270E004
1417.750000,2.5170E-008,1417.750000,3.1950E-009,1417.750000,7.8779E000
1417.875000,4.5330E-008,1417.875000,-3.3120E-008,1417.875000,4.5330E004
1418.000000,5.2280E-008,1418.000000,-5.7770E-008,1418.000000,5.2280E004
1418.125000,5.4660E-008,1418.125000,4.6540E-010,1418.125000,1.1745E002
1418.250000,6.9920E-008,1418.250000,-7.9100E-009,1418.250000,6.9920E004
1418.375000,2.8240E-008,1418.375000,-1.0300E-008,1418.375000,2.8240E004
1418.500000,7.7360E-008,1418.500000,-3.3620E-008,1418.500000,7.7360E004
1418.625000,7.6620E-008,1418.625000,-9.9820E-009,1418.625000,7.6620E004
1418.750000,8.2600E-008,1418.750000,-3.1550E-008,1418.750000,8.2600E004
1418.875000,9.4710E-008,1418.875000,-1.0510E-008,1418.875000,9.4710E004
1419.000000,6.8600E-008,1419.000000,-3.2330E-008,1419.000000,6.8600E004
1419.125000,7.2440E-008,1419.125000,9.8980E-009,1419.125000,7.3187E000
1419.250000,5.6440E-008,1419.250000,-5.1710E-008,1419.250000,5.6440E004
1419.375000,3.0820E-008,1419.375000,-4.3090E-008,1419.375000,3.0820E004
1419.500000,7.2120E-008,1419.500000,-1.2260E-008,1419.500000,7.2120E004
1419.625000,6.5120E-008,1419.625000,-5.1110E-008,1419.625000,6.5120E004
1419.750000,8.9760E-008,1419.750000,1.2260E-009,1419.750000,7.3214E001
1419.875000,4.1820E-008,1419.875000,-1.0480E-008,1419.875000,4.1820E004
1420.000000,8.1550E-008,1420.000000,-4.8270E-008,1420.000000,8.1550E004
1420.125000,8.0630E-008,1420.125000,-5.5610E-008,1420.125000,8.0630E004
1420.250000,6.6440E-008,1420.250000,-1.4430E-008,1420.250000,6.6440E004
1420.375000,7.8410E-008,1420.375000,-3.7470E-008,1420.375000,7.8410E004
1420.500000,7.5330E-008,1420.500000,-3.0100E-008,1420.500000,7.5330E004
1420.625000,8.0580E-008,1420.625000,3.9330E-008,1420.625000,2.0488E000
1420.750000,8.5120E-008,1420.750000,-1.0850E-008,1420.750000,8.5120E004
1420.875000,7.4710E-008,1420.875000,-1.8690E-008,1420.875000,7.4710E004
1421.000000,9.0300E-008,1421.000000,-5.2010E-008,1421.000000,9.0300E004
1421.125000,1.0660E-007,1421.125000,-2.6420E-008,1421.125000,1.0660E005
1421.250000,1.3710E-007,1421.250000,-4.6030E-009,1421.250000,1.3710E005
1421.375000,7.4950E-008,1421.375000,-3.7790E-009,1421.375000,7.4950E004
1421.500000,1.0840E-007,1421.500000,-2.8860E-008,1421.500000,1.0840E005
1421.625000,1.0080E-007,1421.625000,-3.8680E-008,1421.625000,1.0080E005
1421.750000,8.1000E-008,1421.750000,1.8050E-008,1421.750000,4.4875E000
1421.875000,1.0540E-007,1421.875000,-2.0680E-008,1421.875000,1.0540E005
1422.000000,8.8980E-008,1422.000000,-5.1120E-008,1422.000000,8.8980E004
1422.125000,9.0690E-008,1422.125000,6.0560E-009,1422.125000,1.4975E001
1422.250000,1.0870E-007,1422.250000,4.0510E-009,1422.250000,2.6833E001
1422.375000,1.0630E-007,1422.375000,-3.8600E-009,1422.375000,1.0630E005
1422.500000,1.1890E-007,1422.500000,8.7790E-009,1422.500000,1.3544E001
