
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1465.923500,1.3510E-004,1465.923500,6.5520E-005,1465.923500,3.2820E-005,1465.923500,1.2850E-005,1465.923500,1.0514E001
1465.940000,1.3440E-004,1465.940000,6.5330E-005,1465.940000,3.2470E-005,1465.940000,1.2770E-005,1465.940000,1.0525E001
1465.956500,1.3360E-004,1465.956500,6.4770E-005,1465.956500,3.2490E-005,1465.956500,1.2670E-005,1465.956500,1.0545E001
1465.973000,1.3390E-004,1465.973000,6.4900E-005,1465.973000,3.2390E-005,1465.973000,1.2670E-005,1465.973000,1.0568E001
1465.989500,1.3480E-004,1465.989500,6.5330E-005,1465.989500,3.2730E-005,1465.989500,1.2700E-005,1465.989500,1.0614E001
1466.006000,1.3580E-004,1466.006000,6.5860E-005,1466.006000,3.2920E-005,1466.006000,1.2830E-005,1466.006000,1.0585E001
1466.022500,1.3630E-004,1466.022500,6.6200E-005,1466.022500,3.3050E-005,1466.022500,1.2850E-005,1466.022500,1.0607E001
1466.039000,1.3680E-004,1466.039000,6.6420E-005,1466.039000,3.3070E-005,1466.039000,1.2890E-005,1466.039000,1.0613E001
1466.055500,1.3710E-004,1466.055500,6.6570E-005,1466.055500,3.3110E-005,1466.055500,1.2870E-005,1466.055500,1.0653E001
1466.072000,1.3720E-004,1466.072000,6.6740E-005,1466.072000,3.3110E-005,1466.072000,1.2860E-005,1466.072000,1.0669E001
1466.088500,1.3740E-004,1466.088500,6.6700E-005,1466.088500,3.3290E-005,1466.088500,1.2860E-005,1466.088500,1.0684E001
1466.105000,1.3760E-004,1466.105000,6.6870E-005,1466.105000,3.3180E-005,1466.105000,1.2840E-005,1466.105000,1.0717E001
1466.121500,1.3740E-004,1466.121500,6.6830E-005,1466.121500,3.3290E-005,1466.121500,1.2920E-005,1466.121500,1.0635E001
1466.138000,1.3790E-004,1466.138000,6.6970E-005,1466.138000,3.3200E-005,1466.138000,1.2790E-005,1466.138000,1.0782E001
1466.154500,1.3800E-004,1466.154500,6.6950E-005,1466.154500,3.3290E-005,1466.154500,1.2780E-005,1466.154500,1.0798E001
1466.171000,1.3780E-004,1466.171000,6.7060E-005,1466.171000,3.3290E-005,1466.171000,1.2930E-005,1466.171000,1.0657E001
1466.187500,1.3750E-004,1466.187500,6.7140E-005,1466.187500,3.3270E-005,1466.187500,1.2850E-005,1466.187500,1.0700E001
1466.204000,1.3800E-004,1466.204000,6.7210E-005,1466.204000,3.3290E-005,1466.204000,1.2900E-005,1466.204000,1.0698E001
1466.220500,1.3800E-004,1466.220500,6.7060E-005,1466.220500,3.3310E-005,1466.220500,1.2820E-005,1466.220500,1.0764E001
