
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-4.3730E-008,1400.000000,-7.4680E-008,1400.000000,1.0000E000
1400.125000,-1.9470E-008,1400.125000,-8.2010E-008,1400.125000,1.0000E000
1400.250000,-6.3680E-008,1400.250000,-5.4970E-008,1400.250000,1.0000E000
1400.375000,-2.7430E-008,1400.375000,-9.7680E-008,1400.375000,1.0000E000
1400.500000,-4.3670E-008,1400.500000,-6.4330E-008,1400.500000,1.0000E000
1400.625000,-5.2440E-008,1400.625000,-9.2840E-008,1400.625000,1.0000E000
1400.750000,-3.1070E-008,1400.750000,-5.4280E-008,1400.750000,1.0000E000
1400.875000,-2.6780E-008,1400.875000,-6.2900E-008,1400.875000,1.0000E000
1401.000000,-8.6050E-008,1401.000000,-4.6690E-008,1401.000000,1.0000E000
1401.125000,-5.2560E-008,1401.125000,-8.1270E-008,1401.125000,1.0000E000
1401.250000,-4.4240E-008,1401.250000,-4.0510E-008,1401.250000,1.0000E000
1401.375000,-1.8210E-008,1401.375000,-8.2480E-008,1401.375000,1.0000E000
1401.500000,-2.3400E-008,1401.500000,-4.7890E-008,1401.500000,1.0000E000
1401.625000,-6.8250E-008,1401.625000,-7.8180E-008,1401.625000,1.0000E000
1401.750000,-4.7390E-008,1401.750000,-6.3360E-008,1401.750000,1.0000E000
1401.875000,-5.5350E-009,1401.875000,-8.4350E-008,1401.875000,1.0000E000
1402.000000,-2.8080E-008,1402.000000,-6.5310E-008,1402.000000,1.0000E000
1402.125000,-2.0870E-008,1402.125000,-8.1410E-008,1402.125000,1.0000E000
1402.250000,-1.6970E-008,1402.250000,-1.1180E-007,1402.250000,1.0000E000
1402.375000,-1.0400E-008,1402.375000,-3.2270E-008,1402.375000,1.0000E000
1402.500000,-2.5560E-008,1402.500000,-8.6460E-008,1402.500000,1.0000E000
1402.625000,-4.6320E-008,1402.625000,-8.8620E-008,1402.625000,1.0000E000
1402.750000,-3.7010E-008,1402.750000,-6.8560E-008,1402.750000,1.0000E000
1402.875000,-3.3760E-008,1402.875000,-1.0580E-007,1402.875000,1.0000E000
1403.000000,-3.1540E-008,1403.000000,-5.2440E-008,1403.000000,1.0000E000
1403.125000,-3.4120E-008,1403.125000,-7.1850E-008,1403.125000,1.0000E000
1403.250000,-1.7910E-008,1403.250000,-8.4680E-008,1403.250000,1.0000E000
1403.375000,-3.1070E-008,1403.375000,-7.9780E-008,1403.375000,1.0000E000
1403.500000,-2.1580E-008,1403.500000,-6.4540E-008,1403.500000,1.0000E000
