
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-3.8060E-009,1400.000000,-4.6900E-008,1400.000000,1.0000E000
1400.125000,-3.0580E-008,1400.125000,8.0610E-009,1400.125000,1.2405E-004
1400.250000,-5.2980E-008,1400.250000,-4.2750E-011,1400.250000,1.0000E000
1400.375000,-4.6150E-008,1400.375000,-4.2610E-008,1400.375000,1.0000E000
1400.500000,-1.8530E-008,1400.500000,-5.2040E-008,1400.500000,1.0000E000
1400.625000,-2.3280E-009,1400.625000,-2.1960E-008,1400.625000,1.0000E000
1400.750000,-1.4960E-010,1400.750000,-6.8730E-008,1400.750000,1.0000E000
1400.875000,-2.8540E-008,1400.875000,-3.1240E-008,1400.875000,1.0000E000
1401.000000,-1.6410E-008,1401.000000,-8.0150E-009,1401.000000,1.0000E000
1401.125000,-6.0380E-008,1401.125000,-7.7410E-008,1401.125000,1.0000E000
1401.250000,-5.5560E-009,1401.250000,-3.1560E-008,1401.250000,1.0000E000
1401.375000,5.5140E-009,1401.375000,5.0640E-009,1401.375000,1.0889E000
1401.500000,-4.1700E-008,1401.500000,-8.9760E-009,1401.500000,1.0000E000
1401.625000,-2.1810E-008,1401.625000,-3.5120E-008,1401.625000,1.0000E000
1401.750000,-3.9320E-009,1401.750000,-2.6210E-008,1401.750000,1.0000E000
1401.875000,-2.4320E-008,1401.875000,-5.2440E-008,1401.875000,1.0000E000
1402.000000,-3.6920E-008,1402.000000,-2.4970E-008,1402.000000,1.0000E000
1402.125000,-4.8390E-008,1402.125000,-7.0780E-008,1402.125000,1.0000E000
1402.250000,-6.5400E-009,1402.250000,3.8250E-009,1402.250000,2.6144E-004
1402.375000,2.1160E-008,1402.375000,-6.0570E-008,1402.375000,2.1160E004
1402.500000,-2.2820E-008,1402.500000,-3.3550E-009,1402.500000,1.0000E000
1402.625000,-1.1170E-008,1402.625000,-2.9250E-008,1402.625000,1.0000E000
1402.750000,-4.6480E-008,1402.750000,-7.3510E-009,1402.750000,1.0000E000
1402.875000,-4.3360E-008,1402.875000,-4.6130E-008,1402.875000,1.0000E000
1403.000000,1.4740E-008,1403.000000,-3.0090E-008,1403.000000,1.4740E004
1403.125000,-4.3930E-008,1403.125000,-3.8430E-008,1403.125000,1.0000E000
1403.250000,2.0070E-008,1403.250000,1.3680E-009,1403.250000,1.4671E001
1403.375000,-3.1730E-008,1403.375000,-2.7910E-008,1403.375000,1.0000E000
1403.500000,-2.2100E-008,1403.500000,-9.1690E-009,1403.500000,1.0000E000
1403.625000,-1.5560E-008,1403.625000,-1.9650E-008,1403.625000,1.0000E000
1403.750000,-2.7780E-010,1403.750000,-1.3680E-009,1403.750000,1.0000E000
1403.875000,1.4870E-008,1403.875000,-2.3070E-008,1403.875000,1.4870E004
1404.000000,4.6990E-009,1404.000000,-7.9030E-009,1404.000000,4.6990E003
1404.125000,-3.6780E-008,1404.125000,-1.3310E-008,1404.125000,1.0000E000
