
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.000000,6.9220E-005,1460.000000,1.5790E-007,1460.000000,1.4920E-006,1460.000000,4.6394E001
1460.082500,6.9430E-005,1460.082500,9.0030E-008,1460.082500,3.2260E-006,1460.082500,2.1522E001
1460.165000,7.0050E-005,1460.165000,1.4090E-007,1460.165000,2.1660E-006,1460.165000,3.2341E001
1460.247500,7.0570E-005,1460.247500,1.1150E-007,1460.247500,2.6570E-006,1460.247500,2.6560E001
1460.330000,7.1070E-005,1460.330000,1.0920E-007,1460.330000,2.1240E-006,1460.330000,3.3460E001
1460.412500,7.1690E-005,1460.412500,1.0000E-007,1460.412500,2.7720E-006,1460.412500,2.5862E001
1460.495000,7.2140E-005,1460.495000,1.5440E-007,1460.495000,2.8170E-006,1460.495000,2.5609E001
1460.577500,7.0380E-005,1460.577500,1.2950E-007,1460.577500,3.0850E-006,1460.577500,2.2814E001
1460.660000,7.1820E-005,1460.660000,1.0300E-007,1460.660000,2.4060E-006,1460.660000,2.9850E001
1460.742500,7.4250E-005,1460.742500,1.3550E-007,1460.742500,4.2120E-006,1460.742500,1.7628E001
1460.825000,7.4980E-005,1460.825000,1.2180E-007,1460.825000,3.3570E-006,1460.825000,2.2335E001
1460.907500,7.5990E-005,1460.907500,8.8120E-008,1460.907500,3.1470E-006,1460.907500,2.4147E001
1460.990000,7.6470E-005,1460.990000,1.2980E-007,1460.990000,3.7710E-006,1460.990000,2.0278E001
1461.072500,7.7110E-005,1461.072500,1.0900E-007,1461.072500,3.9080E-006,1461.072500,1.9731E001
1461.155000,7.7730E-005,1461.155000,1.1570E-007,1461.155000,4.0540E-006,1461.155000,1.9174E001
1461.237500,7.8220E-005,1461.237500,1.3010E-007,1461.237500,3.6250E-006,1461.237500,2.1578E001
1461.320000,7.8890E-005,1461.320000,1.1420E-007,1461.320000,3.9130E-006,1461.320000,2.0161E001
1461.402500,7.9340E-005,1461.402500,1.0210E-007,1461.402500,3.8720E-006,1461.402500,2.0491E001
1461.485000,7.9540E-005,1461.485000,1.0660E-007,1461.485000,3.7330E-006,1461.485000,2.1307E001
1461.567500,7.9060E-005,1461.567500,6.3710E-008,1461.567500,4.6180E-006,1461.567500,1.7120E001
1461.650000,8.1310E-005,1461.650000,9.0810E-008,1461.650000,4.3820E-006,1461.650000,1.8555E001
1461.732500,8.2110E-005,1461.732500,1.1190E-007,1461.732500,4.1670E-006,1461.732500,1.9705E001
1461.815000,8.3050E-005,1461.815000,1.2930E-007,1461.815000,5.2200E-006,1461.815000,1.5910E001
1461.897500,8.3590E-005,1461.897500,9.7890E-008,1461.897500,3.8050E-006,1461.897500,2.1968E001
1461.980000,8.4250E-005,1461.980000,1.5070E-007,1461.980000,5.7230E-006,1461.980000,1.4721E001
1462.062500,8.4790E-005,1462.062500,8.7240E-008,1462.062500,5.4170E-006,1462.062500,1.5653E001
1462.145000,8.5610E-005,1462.145000,7.2380E-008,1462.145000,4.6220E-006,1462.145000,1.8522E001
1462.227500,8.6170E-005,1462.227500,8.5910E-008,1462.227500,5.2290E-006,1462.227500,1.6479E001
1462.310000,8.6820E-005,1462.310000,1.3620E-007,1462.310000,5.3300E-006,1462.310000,1.6289E001
1462.392500,8.7400E-005,1462.392500,1.0590E-007,1462.392500,5.2880E-006,1462.392500,1.6528E001
1462.475000,8.8000E-005,1462.475000,6.6450E-008,1462.475000,5.4620E-006,1462.475000,1.6111E001
1462.557500,8.8630E-005,1462.557500,9.1050E-008,1462.557500,5.5890E-006,1462.557500,1.5858E001
1462.640000,8.9210E-005,1462.640000,6.5310E-008,1462.640000,5.5980E-006,1462.640000,1.5936E001
1462.722500,9.0080E-005,1462.722500,9.2130E-008,1462.722500,5.6530E-006,1462.722500,1.5935E001
1462.805000,9.0990E-005,1462.805000,6.6690E-008,1462.805000,5.8410E-006,1462.805000,1.5578E001
1462.887500,9.1290E-005,1462.887500,7.7800E-008,1462.887500,6.4940E-006,1462.887500,1.4058E001
1462.970000,9.2520E-005,1462.970000,9.5410E-008,1462.970000,6.8240E-006,1462.970000,1.3558E001
1463.052500,9.3030E-005,1463.052500,5.5450E-008,1463.052500,6.2920E-006,1463.052500,1.4785E001
1463.135000,9.3400E-005,1463.135000,1.0690E-007,1463.135000,6.0660E-006,1463.135000,1.5397E001
1463.217500,9.3630E-005,1463.217500,7.5850E-008,1463.217500,6.6290E-006,1463.217500,1.4124E001
1463.300000,9.4110E-005,1463.300000,8.6190E-008,1463.300000,5.9890E-006,1463.300000,1.5714E001
1463.382500,9.4860E-005,1463.382500,9.9130E-008,1463.382500,6.5540E-006,1463.382500,1.4474E001
1463.465000,9.2580E-005,1463.465000,6.1050E-008,1463.465000,6.8360E-006,1463.465000,1.3543E001
1463.547500,9.2680E-005,1463.547500,8.7250E-008,1463.547500,5.6080E-006,1463.547500,1.6526E001
1463.630000,9.6690E-005,1463.630000,7.7450E-008,1463.630000,7.5510E-006,1463.630000,1.2805E001
1463.712500,9.7560E-005,1463.712500,5.2860E-008,1463.712500,6.5890E-006,1463.712500,1.4806E001
1463.795000,9.8830E-005,1463.795000,6.8620E-008,1463.795000,7.0080E-006,1463.795000,1.4102E001
1463.877500,9.9580E-005,1463.877500,8.6070E-008,1463.877500,7.2480E-006,1463.877500,1.3739E001
1463.960000,1.0050E-004,1463.960000,6.5300E-008,1463.960000,6.7020E-006,1463.960000,1.4996E001
