
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1462.475000,1.1820E-004,1462.475000,5.3370E-005,1462.475000,2.2530E-005
1462.508000,1.1840E-004,1462.508000,5.3700E-005,1462.508000,2.2680E-005
1462.541000,1.1900E-004,1462.541000,5.4040E-005,1462.541000,2.2890E-005
1462.574000,1.1950E-004,1462.574000,5.4320E-005,1462.574000,2.3060E-005
1462.607000,1.1970E-004,1462.607000,5.4450E-005,1462.607000,2.3080E-005
1462.640000,1.1960E-004,1462.640000,5.4620E-005,1462.640000,2.3150E-005
1462.673000,1.2000E-004,1462.673000,5.4470E-005,1462.673000,2.3260E-005
1462.706000,1.2070E-004,1462.706000,5.4680E-005,1462.706000,2.3260E-005
1462.739000,1.2080E-004,1462.739000,5.4830E-005,1462.739000,2.3530E-005
1462.772000,1.2120E-004,1462.772000,5.4990E-005,1462.772000,2.3710E-005
1462.805000,1.2120E-004,1462.805000,5.5160E-005,1462.805000,2.3690E-005
1462.838000,1.2140E-004,1462.838000,5.5280E-005,1462.838000,2.3830E-005
1462.871000,1.2170E-004,1462.871000,5.5270E-005,1462.871000,2.3910E-005
1462.904000,1.2180E-004,1462.904000,5.5450E-005,1462.904000,2.3990E-005
1462.937000,1.2200E-004,1462.937000,5.5360E-005,1462.937000,2.4060E-005
1462.970000,1.2250E-004,1462.970000,5.5680E-005,1462.970000,2.4160E-005
1463.003000,1.2310E-004,1463.003000,5.5980E-005,1463.003000,2.4360E-005
1463.036000,1.2300E-004,1463.036000,5.6040E-005,1463.036000,2.4380E-005
1463.069000,1.2250E-004,1463.069000,5.5900E-005,1463.069000,2.4420E-005
1463.102000,1.1950E-004,1463.102000,5.4260E-005,1463.102000,2.3970E-005
1463.135000,1.1860E-004,1463.135000,5.3900E-005,1463.135000,2.3630E-005
1463.168000,1.2270E-004,1463.168000,5.5770E-005,1463.168000,2.4590E-005
1463.201000,1.2460E-004,1463.201000,5.6690E-005,1463.201000,2.4920E-005
1463.234000,1.2530E-004,1463.234000,5.7030E-005,1463.234000,2.5240E-005
1463.267000,1.2590E-004,1463.267000,5.7350E-005,1463.267000,2.5450E-005
1463.300000,1.2590E-004,1463.300000,5.7400E-005,1463.300000,2.5620E-005
1463.333000,1.2630E-004,1463.333000,5.7480E-005,1463.333000,2.5580E-005
1463.366000,1.2700E-004,1463.366000,5.7610E-005,1463.366000,2.5660E-005
1463.399000,1.2760E-004,1463.399000,5.7890E-005,1463.399000,2.5900E-005
1463.432000,1.2810E-004,1463.432000,5.8250E-005,1463.432000,2.5940E-005
1463.465000,1.2830E-004,1463.465000,5.8430E-005,1463.465000,2.6250E-005
1463.498000,1.2890E-004,1463.498000,5.8690E-005,1463.498000,2.6390E-005
1463.531000,1.2920E-004,1463.531000,5.8920E-005,1463.531000,2.6460E-005
1463.564000,1.2950E-004,1463.564000,5.9100E-005,1463.564000,2.6680E-005
1463.597000,1.2980E-004,1463.597000,5.8990E-005,1463.597000,2.6530E-005
1463.630000,1.3040E-004,1463.630000,5.9140E-005,1463.630000,2.6790E-005
1463.663000,1.3070E-004,1463.663000,5.9460E-005,1463.663000,2.6850E-005
1463.696000,1.3080E-004,1463.696000,5.9700E-005,1463.696000,2.7040E-005
1463.729000,1.3110E-004,1463.729000,5.9780E-005,1463.729000,2.7190E-005
1463.762000,1.3140E-004,1463.762000,5.9850E-005,1463.762000,2.7320E-005
1463.795000,1.3140E-004,1463.795000,5.9930E-005,1463.795000,2.7410E-005
1463.828000,1.3200E-004,1463.828000,5.9930E-005,1463.828000,2.7540E-005
1463.861000,1.3200E-004,1463.861000,5.9910E-005,1463.861000,2.7620E-005
1463.894000,1.3230E-004,1463.894000,6.0230E-005,1463.894000,2.7640E-005
1463.927000,1.3290E-004,1463.927000,6.0430E-005,1463.927000,2.7710E-005
1463.960000,1.3320E-004,1463.960000,6.0840E-005,1463.960000,2.8090E-005
1463.993000,1.3340E-004,1463.993000,6.0990E-005,1463.993000,2.8110E-005
1464.026000,1.3360E-004,1464.026000,6.0840E-005,1464.026000,2.8200E-005
1464.059000,1.3380E-004,1464.059000,6.0940E-005,1464.059000,2.8250E-005
1464.092000,1.3440E-004,1464.092000,6.0940E-005,1464.092000,2.8350E-005
1464.125000,1.3480E-004,1464.125000,6.1200E-005,1464.125000,2.8350E-005
1464.158000,1.3510E-004,1464.158000,6.1420E-005,1464.158000,2.8650E-005
1464.191000,1.3530E-004,1464.191000,6.1720E-005,1464.191000,2.8780E-005
1464.224000,1.3570E-004,1464.224000,6.1870E-005,1464.224000,2.8850E-005
