
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.000000,6.6570E-005,1460.000000,1.3150E-006,1460.000000,6.1730E-007,1460.000000,1.0784E002
1460.082500,6.6940E-005,1460.082500,1.2960E-006,1460.082500,6.3770E-007,1460.082500,1.0497E002
1460.165000,6.7540E-005,1460.165000,1.2870E-006,1460.165000,6.0370E-007,1460.165000,1.1188E002
1460.247500,6.7990E-005,1460.247500,1.4160E-006,1460.247500,5.4930E-007,1460.247500,1.2378E002
1460.330000,6.8420E-005,1460.330000,1.3320E-006,1460.330000,6.2820E-007,1460.330000,1.0891E002
1460.412500,6.9070E-005,1460.412500,1.2840E-006,1460.412500,6.2270E-007,1460.412500,1.1092E002
1460.495000,6.9690E-005,1460.495000,1.4260E-006,1460.495000,6.1200E-007,1460.495000,1.1387E002
1460.577500,6.9650E-005,1460.577500,1.4090E-006,1460.577500,6.3650E-007,1460.577500,1.0943E002
1460.660000,6.5650E-005,1460.660000,1.2470E-006,1460.660000,5.9490E-007,1460.660000,1.1035E002
1460.742500,7.1090E-005,1460.742500,1.3790E-006,1460.742500,6.0830E-007,1460.742500,1.1687E002
1460.825000,7.2210E-005,1460.825000,1.4320E-006,1460.825000,6.4480E-007,1460.825000,1.1199E002
1460.907500,7.3110E-005,1460.907500,1.4600E-006,1460.907500,6.3710E-007,1460.907500,1.1475E002
1460.990000,7.3750E-005,1460.990000,1.5710E-006,1460.990000,7.1500E-007,1460.990000,1.0315E002
1461.072500,7.4350E-005,1461.072500,1.4740E-006,1461.072500,6.6230E-007,1461.072500,1.1226E002
1461.155000,7.4890E-005,1461.155000,1.4700E-006,1461.155000,6.4620E-007,1461.155000,1.1589E002
1461.237500,7.5360E-005,1461.237500,1.5000E-006,1461.237500,7.2010E-007,1461.237500,1.0465E002
1461.320000,7.5970E-005,1461.320000,1.5740E-006,1461.320000,6.8400E-007,1461.320000,1.1107E002
1461.402500,7.6440E-005,1461.402500,1.6030E-006,1461.402500,6.2430E-007,1461.402500,1.2244E002
1461.485000,7.6960E-005,1461.485000,1.5510E-006,1461.485000,6.4980E-007,1461.485000,1.1844E002
1461.567500,7.5940E-005,1461.567500,1.5180E-006,1461.567500,6.8590E-007,1461.567500,1.1072E002
1461.650000,7.8030E-005,1461.650000,1.6130E-006,1461.650000,7.2780E-007,1461.650000,1.0721E002
1461.732500,7.9140E-005,1461.732500,1.5940E-006,1461.732500,7.5340E-007,1461.732500,1.0504E002
1461.815000,7.9570E-005,1461.815000,1.7110E-006,1461.815000,6.8400E-007,1461.815000,1.1633E002
1461.897500,8.0840E-005,1461.897500,1.6700E-006,1461.897500,7.3730E-007,1461.897500,1.0964E002
1461.980000,8.1080E-005,1461.980000,1.5990E-006,1461.980000,7.6030E-007,1461.980000,1.0664E002
1462.062500,8.1930E-005,1462.062500,1.6460E-006,1462.062500,7.1750E-007,1462.062500,1.1419E002
1462.145000,8.2390E-005,1462.145000,1.5800E-006,1462.145000,7.2480E-007,1462.145000,1.1367E002
1462.227500,8.3140E-005,1462.227500,1.6950E-006,1462.227500,8.0000E-007,1462.227500,1.0393E002
1462.310000,8.3710E-005,1462.310000,1.7070E-006,1462.310000,6.7460E-007,1462.310000,1.2409E002
1462.392500,8.4200E-005,1462.392500,1.6780E-006,1462.392500,7.3430E-007,1462.392500,1.1467E002
1462.475000,8.4720E-005,1462.475000,1.6980E-006,1462.475000,7.3190E-007,1462.475000,1.1575E002
1462.557500,8.5340E-005,1462.557500,1.7260E-006,1462.557500,7.6350E-007,1462.557500,1.1177E002
1462.640000,8.6010E-005,1462.640000,1.7810E-006,1462.640000,7.8450E-007,1462.640000,1.0964E002
1462.722500,8.6990E-005,1462.722500,1.7570E-006,1462.722500,7.2200E-007,1462.722500,1.2048E002
1462.805000,8.7600E-005,1462.805000,1.8390E-006,1462.805000,7.7440E-007,1462.805000,1.1312E002
1462.887500,8.8030E-005,1462.887500,1.7590E-006,1462.887500,7.7050E-007,1462.887500,1.1425E002
1462.970000,8.8940E-005,1462.970000,1.7340E-006,1462.970000,8.2730E-007,1462.970000,1.0751E002
1463.052500,8.9690E-005,1463.052500,1.7830E-006,1463.052500,7.8900E-007,1463.052500,1.1368E002
