
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1467.326000,1.3850E-004,1467.326000,7.6490E-005,1467.326000,1.8107E000
1467.342500,1.3840E-004,1467.342500,7.6540E-005,1467.342500,1.8082E000
1467.359000,1.3850E-004,1467.359000,7.6520E-005,1467.359000,1.8100E000
1467.375500,1.3860E-004,1467.375500,7.6640E-005,1467.375500,1.8085E000
1467.392000,1.3890E-004,1467.392000,7.6790E-005,1467.392000,1.8088E000
1467.408500,1.3900E-004,1467.408500,7.6860E-005,1467.408500,1.8085E000
1467.425000,1.3910E-004,1467.425000,7.6970E-005,1467.425000,1.8072E000
1467.441500,1.3930E-004,1467.441500,7.7110E-005,1467.441500,1.8065E000
1467.458000,1.3940E-004,1467.458000,7.7110E-005,1467.458000,1.8078E000
1467.474500,1.3970E-004,1467.474500,7.7160E-005,1467.474500,1.8105E000
1467.491000,1.3950E-004,1467.491000,7.7220E-005,1467.491000,1.8065E000
1467.507500,1.3970E-004,1467.507500,7.7270E-005,1467.507500,1.8079E000
1467.524000,1.4000E-004,1467.524000,7.7390E-005,1467.524000,1.8090E000
1467.540500,1.4010E-004,1467.540500,7.7440E-005,1467.540500,1.8091E000
1467.557000,1.4020E-004,1467.557000,7.7420E-005,1467.557000,1.8109E000
1467.573500,1.4050E-004,1467.573500,7.7520E-005,1467.573500,1.8124E000
1467.590000,1.4040E-004,1467.590000,7.7610E-005,1467.590000,1.8090E000
1467.606500,1.4050E-004,1467.606500,7.7560E-005,1467.606500,1.8115E000
1467.623000,1.4080E-004,1467.623000,7.7820E-005,1467.623000,1.8093E000
1467.639500,1.4120E-004,1467.639500,7.7930E-005,1467.639500,1.8119E000
1467.656000,1.4120E-004,1467.656000,7.8080E-005,1467.656000,1.8084E000
1467.672500,1.4150E-004,1467.672500,7.8190E-005,1467.672500,1.8097E000
1467.689000,1.4170E-004,1467.689000,7.8310E-005,1467.689000,1.8095E000
1467.705500,1.4200E-004,1467.705500,7.8550E-005,1467.705500,1.8078E000
1467.722000,1.4180E-004,1467.722000,7.8350E-005,1467.722000,1.8098E000
1467.738500,1.4200E-004,1467.738500,7.8440E-005,1467.738500,1.8103E000
1467.755000,1.4180E-004,1467.755000,7.7990E-005,1467.755000,1.8182E000
1467.771500,1.4100E-004,1467.771500,7.8010E-005,1467.771500,1.8075E000
1467.788000,1.4020E-004,1467.788000,7.7500E-005,1467.788000,1.8090E000
1467.804500,1.3880E-004,1467.804500,7.6730E-005,1467.804500,1.8089E000
1467.821000,1.3820E-004,1467.821000,7.6430E-005,1467.821000,1.8082E000
1467.837500,1.3950E-004,1467.837500,7.7000E-005,1467.837500,1.8117E000
1467.854000,1.4090E-004,1467.854000,7.8050E-005,1467.854000,1.8053E000
1467.870500,1.4230E-004,1467.870500,7.8630E-005,1467.870500,1.8097E000
1467.887000,1.4290E-004,1467.887000,7.8990E-005,1467.887000,1.8091E000
1467.903500,1.4340E-004,1467.903500,7.9140E-005,1467.903500,1.8120E000
1467.920000,1.4400E-004,1467.920000,7.9350E-005,1467.920000,1.8147E000
1467.936500,1.4380E-004,1467.936500,7.9440E-005,1467.936500,1.8102E000
1467.953000,1.4410E-004,1467.953000,7.9630E-005,1467.953000,1.8096E000
1467.969500,1.4420E-004,1467.969500,7.9700E-005,1467.969500,1.8093E000
1467.986000,1.4430E-004,1467.986000,7.9630E-005,1467.986000,1.8121E000
1468.002500,1.4430E-004,1468.002500,7.9590E-005,1468.002500,1.8130E000
1468.019000,1.4400E-004,1468.019000,7.9780E-005,1468.019000,1.8050E000
1468.035500,1.4420E-004,1468.035500,7.9660E-005,1468.035500,1.8102E000
1468.052000,1.4450E-004,1468.052000,7.9740E-005,1468.052000,1.8121E000
1468.068500,1.4440E-004,1468.068500,7.9720E-005,1468.068500,1.8113E000
1468.085000,1.4440E-004,1468.085000,7.9830E-005,1468.085000,1.8088E000
1468.101500,1.4480E-004,1468.101500,8.0000E-005,1468.101500,1.8100E000
1468.118000,1.4510E-004,1468.118000,8.0100E-005,1468.118000,1.8115E000
1468.134500,1.4530E-004,1468.134500,8.0060E-005,1468.134500,1.8149E000
1468.151000,1.4530E-004,1468.151000,8.0380E-005,1468.151000,1.8077E000
1468.167500,1.4530E-004,1468.167500,8.0250E-005,1468.167500,1.8106E000
1468.184000,1.4520E-004,1468.184000,8.0360E-005,1468.184000,1.8069E000
