
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.924000,9.1030E-005,1460.924000,3.2330E-005,1460.924000,2.7510E-006,1460.924000,3.9340E-006
1460.940500,9.1020E-005,1460.940500,3.2330E-005,1460.940500,2.7600E-006,1460.940500,4.0480E-006
1460.957000,9.1260E-005,1460.957000,3.2480E-005,1460.957000,2.7470E-006,1460.957000,3.9360E-006
1460.973500,9.1450E-005,1460.973500,3.2460E-005,1460.973500,2.7080E-006,1460.973500,4.0050E-006
1460.990000,9.1650E-005,1460.990000,3.2530E-005,1460.990000,2.7920E-006,1460.990000,3.9920E-006
1461.006500,9.1990E-005,1461.006500,3.2630E-005,1461.006500,2.8240E-006,1461.006500,4.0140E-006
1461.023000,9.2080E-005,1461.023000,3.2650E-005,1461.023000,2.7670E-006,1461.023000,3.9820E-006
1461.039500,9.2450E-005,1461.039500,3.2800E-005,1461.039500,2.7970E-006,1461.039500,3.9820E-006
1461.056000,9.2420E-005,1461.056000,3.2830E-005,1461.056000,2.8500E-006,1461.056000,4.0960E-006
1461.072500,9.2540E-005,1461.072500,3.2810E-005,1461.072500,2.7670E-006,1461.072500,4.0700E-006
1461.089000,9.2770E-005,1461.089000,3.2910E-005,1461.089000,2.7780E-006,1461.089000,4.0800E-006
1461.105500,9.2670E-005,1461.105500,3.2890E-005,1461.105500,2.7760E-006,1461.105500,4.0560E-006
1461.122000,9.2410E-005,1461.122000,3.2660E-005,1461.122000,2.7840E-006,1461.122000,4.1570E-006
1461.138500,9.2040E-005,1461.138500,3.2680E-005,1461.138500,2.8050E-006,1461.138500,4.0740E-006
1461.155000,9.2370E-005,1461.155000,3.2740E-005,1461.155000,2.8360E-006,1461.155000,4.0310E-006
1461.171500,9.2840E-005,1461.171500,3.2830E-005,1461.171500,2.9260E-006,1461.171500,4.1600E-006
1461.188000,9.3460E-005,1461.188000,3.3150E-005,1461.188000,2.8550E-006,1461.188000,4.1600E-006
1461.204500,9.3960E-005,1461.204500,3.3340E-005,1461.204500,2.8760E-006,1461.204500,4.1380E-006
1461.221000,9.4000E-005,1461.221000,3.3390E-005,1461.221000,2.9500E-006,1461.221000,4.2260E-006
1461.237500,9.4220E-005,1461.237500,3.3430E-005,1461.237500,2.8790E-006,1461.237500,4.0890E-006
1461.254000,9.4500E-005,1461.254000,3.3470E-005,1461.254000,2.9430E-006,1461.254000,4.2290E-006
1461.270500,9.4750E-005,1461.270500,3.3560E-005,1461.270500,2.9410E-006,1461.270500,4.1640E-006
1461.287000,9.5070E-005,1461.287000,3.3790E-005,1461.287000,2.8910E-006,1461.287000,4.2350E-006
1461.303500,9.5140E-005,1461.303500,3.3730E-005,1461.303500,3.0010E-006,1461.303500,4.2130E-006
1461.320000,9.5290E-005,1461.320000,3.3900E-005,1461.320000,2.8870E-006,1461.320000,4.1640E-006
1461.336500,9.5740E-005,1461.336500,3.3840E-005,1461.336500,2.9750E-006,1461.336500,4.3100E-006
1461.353000,9.5500E-005,1461.353000,3.3970E-005,1461.353000,3.0060E-006,1461.353000,4.2540E-006
1461.369500,9.5740E-005,1461.369500,3.3900E-005,1461.369500,3.0210E-006,1461.369500,4.3300E-006
1461.386000,9.5590E-005,1461.386000,3.4010E-005,1461.386000,2.9710E-006,1461.386000,4.3880E-006
1461.402500,9.5660E-005,1461.402500,3.3990E-005,1461.402500,2.9950E-006,1461.402500,4.2970E-006
1461.419000,9.6040E-005,1461.419000,3.4230E-005,1461.419000,2.9920E-006,1461.419000,4.4180E-006
1461.435500,9.6150E-005,1461.435500,3.4140E-005,1461.435500,2.9450E-006,1461.435500,4.3960E-006
1461.452000,9.6360E-005,1461.452000,3.4230E-005,1461.452000,2.9370E-006,1461.452000,4.3880E-006
1461.468500,9.6620E-005,1461.468500,3.4270E-005,1461.468500,2.9930E-006,1461.468500,4.4180E-006
1461.485000,9.6770E-005,1461.485000,3.4180E-005,1461.485000,3.0550E-006,1461.485000,4.4030E-006
