
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,8.2640E-005,1460.000000,5.8240E-006,1460.000000,5.8240E-006,1460.000000,7.5220E-007,1460.000000,1.0986E002
1460.016500,8.2540E-005,1460.016500,5.9660E-006,1460.016500,5.9660E-006,1460.016500,7.8130E-007,1460.016500,1.0564E002
1460.033000,8.2820E-005,1460.033000,5.8690E-006,1460.033000,5.8690E-006,1460.033000,7.3990E-007,1460.033000,1.1193E002
1460.049500,8.3080E-005,1460.049500,5.9530E-006,1460.049500,5.9530E-006,1460.049500,7.3110E-007,1460.049500,1.1364E002
1460.066000,8.3180E-005,1460.066000,5.9060E-006,1460.066000,5.9060E-006,1460.066000,7.6900E-007,1460.066000,1.0817E002
1460.082500,8.3210E-005,1460.082500,5.9300E-006,1460.082500,5.9300E-006,1460.082500,7.6150E-007,1460.082500,1.0927E002
1460.099000,8.3290E-005,1460.099000,5.9010E-006,1460.099000,5.9010E-006,1460.099000,6.6220E-007,1460.099000,1.2578E002
1460.115500,8.3610E-005,1460.115500,5.9100E-006,1460.115500,5.9100E-006,1460.115500,7.1020E-007,1460.115500,1.1773E002
1460.132000,8.3440E-005,1460.132000,5.9920E-006,1460.132000,5.9920E-006,1460.132000,7.0940E-007,1460.132000,1.1762E002
1460.148500,8.3530E-005,1460.148500,5.9620E-006,1460.148500,5.9620E-006,1460.148500,7.8600E-007,1460.148500,1.0627E002
1460.165000,8.3610E-005,1460.165000,5.9510E-006,1460.165000,5.9510E-006,1460.165000,7.4360E-007,1460.165000,1.1244E002
1460.181500,8.3550E-005,1460.181500,5.9790E-006,1460.181500,5.9790E-006,1460.181500,7.3970E-007,1460.181500,1.1295E002
1460.198000,8.3570E-005,1460.198000,5.9450E-006,1460.198000,5.9450E-006,1460.198000,7.4770E-007,1460.198000,1.1177E002
1460.214500,8.2990E-005,1460.214500,5.8800E-006,1460.214500,5.8800E-006,1460.214500,6.4140E-007,1460.214500,1.2939E002
1460.231000,8.2070E-005,1460.231000,5.9230E-006,1460.231000,5.9230E-006,1460.231000,7.4860E-007,1460.231000,1.0963E002
1460.247500,8.0380E-005,1460.247500,5.7250E-006,1460.247500,5.7250E-006,1460.247500,7.4920E-007,1460.247500,1.0729E002
1460.264000,7.9070E-005,1460.264000,5.6200E-006,1460.264000,5.6200E-006,1460.264000,6.9410E-007,1460.264000,1.1392E002
1460.280500,7.9890E-005,1460.280500,5.7120E-006,1460.280500,5.7120E-006,1460.280500,7.6550E-007,1460.280500,1.0436E002
1460.297000,8.2060E-005,1460.297000,5.8440E-006,1460.297000,5.8440E-006,1460.297000,6.6420E-007,1460.297000,1.2355E002
1460.313500,8.3910E-005,1460.313500,5.9100E-006,1460.313500,5.9100E-006,1460.313500,7.3370E-007,1460.313500,1.1437E002
1460.330000,8.4710E-005,1460.330000,6.0970E-006,1460.330000,6.0970E-006,1460.330000,6.7450E-007,1460.330000,1.2559E002
1460.346500,8.5400E-005,1460.346500,6.0990E-006,1460.346500,6.0990E-006,1460.346500,7.7610E-007,1460.346500,1.1004E002
1460.363000,8.5570E-005,1460.363000,6.1550E-006,1460.363000,6.1550E-006,1460.363000,7.4880E-007,1460.363000,1.1428E002
1460.379500,8.5870E-005,1460.379500,6.0690E-006,1460.379500,6.0690E-006,1460.379500,7.6990E-007,1460.379500,1.1153E002
1460.396000,8.6070E-005,1460.396000,6.0720E-006,1460.396000,6.0720E-006,1460.396000,7.1740E-007,1460.396000,1.1997E002
1460.412500,8.6170E-005,1460.412500,6.2050E-006,1460.412500,6.2050E-006,1460.412500,7.3370E-007,1460.412500,1.1745E002
1460.429000,8.6450E-005,1460.429000,6.1860E-006,1460.429000,6.1860E-006,1460.429000,6.9450E-007,1460.429000,1.2448E002
1460.445500,8.6630E-005,1460.445500,6.2310E-006,1460.445500,6.2310E-006,1460.445500,6.6910E-007,1460.445500,1.2947E002
1460.462000,8.6730E-005,1460.462000,6.1990E-006,1460.462000,6.1990E-006,1460.462000,7.3840E-007,1460.462000,1.1746E002
1460.478500,8.6810E-005,1460.478500,6.1650E-006,1460.478500,6.1650E-006,1460.478500,7.2030E-007,1460.478500,1.2052E002
